county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Muskegon,Blue Lake 1,Governor,,R,Patrick Colbeck,61,,61,,0,
Muskegon,Blue Lake 1,Governor,,R,Brian Calley,47,,47,,0,
Muskegon,Blue Lake 1,Governor,,R,Jim Hines,26,,26,,0,
Muskegon,Blue Lake 1,Governor,,R,Bill Schuette,147,,147,,0,
Muskegon,Blue Lake 1,Governor,,R,Evan Space (W),0,,0,,0,
Muskegon,Blue Lake 1,U.S. Senate,,R,John James,143,,143,,0,
Muskegon,Blue Lake 1,U.S. Senate,,R,Sandy Pensler,129,,129,,0,
Muskegon,Blue Lake 1,U.S. Senate,,R,William F. White (W),0,,0,,0,
Muskegon,Blue Lake 1,U.S. House,,R,Bill Huizenga,243,,243,,0,
Muskegon,Blue Lake 1,State Senate,,R,Jon Bumstead,148,,148,,0,
Muskegon,Blue Lake 1,State Senate,,R,Holly Hughes,134,,134,,0,
Muskegon,Blue Lake 1,State House,91,R,Alan W. Jager,109,,109,,0,
Muskegon,Blue Lake 1,State House,91,R,Greg VanWoerkom,156,,156,,0,
Muskegon,Blue Lake 1,Governor,,D,Gretchen Whitmer,132,,132,,0,
Muskegon,Blue Lake 1,Governor,,D,Abdul El-Sayed,50,,50,,0,
Muskegon,Blue Lake 1,Governor,,D,Shri Thanedar,55,,55,,0,
Muskegon,Blue Lake 1,Governor,,D,William Cobbs (W),0,,0,,0,
Muskegon,Blue Lake 1,U.S. Senate,,D,Debbie Stabenow,216,,216,,0,
Muskegon,Blue Lake 1,U.S. House,,D,Rob Davidson,200,,200,,0,
Muskegon,Blue Lake 1,State Senate,,D,Collene Lamonte,136,,136,,0,
Muskegon,Blue Lake 1,State Senate,,D,Poppy Sias-,99,,99,,0,
Muskegon,Blue Lake 1,State House,91,D,Tanya Cabala,154,,154,,0,
Muskegon,Blue Lake 1,State House,91,D,Andy O'Riley,76,,76,,0,
