county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Mecosta,"Aetna Township, Precinct 1",Ballots Cast,,,,1180,186,994,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,DEM,Democraty Party,119,14,105,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,REP,Republican Party,598,110,488,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,LIB,Libertarian Party,3,1,2,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,1,0,1,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,GRN,Green Party,2,0,2,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,WCP,Working Class Party,8,0,8,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,NLP,Natural Law Party,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",Straight Party,,,Write-Ins,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,DEM,Kamala D. Harris /,240,32,208,,0
Mecosta,"Aetna Township, Precinct 1",President,,REP,Donald J. Trump /,918,154,764,,0
Mecosta,"Aetna Township, Precinct 1",President,,LIB,Chase Oliver /,8,0,8,,0
Mecosta,"Aetna Township, Precinct 1",President,,UST,Randall Terry /,2,0,2,,0
Mecosta,"Aetna Township, Precinct 1",President,,GRN,Jill Stein /,3,0,3,,0
Mecosta,"Aetna Township, Precinct 1",President,,NLP,Robert F. Kennedy /,7,0,7,,0
Mecosta,"Aetna Township, Precinct 1",President,,NPA,Joseph Kishore /,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,NPA,Cornel West /,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,,Jay J. Bowman Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,,Claudia De La Cruz Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,,Cherunda Lynn Fox Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,,Peter Sonski Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",President,,,Write-Ins,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,243,32,211,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,874,148,726,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,15,1,14,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,UST,Dave Stein,12,1,11,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,8,2,6,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,6,0,6,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,,James Chapman Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,,Marcus A. Irvine Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,,Valerie Lee Willis Qualified Write-In,0,0,0,,0
Mecosta,"Aetna Township, Precinct 1",U.S. Senate,,,Write-Ins,2,0,2,,0
Mecosta,"Aetna Township, Precinct 1",U.S. House,2,DEM,Michael Lynch,208,27,181,,0
Mecosta,"Aetna Township, Precinct 1",U.S. House,2,REP,John R. Moolenaar,907,153,754,,0
Mecosta,"Aetna Township, Precinct 1",U.S. House,2,LIB,Ben DeJong,20,3,17,,0
Mecosta,"Aetna Township, Precinct 1",U.S. House,2,UST,Scott Adams,17,0,17,,0
Mecosta,"Aetna Township, Precinct 1",U.S. House,2,,Write-Ins,2,0,2,,0
Mecosta,"Aetna Township, Precinct 1",State House,100,DEM,Tracey Ruell,236,31,205,,0
Mecosta,"Aetna Township, Precinct 1",State House,100,REP,Tom Kunse,902,149,753,,0
Mecosta,"Aetna Township, Precinct 1",State House,100,,Write-Ins,5,2,3,,0
Mecosta,"Aetna Township, Precinct 1",Prosecuting Attorney,,REP,Jonathan Michael Peterson,965,160,805,,0
Mecosta,"Aetna Township, Precinct 1",Prosecuting Attorney,,,Write-Ins,15,0,15,,0
Mecosta,"Aetna Township, Precinct 1",Sheriff,,REP,Brian S. Miller,978,162,816,,0
Mecosta,"Aetna Township, Precinct 1",Sheriff,,,Write-Ins,17,0,17,,0
Mecosta,"Aetna Township, Precinct 1",Clerk,,REP,Marcee M. Purcell,988,164,824,,0
Mecosta,"Aetna Township, Precinct 1",Clerk,,,Write-Ins,12,0,12,,0
Mecosta,"Aetna Township, Precinct 1",Treasurer,,REP,Sherry Earnest,981,162,819,,0
Mecosta,"Aetna Township, Precinct 1",Treasurer,,,Write-Ins,11,0,11,,0
Mecosta,"Aetna Township, Precinct 1",Register of Deeds,,REP,Karen Hahn,982,163,819,,0
Mecosta,"Aetna Township, Precinct 1",Register of Deeds,,,Write-Ins,14,0,14,,0
Mecosta,"Aetna Township, Precinct 1",Road Commissioner,,REP,Van Johnson,977,161,816,,0
Mecosta,"Aetna Township, Precinct 1",Road Commissioner,,,Write-Ins,14,1,13,,0
Mecosta,"Aetna Township, Precinct 1",Drain Commissioner,,REP,Karla Miller,971,162,809,,0
Mecosta,"Aetna Township, Precinct 1",Drain Commissioner,,,Write-Ins,15,0,15,,0
Mecosta,"Aetna Township, Precinct 1",Justice of Supreme Court,,NPA,Andrew Fink,524,86,438,,0
Mecosta,"Aetna Township, Precinct 1",Justice of Supreme Court,,NPA,Kimberly Ann Thomas,347,42,305,,0
Mecosta,"Aetna Township, Precinct 1",Justice of Supreme Court,,,Write-Ins,17,2,15,,0
Mecosta,"Aetna Township, Precinct 1",Justice of Supreme Court Partial,,NPA,Kyra Harris Bolden,390,61,329,,0
Mecosta,"Aetna Township, Precinct 1",Justice of Supreme Court Partial,,NPA,Patrick William O'Grady,475,66,409,,0
Mecosta,"Aetna Township, Precinct 1",Justice of Supreme Court Partial,,,Write-Ins,20,3,17,,0
Mecosta,"Aetna Township, Precinct 1",Registered Voters,,,,1818,,,,
Mecosta,"Austin Township, Precinct 1",Ballots Cast,,,,935,300,635,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,DEM,Democraty Party,139,23,116,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,REP,Republican Party,433,151,282,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,LIB,Libertarian Party,2,1,1,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,2,0,2,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,GRN,Green Party,0,0,0,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,WCP,Working Class Party,2,0,2,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,NLP,Natural Law Party,1,0,1,,0
Mecosta,"Austin Township, Precinct 1",Straight Party,,,Write-Ins,0,0,0,,0
Mecosta,"Austin Township, Precinct 1",President,,DEM,Kamala D. Harris /,235,51,184,,0
Mecosta,"Austin Township, Precinct 1",President,,REP,Donald J. Trump /,691,246,445,,0
Mecosta,"Austin Township, Precinct 1",President,,LIB,Chase Oliver /,3,1,2,,0
Mecosta,"Austin Township, Precinct 1",President,,UST,Randall Terry /,2,0,2,,0
Mecosta,"Austin Township, Precinct 1",President,,GRN,Jill Stein /,0,0,0,,0
Mecosta,"Austin Township, Precinct 1",President,,NLP,Robert F. Kennedy /,1,0,1,,0
Mecosta,"Austin Township, Precinct 1",President,,NPA,Joseph Kishore /,1,1,0,,0
Mecosta,"Austin Township, Precinct 1",President,,NPA,Cornel West /,0,0,0,,0
