county,precinct,office,district,candidate,party,votes,election_day,early_voting,av_counting_boards
Newaygo,"City of Fremont, Precinct 1",President,,Ballots Cast,,1350,1203,147,0
Newaygo,"City of Fremont, Precinct 1",President,,Kamala D. Harris/Tim Walz,Democrat,490,457,33,0
Newaygo,"City of Fremont, Precinct 1",President,,Donald J. Trump/JD Vance,Republican,816,707,109,0
Newaygo,"City of Fremont, Precinct 1",President,,Chase Oliver/Mike ter Maat,Libertarian,4,4,0,0
Newaygo,"City of Fremont, Precinct 1",President,,Randall Terry/Stephen E. Broden,U.S. Taxpayers,6,5,1,0
Newaygo,"City of Fremont, Precinct 1",President,,Jill Stein/Rudolph Ware,Green,7,7,0,0
Newaygo,"City of Fremont, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",Natural Law,7,7,0,0
Newaygo,"City of Fremont, Precinct 1",President,,Joseph Kishore/Jerry White,No Party Affiliation,0,0,0,0
Newaygo,"City of Fremont, Precinct 1",President,,Cornel West/Melina Abdullah,No Party Affiliation,3,2,1,0
Newaygo,"City of Fremont, Precinct 1",President,,Write-in,,7,6,1,0
Newaygo,"City of Fremont, Precinct 1",President,,Peter Sonski,,1,1,0,0
Newaygo,"City of Fremont, Precinct 1",President,,Over Vote Count,,2,2,0,0
Newaygo,"City of Fremont, Precinct 1",President,,Under Vote Count,,8,6,2,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Ballots Cast,,1350,1203,147,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,476,441,35,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Mike Rogers,Republican,801,690,111,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,13,13,0,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,15,14,1,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,10,10,0,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,5,5,0,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Write-in,,3,3,0,0
Newaygo,"City of Fremont, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0,0
