county,precinct,office,district,candidate,party,total,election_day,early_voting,av_counting_boards,votes
Lake,"Chase Township, Precinct 1",President,,Ballots Cast,,678,582,96,0,678
Lake,"Chase Township, Precinct 1",President,,Kamala D. Harris,Democrat,126,110,16,0,126
Lake,"Chase Township, Precinct 1",President,,Donald J. Trump,Republican,539,459,80,0,539
Lake,"Chase Township, Precinct 1",President,,Chase Oliver,Libertarian,3,3,0,0,3
Lake,"Chase Township, Precinct 1",President,,Randall Terry,U.S. Taxpayers,2,2,0,0,2
Lake,"Chase Township, Precinct 1",President,,Jill Stein,Green,2,2,0,0,2
Lake,"Chase Township, Precinct 1",President,,"Robert F. Kennedy, Jr.",Natural Law,5,5,0,0,5
Lake,"Chase Township, Precinct 1",President,,Over Vote Count,,0,0,0,0,0
Lake,"Chase Township, Precinct 1",President,,Under Vote Count,,1,1,0,0,1
Lake,"Chase Township, Precinct 1",U.S. Senate,,Ballots Cast,,678,582,96,0,678
Lake,"Chase Township, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,117,100,17,0,117
Lake,"Chase Township, Precinct 1",U.S. Senate,,Mike Rogers,Republican,521,443,78,0,521
Lake,"Chase Township, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,10,10,0,0,10
Lake,"Chase Township, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,8,8,0,0,8
Lake,"Chase Township, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,3,3,0,0,3
Lake,"Chase Township, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,2,2,0,0,2
Lake,"Chase Township, Precinct 1",U.S. Senate,,Write-in,,1,1,0,0,1
Lake,"Chase Township, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0,0,0
Lake,"Chase Township, Precinct 1",U.S. Senate,,Under Vote Count,,16,15,1,0,16
Lake,"Chase Township, Precinct 1",U.S. House,2,Ballots Cast,,678,582,96,0,678
Lake,"Chase Township, Precinct 1",U.S. House,2,Michael Lynch,Democrat,110,94,16,0,110
Lake,"Chase Township, Precinct 1",U.S. House,2,John R. Moolenaar,Republican,522,443,79,0,522
Lake,"Chase Township, Precinct 1",U.S. House,2,Ben DeJong,Libertarian,13,13,0,0,13
Lake,"Chase Township, Precinct 1",U.S. House,2,Scott Adams,U.S. Taxpayers,11,10,1,0,11
Lake,"Chase Township, Precinct 1",U.S. House,2,Over Vote Count,,0,0,0,0,0
Lake,"Chase Township, Precinct 1",U.S. House,2,Under Vote Count,,22,22,0,0,22
