county,precinct,office,district,candidate,party,votes,election_day,av_counting_boards,early_voting
Jackson,"City of Jackson, Ward 1, Precinct 1",Registered Voters,,,,4114,,,
Jackson,"City of Jackson, Ward 2, Precinct 2",Registered Voters,,,,962,,,
Jackson,"City of Jackson, Ward 2, Precinct 3",Registered Voters,,,,3057,,,
Jackson,"City of Jackson, Ward 3, Precinct 4",Registered Voters,,,,1888,,,
Jackson,"City of Jackson, Ward 3, Precinct 5",Registered Voters,,,,2215,,,
Jackson,"City of Jackson, Ward 4, Precinct 6",Registered Voters,,,,2073,,,
Jackson,"City of Jackson, Ward 4, Precinct 7",Registered Voters,,,,2097,,,
Jackson,"City of Jackson, Ward 5, Precinct 8",Registered Voters,,,,4230,,,
Jackson,"City of Jackson, Ward 6, Precinct 9",Registered Voters,,,,2713,,,
Jackson,"City of Jackson, Ward 6, Precinct 10",Registered Voters,,,,1663,,,
Jackson,"Blackman Charter Township, Precinct 1",Registered Voters,,,,2772,,,
Jackson,"Blackman Charter Township, Precinct 2NW",Registered Voters,,,,2420,,,
Jackson,"Blackman Charter Township, Precinct 3NW",Registered Voters,,,,2845,,,
Jackson,"Blackman Charter Township, Precinct 4NW",Registered Voters,,,,2902,,,
Jackson,"Blackman Charter Township, Precinct 5",Registered Voters,,,,2730,,,
Jackson,"Blackman Charter Township, Precinct 6NW",Registered Voters,,,,2369,,,
Jackson,"Columbia Township, Precinct 1",Registered Voters,,,,2415,,,
Jackson,"Columbia Township, Precinct 2",Registered Voters,,,,1722,,,
Jackson,"Columbia Township, Precinct 3COL",Registered Voters,,,,2672,,,
Jackson,"Concord Township, Precinct 1",Registered Voters,,,,2293,,,
Jackson,"Grass Lake Charter Township, Precinct 1",Registered Voters,,,,2312,,,
Jackson,"Grass Lake Charter Township, Precinct 2",Registered Voters,,,,2115,,,
Jackson,"Grass Lake Charter Township, Precinct 3VIL",Registered Voters,,,,956,,,
Jackson,"Hanover Township, Precinct 1HH",Registered Voters,,,,1379,,,
Jackson,"Hanover Township, Precinct 2",Registered Voters,,,,1792,,,
Jackson,"Henrietta Township, Precinct 1NW",Registered Voters,,,,1838,,,
Jackson,"Henrietta Township, Precinct 2",Registered Voters,,,,2207,,,
Jackson,"Leoni Township, Precinct 1MC",Registered Voters,,,,2811,,,
Jackson,"Leoni Township, Precinct 2",Registered Voters,,,,3108,,,
Jackson,"Leoni Township, Precinct 3",Registered Voters,,,,2764,,,
Jackson,"Leoni Township, Precinct 4",Registered Voters,,,,2916,,,
Jackson,"Liberty Township, Precinct 1",Registered Voters,,,,1603,,,
Jackson,"Liberty Township, Precinct 2",Registered Voters,,,,1125,,,
Jackson,"Napoleon Township, Precinct 1NAP",Registered Voters,,,,2159,,,
Jackson,"Napoleon Township, Precinct 2",Registered Voters,,,,1885,,,
Jackson,"Napoleon Township, Precinct 3NAP",Registered Voters,,,,2043,,,
Jackson,"Norvell Township, Precinct 1",Registered Voters,,,,1152,,,
Jackson,"Norvell Township, Precinct 2COL",Registered Voters,,,,1441,,,
Jackson,"Parma Township, Precinct 1",Registered Voters,,,,2458,,,
Jackson,"Pulaski Township, Precinct 1",Registered Voters,,,,1538,,,
Jackson,"Rives Township, Precinct 1",Registered Voters,,,,2349,,,
Jackson,"Rives Township, Precinct 2",Registered Voters,,,,1696,,,
Jackson,"Sandstone Charter Township, Precinct 1",Registered Voters,,,,1396,,,
Jackson,"Sandstone Charter Township, Precinct 2WEST",Registered Voters,,,,983,,,
Jackson,"Sandstone Charter Township, Precinct 3",Registered Voters,,,,942,,,
Jackson,"Spring Arbor Township, Precinct 1",Registered Voters,,,,1502,,,
Jackson,"Spring Arbor Township, Precinct 2",Registered Voters,,,,2412,,,
Jackson,"Spring Arbor Township, Precinct 3",Registered Voters,,,,2269,,,
Jackson,"Springport Township, Precinct 1",Registered Voters,,,,1736,,,
Jackson,"Summit Township, Precinct 1JPS",Registered Voters,,,,2471,,,
Jackson,"Summit Township, Precinct 2",Registered Voters,,,,2627,,,
Jackson,"Summit Township, Precinct 3JPS",Registered Voters,,,,2261,,,
Jackson,"Summit Township, Precinct 4JPS",Registered Voters,,,,2292,,,
Jackson,"Summit Township, Precinct 5",Registered Voters,,,,2127,,,
Jackson,"Summit Township, Precinct 6",Registered Voters,,,,1530,,,
Jackson,"Summit Township, Precinct 7",Registered Voters,,,,3135,,,
Jackson,"Summit Township, Precinct 8",Registered Voters,,,,2876,,,
Jackson,"Tompkins Township, Precinct 1",Registered Voters,,,,2222,,,
Jackson,"Waterloo Township, Precinct 1",Registered Voters,,,,2473,,,
Jackson,"City of Jackson, Ward 1, Precinct 1",Ballots Cast,,,,1665,858,544,263
Jackson,"City of Jackson, Ward 2, Precinct 2",Ballots Cast,,,,369,161,146,62
Jackson,"City of Jackson, Ward 2, Precinct 3",Ballots Cast,,,,1238,630,390,218
Jackson,"City of Jackson, Ward 3, Precinct 4",Ballots Cast,,,,953,485,279,189
Jackson,"City of Jackson, Ward 3, Precinct 5",Ballots Cast,,,,1188,594,351,243
Jackson,"City of Jackson, Ward 4, Precinct 6",Ballots Cast,,,,1164,588,327,249
Jackson,"City of Jackson, Ward 4, Precinct 7",Ballots Cast,,,,983,496,282,205
Jackson,"City of Jackson, Ward 5, Precinct 8",Ballots Cast,,,,1801,778,615,408
Jackson,"City of Jackson, Ward 6, Precinct 9",Ballots Cast,,,,1875,862,628,385
Jackson,"City of Jackson, Ward 6, Precinct 10",Ballots Cast,,,,1229,509,391,329
Jackson,"Blackman Charter Township, Precinct 1",Ballots Cast,,,,1359,541,505,313
Jackson,"Blackman Charter Township, Precinct 2NW",Ballots Cast,,,,1723,546,634,543
Jackson,"Blackman Charter Township, Precinct 3NW",Ballots Cast,,,,1677,626,733,318
Jackson,"Blackman Charter Township, Precinct 4NW",Ballots Cast,,,,1387,634,507,246
Jackson,"Blackman Charter Township, Precinct 5",Ballots Cast,,,,1494,657,505,332
Jackson,"Blackman Charter Township, Precinct 6NW",Ballots Cast,,,,1763,499,797,467
Jackson,"Columbia Township, Precinct 1",Ballots Cast,,,,1730,561,634,535
Jackson,"Columbia Township, Precinct 2",Ballots Cast,,,,1306,467,498,341
Jackson,"Columbia Township, Precinct 3COL",Ballots Cast,,,,2069,702,826,541
Jackson,"Concord Township, Precinct 1",Ballots Cast,,,,1690,965,544,181
