county,precinct,office,district,candidate,party,votes,election_day,av_counting_boards,early_voting
Jackson,"Grass Lake Charter Township, Precinct 1",Ballots Cast,,,,1823,970,663,190
Jackson,"Grass Lake Charter Township, Precinct 2",Ballots Cast,,,,1685,827,664,194
Jackson,"Grass Lake Charter Township, Precinct 3VIL",Ballots Cast,,,,724,406,254,64
Jackson,"Hanover Township, Precinct 1HH",Ballots Cast,,,,1045,472,407,166
Jackson,"Hanover Township, Precinct 2",Ballots Cast,,,,1268,754,356,158
Jackson,"Henrietta Township, Precinct 1NW",Ballots Cast,,,,1444,639,585,220
Jackson,"Henrietta Township, Precinct 2",Ballots Cast,,,,1529,751,562,216
Jackson,"Leoni Township, Precinct 1MC",Ballots Cast,,,,1906,673,965,268
Jackson,"Leoni Township, Precinct 2",Ballots Cast,,,,1941,841,813,287
Jackson,"Leoni Township, Precinct 3",Ballots Cast,,,,1812,716,803,293
Jackson,"Leoni Township, Precinct 4",Ballots Cast,,,,2037,762,881,394
Jackson,"Liberty Township, Precinct 1",Ballots Cast,,,,1218,965,0,253
Jackson,"Liberty Township, Precinct 2",Ballots Cast,,,,869,675,0,194
Jackson,"Napoleon Township, Precinct 1NAP",Ballots Cast,,,,1408,760,490,158
Jackson,"Napoleon Township, Precinct 2",Ballots Cast,,,,1313,624,472,217
Jackson,"Napoleon Township, Precinct 3NAP",Ballots Cast,,,,1482,694,606,182
Jackson,"Norvell Township, Precinct 1",Ballots Cast,,,,880,483,326,71
Jackson,"Norvell Township, Precinct 2COL",Ballots Cast,,,,1055,479,466,110
Jackson,"Parma Township, Precinct 1",Ballots Cast,,,,1518,1323,0,195
Jackson,"Pulaski Township, Precinct 1",Ballots Cast,,,,1067,973,0,94
Jackson,"Rives Township, Precinct 1",Ballots Cast,,,,1553,704,537,312
Jackson,"Rives Township, Precinct 2",Ballots Cast,,,,1256,586,428,242
Jackson,"Sandstone Charter Township, Precinct 1",Ballots Cast,,,,1052,450,366,236
Jackson,"Sandstone Charter Township, Precinct 2WEST",Ballots Cast,,,,759,378,213,168
Jackson,"Sandstone Charter Township, Precinct 3",Ballots Cast,,,,694,383,178,133
Jackson,"Spring Arbor Township, Precinct 1",Ballots Cast,,,,1113,376,430,307
Jackson,"Spring Arbor Township, Precinct 2",Ballots Cast,,,,1863,647,606,610
Jackson,"Spring Arbor Township, Precinct 3",Ballots Cast,,,,1561,661,480,420
Jackson,"Springport Township, Precinct 1",Ballots Cast,,,,1136,1070,0,66
Jackson,"Summit Township, Precinct 1JPS",Ballots Cast,,,,1406,618,496,292
Jackson,"Summit Township, Precinct 2",Ballots Cast,,,,2081,605,1000,476
Jackson,"Summit Township, Precinct 3JPS",Ballots Cast,,,,1702,590,726,386
Jackson,"Summit Township, Precinct 4JPS",Ballots Cast,,,,1789,466,764,559
Jackson,"Summit Township, Precinct 5",Ballots Cast,,,,1691,406,698,587
Jackson,"Summit Township, Precinct 6",Ballots Cast,,,,1129,338,473,318
Jackson,"Summit Township, Precinct 7",Ballots Cast,,,,1972,863,700,409
Jackson,"Summit Township, Precinct 8",Ballots Cast,,,,1630,725,566,339
Jackson,"Tompkins Township, Precinct 1",Ballots Cast,,,,1537,939,382,216
Jackson,"Waterloo Township, Precinct 1",Ballots Cast,,,,1818,881,715,222
Jackson,"City of Jackson, Ward 1, Precinct 1",Straight Party,,Democratic,DEM,867,433,320,114
Jackson,"City of Jackson, Ward 2, Precinct 2",Straight Party,,Democratic,DEM,162,80,54,28
Jackson,"City of Jackson, Ward 2, Precinct 3",Straight Party,,Democratic,DEM,399,191,157,51
Jackson,"City of Jackson, Ward 3, Precinct 4",Straight Party,,Democratic,DEM,285,130,105,50
Jackson,"City of Jackson, Ward 3, Precinct 5",Straight Party,,Democratic,DEM,351,133,160,58
Jackson,"City of Jackson, Ward 4, Precinct 6",Straight Party,,Democratic,DEM,316,126,113,77
Jackson,"City of Jackson, Ward 4, Precinct 7",Straight Party,,Democratic,DEM,301,125,120,56
Jackson,"City of Jackson, Ward 5, Precinct 8",Straight Party,,Democratic,DEM,631,233,274,124
Jackson,"City of Jackson, Ward 6, Precinct 9",Straight Party,,Democratic,DEM,475,183,213,79
Jackson,"City of Jackson, Ward 6, Precinct 10",Straight Party,,Democratic,DEM,317,110,123,84
Jackson,"Blackman Charter Township, Precinct 1",Straight Party,,Democratic,DEM,334,115,161,58
Jackson,"Blackman Charter Township, Precinct 2NW",Straight Party,,Democratic,DEM,337,88,173,76
Jackson,"Blackman Charter Township, Precinct 3NW",Straight Party,,Democratic,DEM,410,147,200,63
Jackson,"Blackman Charter Township, Precinct 4NW",Straight Party,,Democratic,DEM,437,182,186,69
Jackson,"Blackman Charter Township, Precinct 5",Straight Party,,Democratic,DEM,414,165,192,57
Jackson,"Blackman Charter Township, Precinct 6NW",Straight Party,,Democratic,DEM,283,47,190,46
Jackson,"Columbia Township, Precinct 1",Straight Party,,Democratic,DEM,334,72,192,70
Jackson,"Columbia Township, Precinct 2",Straight Party,,Democratic,DEM,181,58,100,23
Jackson,"Columbia Township, Precinct 3COL",Straight Party,,Democratic,DEM,311,60,187,64
Jackson,"Concord Township, Precinct 1",Straight Party,,Democratic,DEM,213,79,122,12
Jackson,"Grass Lake Charter Township, Precinct 1",Straight Party,,Democratic,DEM,259,104,139,16
Jackson,"Grass Lake Charter Township, Precinct 2",Straight Party,,Democratic,DEM,293,99,169,25
Jackson,"Grass Lake Charter Township, Precinct 3VIL",Straight Party,,Democratic,DEM,129,68,53,8
Jackson,"Hanover Township, Precinct 1HH",Straight Party,,Democratic,DEM,138,44,90,4
Jackson,"Hanover Township, Precinct 2",Straight Party,,Democratic,DEM,152,49,78,25
Jackson,"Henrietta Township, Precinct 1NW",Straight Party,,Democratic,DEM,208,66,122,20
Jackson,"Henrietta Township, Precinct 2",Straight Party,,Democratic,DEM,254,72,157,25
Jackson,"Leoni Township, Precinct 1MC",Straight Party,,Democratic,DEM,280,62,199,19
Jackson,"Leoni Township, Precinct 2",Straight Party,,Democratic,DEM,310,95,183,32
Jackson,"Leoni Township, Precinct 3",Straight Party,,Democratic,DEM,322,83,188,51
Jackson,"Leoni Township, Precinct 4",Straight Party,,Democratic,DEM,352,92,227,33
Jackson,"Liberty Township, Precinct 1",Straight Party,,Democratic,DEM,157,134,0,23
Jackson,"Liberty Township, Precinct 2",Straight Party,,Democratic,DEM,117,99,0,18
Jackson,"Napoleon Township, Precinct 1NAP",Straight Party,,Democratic,DEM,219,75,126,18
Jackson,"Napoleon Township, Precinct 2",Straight Party,,Democratic,DEM,239,70,149,20
Jackson,"Napoleon Township, Precinct 3NAP",Straight Party,,Democratic,DEM,205,71,121,13
Jackson,"Norvell Township, Precinct 1",Straight Party,,Democratic,DEM,158,52,94,12
Jackson,"Norvell Township, Precinct 2COL",Straight Party,,Democratic,DEM,197,61,132,4
Jackson,"Parma Township, Precinct 1",Straight Party,,Democratic,DEM,230,203,0,27
Jackson,"Pulaski Township, Precinct 1",Straight Party,,Democratic,DEM,115,108,0,7
Jackson,"Rives Township, Precinct 1",Straight Party,,Democratic,DEM,239,71,124,44
Jackson,"Rives Township, Precinct 2",Straight Party,,Democratic,DEM,155,52,83,20
Jackson,"Sandstone Charter Township, Precinct 1",Straight Party,,Democratic,DEM,160,44,87,29
Jackson,"Sandstone Charter Township, Precinct 2WEST",Straight Party,,Democratic,DEM,105,47,44,14
Jackson,"Sandstone Charter Township, Precinct 3",Straight Party,,Democratic,DEM,98,41,43,14
Jackson,"Spring Arbor Township, Precinct 1",Straight Party,,Democratic,DEM,155,40,91,24
Jackson,"Spring Arbor Township, Precinct 2",Straight Party,,Democratic,DEM,232,52,124,56
Jackson,"Spring Arbor Township, Precinct 3",Straight Party,,Democratic,DEM,213,73,110,30
Jackson,"Springport Township, Precinct 1",Straight Party,,Democratic,DEM,136,132,0,4
Jackson,"Summit Township, Precinct 1JPS",Straight Party,,Democratic,DEM,343,135,149,59
Jackson,"Summit Township, Precinct 2",Straight Party,,Democratic,DEM,372,108,215,49
Jackson,"Summit Township, Precinct 3JPS",Straight Party,,Democratic,DEM,348,108,186,54
Jackson,"Summit Township, Precinct 4JPS",Straight Party,,Democratic,DEM,288,64,158,66
Jackson,"Summit Township, Precinct 5",Straight Party,,Democratic,DEM,277,56,163,58
Jackson,"Summit Township, Precinct 6",Straight Party,,Democratic,DEM,192,36,121,35
Jackson,"Summit Township, Precinct 7",Straight Party,,Democratic,DEM,392,132,209,51
Jackson,"Summit Township, Precinct 8",Straight Party,,Democratic,DEM,400,138,199,63
Jackson,"Tompkins Township, Precinct 1",Straight Party,,Democratic,DEM,188,87,82,19
Jackson,"Waterloo Township, Precinct 1",Straight Party,,Democratic,DEM,355,98,222,35
Jackson,"City of Jackson, Ward 1, Precinct 1",Straight Party,,Republican,REP,289,166,65,58
Jackson,"City of Jackson, Ward 2, Precinct 2",Straight Party,,Republican,REP,70,21,32,17
Jackson,"City of Jackson, Ward 2, Precinct 3",Straight Party,,Republican,REP,352,188,88,76
Jackson,"City of Jackson, Ward 3, Precinct 4",Straight Party,,Republican,REP,260,137,54,69
Jackson,"City of Jackson, Ward 3, Precinct 5",Straight Party,,Republican,REP,355,205,58,92
Jackson,"City of Jackson, Ward 4, Precinct 6",Straight Party,,Republican,REP,324,184,64,76
Jackson,"City of Jackson, Ward 4, Precinct 7",Straight Party,,Republican,REP,306,175,61,70
Jackson,"City of Jackson, Ward 5, Precinct 8",Straight Party,,Republican,REP,368,179,78,111
Jackson,"City of Jackson, Ward 6, Precinct 9",Straight Party,,Republican,REP,433,237,102,94
Jackson,"City of Jackson, Ward 6, Precinct 10",Straight Party,,Republican,REP,276,127,65,84
Jackson,"Blackman Charter Township, Precinct 1",Straight Party,,Republican,REP,492,202,137,153
Jackson,"Blackman Charter Township, Precinct 2NW",Straight Party,,Republican,REP,549,196,142,211
Jackson,"Blackman Charter Township, Precinct 3NW",Straight Party,,Republican,REP,555,213,213,129
Jackson,"Blackman Charter Township, Precinct 4NW",Straight Party,,Republican,REP,415,200,116,99
Jackson,"Blackman Charter Township, Precinct 5",Straight Party,,Republican,REP,529,245,130,154
Jackson,"Blackman Charter Township, Precinct 6NW",Straight Party,,Republican,REP,561,198,170,193
Jackson,"Columbia Township, Precinct 1",Straight Party,,Republican,REP,659,236,183,240
Jackson,"Columbia Township, Precinct 2",Straight Party,,Republican,REP,452,181,138,133
Jackson,"Columbia Township, Precinct 3COL",Straight Party,,Republican,REP,787,271,271,245
Jackson,"Concord Township, Precinct 1",Straight Party,,Republican,REP,727,463,179,85
Jackson,"Grass Lake Charter Township, Precinct 1",Straight Party,,Republican,REP,574,323,177,74
Jackson,"Grass Lake Charter Township, Precinct 2",Straight Party,,Republican,REP,585,334,176,75
Jackson,"Grass Lake Charter Township, Precinct 3VIL",Straight Party,,Republican,REP,183,112,55,16
Jackson,"Hanover Township, Precinct 1HH",Straight Party,,Republican,REP,398,175,129,94
Jackson,"Hanover Township, Precinct 2",Straight Party,,Republican,REP,529,361,108,60
Jackson,"Henrietta Township, Precinct 1NW",Straight Party,,Republican,REP,493,234,173,86
Jackson,"Henrietta Township, Precinct 2",Straight Party,,Republican,REP,627,355,181,91
Jackson,"Leoni Township, Precinct 1MC",Straight Party,,Republican,REP,620,274,232,114
Jackson,"Leoni Township, Precinct 2",Straight Party,,Republican,REP,677,347,213,117
Jackson,"Leoni Township, Precinct 3",Straight Party,,Republican,REP,602,296,195,111
Jackson,"Leoni Township, Precinct 4",Straight Party,,Republican,REP,700,287,230,183
Jackson,"Liberty Township, Precinct 1",Straight Party,,Republican,REP,478,373,0,105
Jackson,"Liberty Township, Precinct 2",Straight Party,,Republican,REP,343,246,0,97
Jackson,"Napoleon Township, Precinct 1NAP",Straight Party,,Republican,REP,521,302,142,77
Jackson,"Napoleon Township, Precinct 2",Straight Party,,Republican,REP,489,261,126,102
Jackson,"Napoleon Township, Precinct 3NAP",Straight Party,,Republican,REP,469,238,155,76
Jackson,"Norvell Township, Precinct 1",Straight Party,,Republican,REP,346,215,105,26
Jackson,"Norvell Township, Precinct 2COL",Straight Party,,Republican,REP,410,207,140,63
Jackson,"Parma Township, Precinct 1",Straight Party,,Republican,REP,574,492,0,82
Jackson,"Pulaski Township, Precinct 1",Straight Party,,Republican,REP,458,404,0,54
Jackson,"Rives Township, Precinct 1",Straight Party,,Republican,REP,579,287,148,144
Jackson,"Rives Township, Precinct 2",Straight Party,,Republican,REP,418,229,90,99
Jackson,"Sandstone Charter Township, Precinct 1",Straight Party,,Republican,REP,428,199,124,105
Jackson,"Sandstone Charter Township, Precinct 2WEST",Straight Party,,Republican,REP,313,148,81,84
Jackson,"Sandstone Charter Township, Precinct 3",Straight Party,,Republican,REP,284,170,53,61
Jackson,"Spring Arbor Township, Precinct 1",Straight Party,,Republican,REP,439,147,147,145
Jackson,"Spring Arbor Township, Precinct 2",Straight Party,,Republican,REP,685,262,166,257
Jackson,"Spring Arbor Township, Precinct 3",Straight Party,,Republican,REP,608,271,152,185
Jackson,"Springport Township, Precinct 1",Straight Party,,Republican,REP,493,456,0,37
Jackson,"Summit Township, Precinct 1JPS",Straight Party,,Republican,REP,411,185,121,105
Jackson,"Summit Township, Precinct 2",Straight Party,,Republican,REP,626,188,261,177
Jackson,"Summit Township, Precinct 3JPS",Straight Party,,Republican,REP,473,183,153,137
Jackson,"Summit Township, Precinct 4JPS",Straight Party,,Republican,REP,558,156,209,193
Jackson,"Summit Township, Precinct 5",Straight Party,,Republican,REP,518,154,171,193
Jackson,"Summit Township, Precinct 6",Straight Party,,Republican,REP,366,120,133,113
Jackson,"Summit Township, Precinct 7",Straight Party,,Republican,REP,692,340,177,175
Jackson,"Summit Township, Precinct 8",Straight Party,,Republican,REP,550,283,130,137
Jackson,"Tompkins Township, Precinct 1",Straight Party,,Republican,REP,617,396,118,103
Jackson,"Waterloo Township, Precinct 1",Straight Party,,Republican,REP,612,344,174,94
Jackson,"City of Jackson, Ward 1, Precinct 1",Straight Party,,Libertarian,LIB,2,2,0,0
Jackson,"City of Jackson, Ward 2, Precinct 2",Straight Party,,Libertarian,LIB,0,0,0,0
Jackson,"City of Jackson, Ward 2, Precinct 3",Straight Party,,Libertarian,LIB,4,3,0,1
Jackson,"City of Jackson, Ward 3, Precinct 4",Straight Party,,Libertarian,LIB,2,2,0,0
Jackson,"City of Jackson, Ward 3, Precinct 5",Straight Party,,Libertarian,LIB,6,4,1,1
Jackson,"City of Jackson, Ward 4, Precinct 6",Straight Party,,Libertarian,LIB,8,7,1,0
Jackson,"City of Jackson, Ward 4, Precinct 7",Straight Party,,Libertarian,LIB,2,2,0,0
Jackson,"City of Jackson, Ward 5, Precinct 8",Straight Party,,Libertarian,LIB,6,2,3,1
Jackson,"City of Jackson, Ward 6, Precinct 9",Straight Party,,Libertarian,LIB,4,2,1,1
Jackson,"City of Jackson, Ward 6, Precinct 10",Straight Party,,Libertarian,LIB,4,3,0,1
Jackson,"Blackman Charter Township, Precinct 1",Straight Party,,Libertarian,LIB,5,1,1,3
Jackson,"Blackman Charter Township, Precinct 2NW",Straight Party,,Libertarian,LIB,4,4,0,0
Jackson,"Blackman Charter Township, Precinct 3NW",Straight Party,,Libertarian,LIB,4,3,1,0
Jackson,"Blackman Charter Township, Precinct 4NW",Straight Party,,Libertarian,LIB,6,3,3,0
Jackson,"Blackman Charter Township, Precinct 5",Straight Party,,Libertarian,LIB,6,1,4,1
Jackson,"Blackman Charter Township, Precinct 6NW",Straight Party,,Libertarian,LIB,3,2,1,0
Jackson,"Columbia Township, Precinct 1",Straight Party,,Libertarian,LIB,5,3,1,1
Jackson,"Columbia Township, Precinct 2",Straight Party,,Libertarian,LIB,4,3,0,1
Jackson,"Columbia Township, Precinct 3COL",Straight Party,,Libertarian,LIB,4,2,1,1
Jackson,"Concord Township, Precinct 1",Straight Party,,Libertarian,LIB,3,3,0,0
Jackson,"Grass Lake Charter Township, Precinct 1",Straight Party,,Libertarian,LIB,4,2,2,0
Jackson,"Grass Lake Charter Township, Precinct 2",Straight Party,,Libertarian,LIB,4,3,0,1
Jackson,"Grass Lake Charter Township, Precinct 3VIL",Straight Party,,Libertarian,LIB,1,1,0,0
Jackson,"Hanover Township, Precinct 1HH",Straight Party,,Libertarian,LIB,3,1,2,0
Jackson,"Hanover Township, Precinct 2",Straight Party,,Libertarian,LIB,1,1,0,0
Jackson,"Henrietta Township, Precinct 1NW",Straight Party,,Libertarian,LIB,1,0,1,0
Jackson,"Henrietta Township, Precinct 2",Straight Party,,Libertarian,LIB,7,6,1,0
Jackson,"Leoni Township, Precinct 1MC",Straight Party,,Libertarian,LIB,3,1,2,0
Jackson,"Leoni Township, Precinct 2",Straight Party,,Libertarian,LIB,3,1,2,0
Jackson,"Leoni Township, Precinct 3",Straight Party,,Libertarian,LIB,3,2,1,0
Jackson,"Leoni Township, Precinct 4",Straight Party,,Libertarian,LIB,3,3,0,0
Jackson,"Liberty Township, Precinct 1",Straight Party,,Libertarian,LIB,1,1,0,0
Jackson,"Liberty Township, Precinct 2",Straight Party,,Libertarian,LIB,1,0,0,1
Jackson,"Napoleon Township, Precinct 1NAP",Straight Party,,Libertarian,LIB,2,2,0,0
Jackson,"Napoleon Township, Precinct 2",Straight Party,,Libertarian,LIB,3,3,0,0
Jackson,"Napoleon Township, Precinct 3NAP",Straight Party,,Libertarian,LIB,4,2,2,0
Jackson,"Norvell Township, Precinct 1",Straight Party,,Libertarian,LIB,2,1,0,1
Jackson,"Norvell Township, Precinct 2COL",Straight Party,,Libertarian,LIB,2,1,1,0
Jackson,"Parma Township, Precinct 1",Straight Party,,Libertarian,LIB,4,4,0,0
Jackson,"Pulaski Township, Precinct 1",Straight Party,,Libertarian,LIB,1,1,0,0
Jackson,"Rives Township, Precinct 1",Straight Party,,Libertarian,LIB,7,6,0,1
Jackson,"Rives Township, Precinct 2",Straight Party,,Libertarian,LIB,3,3,0,0
Jackson,"Sandstone Charter Township, Precinct 1",Straight Party,,Libertarian,LIB,3,1,1,1
Jackson,"Sandstone Charter Township, Precinct 2WEST",Straight Party,,Libertarian,LIB,1,1,0,0
Jackson,"Sandstone Charter Township, Precinct 3",Straight Party,,Libertarian,LIB,2,1,1,0
Jackson,"Spring Arbor Township, Precinct 1",Straight Party,,Libertarian,LIB,3,1,2,0
Jackson,"Spring Arbor Township, Precinct 2",Straight Party,,Libertarian,LIB,4,2,1,1
Jackson,"Spring Arbor Township, Precinct 3",Straight Party,,Libertarian,LIB,3,1,1,1
Jackson,"Springport Township, Precinct 1",Straight Party,,Libertarian,LIB,5,5,0,0
Jackson,"Summit Township, Precinct 1JPS",Straight Party,,Libertarian,LIB,6,4,1,1
Jackson,"Summit Township, Precinct 2",Straight Party,,Libertarian,LIB,2,1,0,1
Jackson,"Summit Township, Precinct 3JPS",Straight Party,,Libertarian,LIB,2,1,1,0
Jackson,"Summit Township, Precinct 4JPS",Straight Party,,Libertarian,LIB,2,0,0,2
Jackson,"Summit Township, Precinct 5",Straight Party,,Libertarian,LIB,3,1,0,2
Jackson,"Summit Township, Precinct 6",Straight Party,,Libertarian,LIB,2,1,0,1
Jackson,"Summit Township, Precinct 7",Straight Party,,Libertarian,LIB,3,2,1,0
Jackson,"Summit Township, Precinct 8",Straight Party,,Libertarian,LIB,4,2,2,0
Jackson,"Tompkins Township, Precinct 1",Straight Party,,Libertarian,LIB,3,2,0,1
Jackson,"Waterloo Township, Precinct 1",Straight Party,,Libertarian,LIB,2,2,0,0
Jackson,"City of Jackson, Ward 1, Precinct 1",Straight Party,,U.S. Taxpayers,UST,4,2,1,1
Jackson,"City of Jackson, Ward 2, Precinct 2",Straight Party,,U.S. Taxpayers,UST,1,0,1,0
Jackson,"City of Jackson, Ward 2, Precinct 3",Straight Party,,U.S. Taxpayers,UST,3,2,1,0
Jackson,"City of Jackson, Ward 3, Precinct 4",Straight Party,,U.S. Taxpayers,UST,1,0,1,0
Jackson,"City of Jackson, Ward 3, Precinct 5",Straight Party,,U.S. Taxpayers,UST,2,1,0,1
Jackson,"City of Jackson, Ward 4, Precinct 6",Straight Party,,U.S. Taxpayers,UST,3,2,0,1
Jackson,"City of Jackson, Ward 4, Precinct 7",Straight Party,,U.S. Taxpayers,UST,2,1,1,0
Jackson,"City of Jackson, Ward 5, Precinct 8",Straight Party,,U.S. Taxpayers,UST,7,2,5,0
Jackson,"City of Jackson, Ward 6, Precinct 9",Straight Party,,U.S. Taxpayers,UST,5,4,1,0
Jackson,"City of Jackson, Ward 6, Precinct 10",Straight Party,,U.S. Taxpayers,UST,0,0,0,0
Jackson,"Blackman Charter Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,0,0,0
Jackson,"Blackman Charter Township, Precinct 2NW",Straight Party,,U.S. Taxpayers,UST,0,0,0,0
Jackson,"Blackman Charter Township, Precinct 3NW",Straight Party,,U.S. Taxpayers,UST,3,1,2,0
Jackson,"Blackman Charter Township, Precinct 4NW",Straight Party,,U.S. Taxpayers,UST,5,3,2,0
Jackson,"Blackman Charter Township, Precinct 5",Straight Party,,U.S. Taxpayers,UST,4,1,2,1
Jackson,"Blackman Charter Township, Precinct 6NW",Straight Party,,U.S. Taxpayers,UST,2,0,2,0
Jackson,"Columbia Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,0,0,0
Jackson,"Columbia Township, Precinct 2",Straight Party,,U.S. Taxpayers,UST,0,0,0,0
