county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Isabella,"City of Mt. Pleasant, Precinct 1A",Ballots Cast,,,,1128,988,572,2688
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Kamala D. Harris,DEM,580,745,347,1672
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Donald J. Trump,REP,515,221,214,950
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Chase Oliver,LIB,3,3,4,10
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Randall Terry,UST,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Jill Stein,GRE,11,2,4,17
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,"Robert F. Kennedy, Jr.",NLP,10,7,2,19
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Joseph Kishore,NPA,1,1,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Cornel West,NPA,1,1,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Write-ins,,4,4,0,8
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Claudia De la Cruz,,1,1,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Peter Sonski,,2,0,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",President,,Under Votes,,3,4,1,8
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Elissa Slotkin,DEM,560,720,341,1621
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Mike Rogers,REP,493,223,208,924
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Joseph Solis-Mullen,LIB,19,4,7,30
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Dave Stein,UST,9,8,2,19
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Douglas P. Marsh,GRE,19,8,5,32
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Doug Dern,NLP,6,3,2,11
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Write-ins,,1,3,0,4
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. Senate,,Under Votes,,21,19,7,47
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,Michael Lynch,DEM,538,689,327,1554
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,John R. Moolenaar,REP,508,256,223,987
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,Ben DeJong,LIB,29,6,9,44
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,Scott Adams,UST,14,6,3,23
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,Write-ins,,2,4,0,6
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,Over Votes,,1,0,0,1
Isabella,"City of Mt. Pleasant, Precinct 1A",U.S. House,2,Under Votes,,36,27,10,73
Isabella,"City of Mt. Pleasant, Precinct 1A",State House,92,Timothy Odykirk,DEM,580,716,342,1638
Isabella,"City of Mt. Pleasant, Precinct 1A",State House,92,Jerry Neyer,REP,500,249,216,965
Isabella,"City of Mt. Pleasant, Precinct 1A",State House,92,Write-ins,,4,2,1,7
Isabella,"City of Mt. Pleasant, Precinct 1A",State House,92,Over Votes,,1,0,0,1
Isabella,"City of Mt. Pleasant, Precinct 1A",State House,92,Under Votes,,43,21,13,77
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Theodore Jones,DEM,498,678,309,1485
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Adam Frederick Zemke,DEM,476,647,295,1418
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Tom McMillin,REP,427,198,195,820
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Nikki Snyder,REP,459,210,183,852
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Scotty Boman,LIB,45,20,21,86
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Ted Gerrard,UST,15,6,9,30
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Christine C. Schwartz,UST,34,11,11,56
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Mary Anne Hering,Working Class,71,42,27,140
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Write-ins,,4,3,3,10
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Over Votes,,2,0,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",Member of the State Board of Education,,Under Votes,,225,161,91,477
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Denise Ilitch,DEM,517,671,312,1500
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,495,644,298,1437
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Carl Meyers,REP,464,218,195,877
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Sevag Vartanian,REP,394,181,176,751
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Andrew Chadderdon,LIB,58,18,14,90
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Donna M. Oetman,UST,49,20,17,86
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Write-ins,,8,7,5,20
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Under Votes,,271,217,127,615
Isabella,"City of Mt. Pleasant, Precinct 1A",Regent of the University of Michigan,,Huwaida Arraf,,0,0,1,1
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,520,668,310,1498
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Thomas Stallworth III,DEM,469,632,285,1386
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Mike Balow,REP,441,203,191,835
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Julie Maday,REP,417,205,186,808
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Grant T. Baker,LIB,49,10,10,69
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Janet M. Sanger,UST,34,16,13,63
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,John Paul Sanger,UST,21,9,7,37
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,John Anthony La Pietra,GRE,35,20,18,73
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Write-ins,,5,7,1,13
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Trustee of Michigan State University,,Under Votes,,265,206,123,594
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Rasha Demashkieh,DEM,477,636,294,1407
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Mark T. Gaffney,DEM,473,626,278,1377
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Michael Busuito,REP,424,204,188,816
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Sunny Reddy,REP,430,195,185,810
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Farid Ishac,LIB,36,8,9,53
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,William Mohr II,UST,27,8,7,42
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Sami Makhoul,GRE,29,19,9,57
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Suzanne Roehrig,Working Class,43,36,25,104
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Kathleen Oakford,NLP,21,6,5,32
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Write-ins,,3,4,3,10
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Over Votes,,0,2,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",Governor of Wayne State University,,Under Votes,,293,232,141,666
Isabella,"City of Mt. Pleasant, Precinct 1A",County Prosecuting Attorney,,Mark Kowalczyk,REP,717,447,334,1498
Isabella,"City of Mt. Pleasant, Precinct 1A",County Prosecuting Attorney,,Write-ins,,16,29,13,58
Isabella,"City of Mt. Pleasant, Precinct 1A",County Prosecuting Attorney,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",County Prosecuting Attorney,,Under Votes,,395,512,225,1132
Isabella,"City of Mt. Pleasant, Precinct 1A",County Sheriff,,Michael Main,REP,710,450,336,1496
Isabella,"City of Mt. Pleasant, Precinct 1A",County Sheriff,,Write-ins,,21,31,10,62
Isabella,"City of Mt. Pleasant, Precinct 1A",County Sheriff,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",County Sheriff,,Under Votes,,397,507,226,1130
Isabella,"City of Mt. Pleasant, Precinct 1A",County Clerk,,Patti Sandel,DEM,562,671,322,1555
Isabella,"City of Mt. Pleasant, Precinct 1A",County Clerk,,Minde B. Lux,REP,514,279,229,1022
Isabella,"City of Mt. Pleasant, Precinct 1A",County Clerk,,Write-ins,,3,3,2,8
Isabella,"City of Mt. Pleasant, Precinct 1A",County Clerk,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",County Clerk,,Under Votes,,49,35,19,103
Isabella,"City of Mt. Pleasant, Precinct 1A",County Treasurer,,Kathleen M. Schafer,REP,696,430,332,1458
Isabella,"City of Mt. Pleasant, Precinct 1A",County Treasurer,,Write-ins,,18,31,11,60
Isabella,"City of Mt. Pleasant, Precinct 1A",County Treasurer,,Over Votes,,1,0,0,1
Isabella,"City of Mt. Pleasant, Precinct 1A",County Treasurer,,Under Votes,,413,527,229,1169
Isabella,"City of Mt. Pleasant, Precinct 1A",County Register of Deeds,,Karen R. Jackson,REP,689,425,328,1442
Isabella,"City of Mt. Pleasant, Precinct 1A",County Register of Deeds,,Write-ins,,17,31,12,60
Isabella,"City of Mt. Pleasant, Precinct 1A",County Register of Deeds,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",County Register of Deeds,,Under Votes,,422,532,232,1186
Isabella,"City of Mt. Pleasant, Precinct 1A",County Road Commissioner,,Bob Busch,DEM,580,690,332,1602
Isabella,"City of Mt. Pleasant, Precinct 1A",County Road Commissioner,,Kelly D. Beltinck,REP,529,294,240,1063
Isabella,"City of Mt. Pleasant, Precinct 1A",County Road Commissioner,,Patrick J. Recker,REP,470,244,198,912
Isabella,"City of Mt. Pleasant, Precinct 1A",County Road Commissioner,,Write-ins,,3,10,2,15
Isabella,"City of Mt. Pleasant, Precinct 1A",County Road Commissioner,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",County Road Commissioner,,Under Votes,,674,738,372,1784
Isabella,"City of Mt. Pleasant, Precinct 1A",County Drain Commissioner,,Ryon Skalitzky,DEM,539,685,327,1551
Isabella,"City of Mt. Pleasant, Precinct 1A",County Drain Commissioner,,Robert J. Willoughby,REP,513,254,210,977
Isabella,"City of Mt. Pleasant, Precinct 1A",County Drain Commissioner,,Write-ins,,5,6,2,13
Isabella,"City of Mt. Pleasant, Precinct 1A",County Drain Commissioner,,Over Votes,,0,0,1,1
Isabella,"City of Mt. Pleasant, Precinct 1A",County Drain Commissioner,,Under Votes,,71,43,32,146
Isabella,"City of Mt. Pleasant, Precinct 1A",County Commissioner 5th District,,James Moreno,DEM,503,633,300,1436
Isabella,"City of Mt. Pleasant, Precinct 1A",County Commissioner 5th District,,Dave Verwey,REP,414,186,172,772
Isabella,"City of Mt. Pleasant, Precinct 1A",County Commissioner 5th District,,David F. McGuire,NPA,153,130,77,360
Isabella,"City of Mt. Pleasant, Precinct 1A",County Commissioner 5th District,,Write-ins,,2,3,3,8
Isabella,"City of Mt. Pleasant, Precinct 1A",County Commissioner 5th District,,Over Votes,,0,3,0,3
Isabella,"City of Mt. Pleasant, Precinct 1A",County Commissioner 5th District,,Under Votes,,56,33,20,109
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court 8 Year Term,,Andrew Fink,,330,183,161,674
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,539,630,300,1469
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court 8 Year Term,,Write-ins,,15,11,7,33
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court 8 Year Term,,Over Votes,,0,2,0,2
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court 8 Year Term,,Under Votes,,244,162,104,510
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court Incumbent Position Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,586,661,319,1566
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court Incumbent Position Partial Term Ending 01/01/2029,,Patrick William O'Grady,,286,166,147,599
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court Incumbent Position Partial Term Ending 01/01/2029,,Write-ins,,13,9,5,27
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court Incumbent Position Partial Term Ending 01/01/2029,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Justice of Supreme Court Incumbent Position Partial Term Ending 01/01/2029,,Under Votes,,243,152,101,496
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent 6 Year Term,,Stephen L. Borrello,,675,523,301,1499
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent 6 Year Term,,Write-ins,,27,12,13,52
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent 6 Year Term,,Over Votes,,0,1,0,1
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent 6 Year Term,,Under Votes,,426,452,258,1136
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent Position Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,671,530,307,1508
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent Position Partial Term Ending 01/01/2027,,Write-ins,,28,11,14,53
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent Position Partial Term Ending 01/01/2027,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Court of Appeals 4th District Incumbent Position Partial Term Ending 01/01/2027,,Under Votes,,429,447,251,1127
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Circuit Court 21st Circuit Non-Incumbent,,JEB Allen,,674,497,298,1469
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Circuit Court 21st Circuit Non-Incumbent,,Write-ins,,27,17,15,59
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Circuit Court 21st Circuit Non-Incumbent,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Circuit Court 21st Circuit Non-Incumbent,,Under Votes,,427,474,259,1160
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Probate Court Incumbent,,Stuart Black,,688,560,323,1571
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Probate Court Incumbent,,Write-ins,,23,12,14,49
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Probate Court Incumbent,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Judge of Probate Court Incumbent,,Under Votes,,417,416,235,1068
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees 6 Year Term,,Richard Allen,,510,384,225,1119
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees 6 Year Term,,Karen Moore,,521,409,243,1173
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees 6 Year Term,,Lois Pittsley,,474,414,231,1119
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees 6 Year Term,,Write-ins,,34,19,11,64
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees 6 Year Term,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees 6 Year Term,,Under Votes,,1843,1738,1006,4587
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees Partial Term Ending 12/31/2026,,Michael W. Jankoviak,,646,491,297,1434
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees Partial Term Ending 12/31/2026,,Write-ins,,21,14,8,43
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees Partial Term Ending 12/31/2026,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Mid Michigan College Board of Trustees Partial Term Ending 12/31/2026,,Under Votes,,460,483,267,1210
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Brian Assmann,,449,344,215,1008
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Liz Busch,,543,549,283,1375
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Maureen Eke,,388,483,238,1109
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Amy Perschbacher,,382,474,237,1093
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Write-ins,,44,20,13,77
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",City of Mt. Pleasant Commissioner,,Under Votes,,1575,1094,730,3399
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Madison Chapman,,417,326,216,959
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Kristina Marie Hug,,387,302,186,875
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Melissa Isaac,,393,431,211,1035
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Tamara Kobylarz,,221,253,149,623
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Write-ins,,30,8,9,47
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Over Votes,,10,18,6,34
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member 6 Year Term,,Under Votes,,797,638,367,1802
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member Partial Term Ending 12/31/2026,,Derek Snyder,,480,311,207,998
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member Partial Term Ending 12/31/2026,,Nathan C. Tomson,,296,375,206,877
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member Partial Term Ending 12/31/2026,,Write-ins,,16,10,7,33
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member Partial Term Ending 12/31/2026,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Mt. Pleasant Public Schools Board Member Partial Term Ending 12/31/2026,,Under Votes,,336,292,152,780
Isabella,"City of Mt. Pleasant, Precinct 1A",Isabella County Sheriff's Office Road Patrol Proposal,,Yes,,441,470,285,1196
Isabella,"City of Mt. Pleasant, Precinct 1A",Isabella County Sheriff's Office Road Patrol Proposal,,No,,565,446,244,1255
Isabella,"City of Mt. Pleasant, Precinct 1A",Isabella County Sheriff's Office Road Patrol Proposal,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 1A",Isabella County Sheriff's Office Road Patrol Proposal,,Under Votes,,121,72,43,236
Isabella,"City of Mt. Pleasant, Precinct 2",Ballots Cast,,,,1170,1288,738,3196
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Kamala D. Harris,DEM,603,900,425,1928
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Donald J. Trump,REP,533,352,299,1184
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Chase Oliver,LIB,6,1,2,9
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Randall Terry,UST,0,2,0,2
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Jill Stein,GRE,10,7,1,18
Isabella,"City of Mt. Pleasant, Precinct 2",President,,"Robert F. Kennedy, Jr.",NLP,5,9,2,16
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Joseph Kishore,NPA,0,0,2,2
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Cornel West,NPA,1,2,1,4
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Write-ins,,4,5,0,9
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Peter Sonski,,4,1,0,5
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Over Votes,,2,0,0,2
Isabella,"City of Mt. Pleasant, Precinct 2",President,,Under Votes,,6,10,6,22
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Elissa Slotkin,DEM,593,885,413,1891
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Mike Rogers,REP,495,347,307,1149
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Joseph Solis-Mullen,LIB,21,8,3,32
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Dave Stein,UST,11,4,2,17
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Douglas P. Marsh,GRE,12,11,1,24
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Doug Dern,NLP,5,1,2,8
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Write-ins,,5,3,1,9
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Over Votes,,0,1,0,1
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. Senate,,Under Votes,,28,28,9,65
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,Michael Lynch,DEM,544,829,383,1756
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,John R. Moolenaar,REP,525,408,324,1257
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,Ben DeJong,LIB,34,5,5,44
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,Scott Adams,UST,14,6,3,23
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,Write-ins,,3,2,2,7
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,Over Votes,,0,1,1,2
Isabella,"City of Mt. Pleasant, Precinct 2",U.S. House,2,Under Votes,,50,37,20,107
Isabella,"City of Mt. Pleasant, Precinct 2",State House,92,Timothy Odykirk,DEM,617,860,422,1899
Isabella,"City of Mt. Pleasant, Precinct 2",State House,92,Jerry Neyer,REP,505,387,299,1191
Isabella,"City of Mt. Pleasant, Precinct 2",State House,92,Write-ins,,2,1,4,7
Isabella,"City of Mt. Pleasant, Precinct 2",State House,92,Over Votes,,1,0,0,1
Isabella,"City of Mt. Pleasant, Precinct 2",State House,92,Under Votes,,45,40,13,98
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Theodore Jones,DEM,504,785,374,1663
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Adam Frederick Zemke,DEM,491,762,360,1613
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Tom McMillin,REP,450,339,275,1064
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Nikki Snyder,REP,459,350,295,1104
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Scotty Boman,LIB,52,24,13,89
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Ted Gerrard,UST,21,7,4,32
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Christine C. Schwartz,UST,26,26,7,59
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Mary Anne Hering,Working Class,73,40,30,143
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Write-ins,,7,4,2,13
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Over Votes,,0,2,0,2
