county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_votes,votes
Baraga,"Arvon Township, Precinct 1",Registered Voters,,,,,,,502
Baraga,"Baraga Township, Precinct 1",Registered Voters,,,,,,,1278
Baraga,"Baraga Township, Precinct 2",Registered Voters,,,,,,,1170
Baraga,"Covington Township, Precinct 1",Registered Voters,,,,,,,385
Baraga,"L'Anse Township, Precinct 1",Registered Voters,,,,,,,3328
Baraga,"Spurr Township, Precinct 1",Registered Voters,,,,,,,288
Baraga,"Arvon Township, Precinct 1",Ballots Cast,,,,327,0,65,392
Baraga,"Baraga Township, Precinct 1",Ballots Cast,,,,369,186,145,700
Baraga,"Baraga Township, Precinct 2",Ballots Cast,,,,378,184,194,756
Baraga,"Covington Township, Precinct 1",Ballots Cast,,,,250,0,11,271
Baraga,"L'Anse Township, Precinct 1",Ballots Cast,,,,505,796,719,2020
Baraga,"Spurr Township, Precinct 1",Ballots Cast,,,,199,0,16,215
Baraga,"Arvon Township, Precinct 1",Straight Party,,DEM,Democratic,56,0,6,62
Baraga,"Baraga Township, Precinct 1",Straight Party,,DEM,Democratic,91,71,22,184
Baraga,"Baraga Township, Precinct 2",Straight Party,,DEM,Democratic,51,45,12,108
Baraga,"Covington Township, Precinct 1",Straight Party,,DEM,Democratic,36,0,4,40
Baraga,"L'Anse Township, Precinct 1",Straight Party,,DEM,Democratic,79,232,87,398
Baraga,"Spurr Township, Precinct 1",Straight Party,,DEM,Democratic,46,0,3,49
Baraga,"Arvon Township, Precinct 1",Straight Party,,REP,Republican,154,0,37,191
Baraga,"Baraga Township, Precinct 1",Straight Party,,REP,Republican,120,40,73,233
Baraga,"Baraga Township, Precinct 2",Straight Party,,REP,Republican,164,62,91,317
Baraga,"Covington Township, Precinct 1",Straight Party,,REP,Republican,94,0,5,99
Baraga,"L'Anse Township, Precinct 1",Straight Party,,REP,Republican,201,201,351,753
Baraga,"Spurr Township, Precinct 1",Straight Party,,REP,Republican,39,0,5,44
Baraga,"Arvon Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Baraga,"Baraga Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Baraga,"Baraga Township, Precinct 2",Straight Party,,LIB,Libertarian,3,0,0,3
Baraga,"Covington Township, Precinct 1",Straight Party,,LIB,Libertarian,1,0,0,1
Baraga,"L'Anse Township, Precinct 1",Straight Party,,LIB,Libertarian,1,1,0,2
Baraga,"Spurr Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Baraga,"Arvon Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Baraga,"Baraga Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,2,0,2
Baraga,"Baraga Township, Precinct 2",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
