county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Monroe,"City of Luna Pier, Precinct 1",President,,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",President,,Kamala D. Harris,Democrat,266,40,0,306
Monroe,"City of Luna Pier, Precinct 1",President,,Donald J. Trump,Republican,347,91,0,438
Monroe,"City of Luna Pier, Precinct 1",President,,Chase Oliver,Libertarian,5,0,0,5
Monroe,"City of Luna Pier, Precinct 1",President,,Randall Terry,U.S. Taxpayers,3,0,0,3
Monroe,"City of Luna Pier, Precinct 1",President,,Jill Stein,Green,6,0,0,6
Monroe,"City of Luna Pier, Precinct 1",President,,"Robert F. Kennedy, Jr.",Natural Law,6,0,0,6
Monroe,"City of Luna Pier, Precinct 1",President,,Write-in,,1,0,0,1
Monroe,"City of Luna Pier, Precinct 1",President,,Over Vote Count,,1,0,0,1
Monroe,"City of Luna Pier, Precinct 1",President,,Under Vote Count,,7,1,0,8
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,265,42,0,307
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Mike Rogers,Republican,327,85,0,412
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,7,1,0,8
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,7,0,0,7
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,5,1,0,6
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,3,1,0,4
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Write-in,,5,0,0,5
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Over Vote Count,,1,0,0,1
Monroe,"City of Luna Pier, Precinct 1",U.S. Senate,,Under Vote Count,,22,2,0,24
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,Libbi Urban,Democrat,249,41,0,290
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,Tim Walberg,Republican,342,85,0,427
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,James Bronke,Green,13,2,0,15
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,Write-in,,5,1,0,6
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,Over Vote Count,,0,0,0,0
Monroe,"City of Luna Pier, Precinct 1",U.S. House,5,Under Vote Count,,33,3,0,36
Monroe,"City of Luna Pier, Precinct 1",State House,30,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",State House,30,Rick Kull,Democrat,252,40,0,292
Monroe,"City of Luna Pier, Precinct 1",State House,30,William T. Bruck,Republican,333,87,0,420
Monroe,"City of Luna Pier, Precinct 1",State House,30,Write-in,,9,0,0,9
Monroe,"City of Luna Pier, Precinct 1",State House,30,Over Vote Count,,0,0,0,0
Monroe,"City of Luna Pier, Precinct 1",State House,30,Under Vote Count,,48,5,0,53
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,228,38,0,266
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,223,37,0,260
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,257,75,0,332
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,267,79,0,346
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,20,5,0,25
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,9,0,0,9
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,11,3,0,14
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,46,5,0,51
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Write-in,,13,1,0,14
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Over Vote Count,,0,0,0,0
Monroe,"City of Luna Pier, Precinct 1",Member of the State Board of Education,,Under Vote Count,,210,21,0,231
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,248,41,0,289
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,221,34,0,255
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,276,79,0,355
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,241,72,0,313
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,20,4,0,24
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,32,5,0,37
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Write-in,,9,1,0,10
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Monroe,"City of Luna Pier, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,237,28,0,265
Monroe,"City of Luna Pier, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,642,132,0,774
Monroe,"City of Luna Pier, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,238,41,0,279
Monroe,"City of Luna Pier, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,213,37,0,250
