county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_voting,votes
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Registered Voters,,,,,,,2371
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Registered Voters,,,,,,,2364
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Registered Voters,,,,,,,2266
Dickinson,"City of Kingsford, Precinct 1",Registered Voters,,,,,,,1876
Dickinson,"City of Kingsford, Precinct 2",Registered Voters,,,,,,,2614
Dickinson,"City of Norway, Precinct 1",Registered Voters,,,,,,,2752
Dickinson,"Breen Township, Precinct 1",Registered Voters,,,,,,,415
Dickinson,"Breitung Township, Precinct 1",Registered Voters,,,,,,,1611
Dickinson,"Breitung Township, Precinct 2",Registered Voters,,,,,,,1295
Dickinson,"Breitung Township, Precinct 3",Registered Voters,,,,,,,2509
Dickinson,"Felch Township, Precinct 1",Registered Voters,,,,,,,664
Dickinson,"Norway Township, Precinct 1",Registered Voters,,,,,,,1270
Dickinson,"Sagola Township, Precinct 1",Registered Voters,,,,,,,1044
Dickinson,"Waucedah Township, Precinct 1",Registered Voters,,,,,,,812
Dickinson,"West Branch Township, Precinct 1",Registered Voters,,,,,,,50
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Ballots Cast,,,,574,435,350,1359
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Ballots Cast,,,,579,355,374,1308
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Ballots Cast,,,,525,384,425,1334
Dickinson,"City of Kingsford, Precinct 1",Ballots Cast,,,,345,506,444,1295
Dickinson,"City of Kingsford, Precinct 2",Ballots Cast,,,,419,556,589,1564
Dickinson,"City of Norway, Precinct 1",Ballots Cast,,,,1362,0,175,1537
Dickinson,"Breen Township, Precinct 1",Ballots Cast,,,,295,0,30,325
Dickinson,"Breitung Township, Precinct 1",Ballots Cast,,,,477,456,210,1143
Dickinson,"Breitung Township, Precinct 2",Ballots Cast,,,,403,334,265,1002
Dickinson,"Breitung Township, Precinct 3",Ballots Cast,,,,522,770,445,1737
Dickinson,"Felch Township, Precinct 1",Ballots Cast,,,,432,0,43,475
Dickinson,"Norway Township, Precinct 1",Ballots Cast,,,,451,417,143,1011
Dickinson,"Sagola Township, Precinct 1",Ballots Cast,,,,630,0,91,721
Dickinson,"Waucedah Township, Precinct 1",Ballots Cast,,,,488,0,86,574
Dickinson,"West Branch Township, Precinct 1",Ballots Cast,,,,38,0,1,39
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,DEM,Democratic,77,95,53,225
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,REP,Republican,217,144,140,501
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,LIB,Libertarian,0,1,0,1
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,GRN,Green,0,1,0,1
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,WCP,Working Class,2,1,0,3
Dickinson,"City of Iron Mountain, Ward 1, Precinct 1",Straight Party,,NLP,Natural Law,0,0,1,1
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,DEM,Democratic,88,111,67,266
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,REP,Republican,216,99,129,444
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,LIB,Libertarian,4,0,4,8
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,UST,U.S. Taxpayers,2,0,0,2
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,GRN,Green,1,1,1,3
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,WCP,Working Class,3,0,1,4
Dickinson,"City of Iron Mountain, Ward 2, Precinct 2",Straight Party,,NLP,Natural Law,0,0,0,0
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,DEM,Democratic,75,95,46,216
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,REP,Republican,194,120,164,478
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,LIB,Libertarian,1,1,0,2
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,GRN,Green,1,2,0,3
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,WCP,Working Class,4,0,0,4
Dickinson,"City of Iron Mountain, Ward 3, Precinct 3",Straight Party,,NLP,Natural Law,1,0,0,1
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,DEM,Democratic,34,135,55,224
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,REP,Republican,145,162,171,478
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,LIB,Libertarian,0,2,1,3
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,GRN,Green,2,1,0,3
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,WCP,Working Class,2,0,1,3
Dickinson,"City of Kingsford, Precinct 1",Straight Party,,NLP,Natural Law,1,0,0,1
Dickinson,"City of Kingsford, Precinct 2",Straight Party,,DEM,Democratic,57,173,52,282
Dickinson,"City of Kingsford, Precinct 2",Straight Party,,REP,Republican,169,192,286,647
Dickinson,"City of Kingsford, Precinct 2",Straight Party,,LIB,Libertarian,1,1,1,3
Dickinson,"City of Kingsford, Precinct 2",Straight Party,,UST,U.S. Taxpayers,0,1,1,2
Dickinson,"City of Kingsford, Precinct 2",Straight Party,,GRN,Green,2,1,3,6
