county,precinct,office,district,party,candidate,votes,election_day,early,absentee
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,REP,Republican Party,522,142,149,231
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,REP,Republican Party,413,109,84,220
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,REP,Republican Party,389,155,155,79
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,REP,Republican Party,654,170,264,220
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,REP,Republican Party,405,132,143,130
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,REP,Republican Party,417,170,161,86
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,REP,Republican Party,480,120,152,208
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,REP,Republican Party,501,158,138,205
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,REP,Republican Party,411,115,117,179
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,REP,Republican Party,455,93,138,224
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,REP,Republican Party,487,131,172,184
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,REP,Republican Party,449,149,190,110
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,REP,Republican Party,558,167,180,211
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,REP,Republican Party,545,103,188,254
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,REP,Republican Party,339,129,117,93
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,REP,Republican Party,366,96,117,153
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,REP,Republican Party,578,138,165,275
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,REP,Republican Party,514,140,171,203
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,REP,Republican Party,373,197,107,69
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,REP,Republican Party,366,241,125,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,REP,Republican Party,555,173,212,170
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,REP,Republican Party,480,164,196,120
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,REP,Republican Party,335,94,120,121
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,REP,Republican Party,530,188,139,203
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,REP,Republican Party,615,181,163,271
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,REP,Republican Party,792,204,212,376
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,REP,Republican Party,427,335,92,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,REP,Republican Party,604,342,262,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,REP,Republican Party,485,271,214,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,REP,Republican Party,532,135,73,324
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,REP,Republican Party,550,107,86,357
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,REP,Republican Party,148,124,24,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,REP,Republican Party,712,249,155,308
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,REP,Republican Party,312,103,72,137
Grand Traverse,Traverse City Pct 3,Straight Party Ticket,,REP,Republican Party,244,68,69,107
Grand Traverse,Traverse City Pct 7,Straight Party Ticket,,REP,Republican Party,304,118,89,97
Grand Traverse,Traverse City Pct 8,Straight Party Ticket,,REP,Republican Party,266,69,101,96
Grand Traverse,Traverse City Pct 9,Straight Party Ticket,,REP,Republican Party,288,100,51,137
Grand Traverse,Traverse City Pct 10,Straight Party Ticket,,REP,Republican Party,353,123,101,129
Grand Traverse,Acme Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,439,86,95,258
Grand Traverse,Acme Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,236,47,26,163
Grand Traverse,Blair Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,162,61,38,63
Grand Traverse,Blair Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,247,54,49,144
Grand Traverse,Blair Twp Pct 3,Straight Party Ticket,,DEM,Democratic Party,239,58,57,124
Grand Traverse,Blair Twp Pct 4,Straight Party Ticket,,DEM,Democratic Party,206,81,42,83
Grand Traverse,East Bay Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,384,85,61,238
Grand Traverse,East Bay Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,325,52,56,217
Grand Traverse,East Bay Twp Pct 3,Straight Party Ticket,,DEM,Democratic Party,339,65,43,231
Grand Traverse,East Bay Twp Pct 4,Straight Party Ticket,,DEM,Democratic Party,385,79,82,224
Grand Traverse,East Bay Twp Pct 5,Straight Party Ticket,,DEM,Democratic Party,319,68,72,179
Grand Traverse,Fife Lake Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,145,27,50,68
Grand Traverse,Garfield Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,439,122,92,225
Grand Traverse,Garfield Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,452,58,92,302
Grand Traverse,Garfield Twp Pct 3,Straight Party Ticket,,DEM,Democratic Party,356,95,76,185
Grand Traverse,Garfield Twp Pct 4,Straight Party Ticket,,DEM,Democratic Party,438,91,91,256
Grand Traverse,Garfield Twp Pct 5,Straight Party Ticket,,DEM,Democratic Party,545,96,103,346
Grand Traverse,Garfield Twp Pct 6,Straight Party Ticket,,DEM,Democratic Party,438,86,68,284
Grand Traverse,Garfield Twp Pct 7,Straight Party Ticket,,DEM,Democratic Party,356,124,85,147
Grand Traverse,Grant Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,97,78,19,0
Grand Traverse,Green Lake Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,306,62,62,182
Grand Traverse,Green Lake Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,312,85,74,153
Grand Traverse,Green Lake Twp Pct 3,Straight Party Ticket,,DEM,Democratic Party,235,53,45,137
Grand Traverse,Long Lake Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,511,127,76,308
Grand Traverse,Long Lake Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,386,87,55,244
Grand Traverse,Long Lake Twp Pct 3,Straight Party Ticket,,DEM,Democratic Party,460,95,40,325
Grand Traverse,Mayfield Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,125,113,12,0
Grand Traverse,Paradise Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,230,177,53,0
Grand Traverse,Paradise Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,203,149,54,0
Grand Traverse,Peninsula Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,432,87,27,318
Grand Traverse,Peninsula Twp Pct 2,Straight Party Ticket,,DEM,Democratic Party,476,66,33,377
Grand Traverse,Union Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,48,40,8,0
Grand Traverse,Whitewater Twp Pct 1,Straight Party Ticket,,DEM,Democratic Party,312,70,42,200
Grand Traverse,Traverse City Pct 1,Straight Party Ticket,,DEM,Democratic Party,495,130,88,277
