county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_voting,votes
Leelanau,"Bingham Township, Precinct 1",Ballots Cast,,,,480,1102,457,2039
Leelanau,"Centerville Township, Precinct 1",Ballots Cast,,,,353,448,174,975
Leelanau,"Cleveland Township, Precinct 1",Ballots Cast,,,,711,0,161,872
Leelanau,"Elmwood Township, Precinct 1",Ballots Cast,,,,677,1206,391,2274
Leelanau,"Elmwood Township, Precinct 2",Ballots Cast,,,,399,768,211,1378
Leelanau,"Empire Township, Precinct 1",Ballots Cast,,,,978,0,112,1090
Leelanau,"Glen Arbor Township, Precinct 1",Ballots Cast,,,,248,475,69,792
Leelanau,"Kasson Township, Precinct 1",Ballots Cast,,,,1034,0,163,1197
Leelanau,"Leelanau Township, Precinct 1",Ballots Cast,,,,537,955,325,1817
Leelanau,"Leland Township, Precinct 1",Ballots Cast,,,,403,938,362,1703
Leelanau,"Solon Township, Precinct 1",Ballots Cast,,,,489,459,234,1182
Leelanau,"Suttons Bay Township, Precinct 1",Ballots Cast,,,,600,1004,497,2101
Leelanau,"City of Traverse City, Precinct 4",Ballots Cast,,,,334,0,80,414
Leelanau,"Platte Township, Precinct 1 (Benzie County)",Ballots Cast,,,,6,0,0,6
Leelanau,"Bingham Township, Precinct 1",Registered Voters,,,,,,,2280
Leelanau,"Centerville Township, Precinct 1",Registered Voters,,,,,,,1123
Leelanau,"Cleveland Township, Precinct 1",Registered Voters,,,,,,,964
Leelanau,"Elmwood Township, Precinct 1",Registered Voters,,,,,,,2541
Leelanau,"Elmwood Township, Precinct 2",Registered Voters,,,,,,,1550
Leelanau,"Empire Township, Precinct 1",Registered Voters,,,,,,,1201
Leelanau,"Glen Arbor Township, Precinct 1",Registered Voters,,,,,,,865
Leelanau,"Kasson Township, Precinct 1",Registered Voters,,,,,,,1355
Leelanau,"Leelanau Township, Precinct 1",Registered Voters,,,,,,,2016
Leelanau,"Leland Township, Precinct 1",Registered Voters,,,,,,,1915
Leelanau,"Solon Township, Precinct 1",Registered Voters,,,,,,,1339
Leelanau,"Suttons Bay Township, Precinct 1",Registered Voters,,,,,,,2462
Leelanau,"City of Traverse City, Precinct 4",Registered Voters,,,,,,,475
Leelanau,"Platte Township, Precinct 1 (Benzie County)",Registered Voters,,,,,,,8
Leelanau,"Bingham Township, Precinct 1",Straight Party,,DEM,Democratic,85,269,74,428
Leelanau,"Bingham Township, Precinct 1",Straight Party,,REP,Republican,136,284,162,582
