county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Iosco,"Alabaster Township, Precinct 1",President,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",President,,Kamala D. Harris /,Democrat,103,10,0,113
Iosco,"Alabaster Township, Precinct 1",President,,Donald J. Trump /,Republican,191,37,0,228
Iosco,"Alabaster Township, Precinct 1",President,,Chase Oliver /,Libertarian,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",President,,Jill Stein /,Green,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",President,,"Robert F. Kennedy, Jr. /",Natural Law,2,0,0,2
Iosco,"Alabaster Township, Precinct 1",President,,Joseph Kishore /,No Party Affiliation,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",President,,Write-in,,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",President,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",President,,Under Vote Count,,3,0,0,3
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,102,12,0,114
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Mike Rogers,Republican,183,35,0,218
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,3,0,0,3
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,3,0,0,3
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",U.S. Senate,,Under Vote Count,,10,0,0,10
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Callie Barr,Democrat,94,9,0,103
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Jack Bergman,Republican,180,37,0,217
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Andrew Gale,Libertarian,5,0,0,5
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Liz Hakola,Working Class,7,0,0,7
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",U.S. House,1,Under Vote Count,,17,1,0,18
Iosco,"Alabaster Township, Precinct 1",State House,99,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",State House,99,Jon LeRoux,Democrat,90,8,0,98
Iosco,"Alabaster Township, Precinct 1",State House,99,Mike Hoadley,Republican,194,38,0,232
Iosco,"Alabaster Township, Precinct 1",State House,99,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",State House,99,Under Vote Count,,19,1,0,20
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,81,8,0,89
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,82,8,0,90
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,164,35,0,199
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,177,36,0,213
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,8,1,0,9
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,5,0,0,5
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,7,2,0,9
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,11,1,0,12
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Write-in,,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Over Vote Count,,2,0,0,2
Iosco,"Alabaster Township, Precinct 1",Member of the State Board of Education,,Under Vote Count,,68,3,0,71
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,89,10,0,99
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,85,8,0,93
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,180,36,0,216
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,164,32,0,196
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,6,0,0,6
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,9,2,0,11
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,73,6,0,79
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,84,9,0,93
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,73,10,0,83
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,Republican,177,34,0,211
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,Republican,171,34,0,205
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,Libertarian,8,0,0,8
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,7,0,0,7
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,6,1,0,7
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,Green,4,0,0,4
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",Trustee of Michigan State University,,Under Vote Count,,76,6,0,82
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,Democrat,73,8,0,81
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,Democrat,86,10,0,96
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,Republican,172,36,0,208
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,Republican,166,33,0,199
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,Libertarian,4,0,0,4
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,4,1,0,5
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,Green,2,0,0,2
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,Working Class,7,0,0,7
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,Natural Law,4,0,0,4
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",Governor of Wayne State University,,Under Vote Count,,88,6,0,94
Iosco,"Alabaster Township, Precinct 1",County Prosecuting Attorney,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",County Prosecuting Attorney,,James A. Bacarella,Republican,231,42,0,273
Iosco,"Alabaster Township, Precinct 1",County Prosecuting Attorney,,Write-in,,2,0,0,2
Iosco,"Alabaster Township, Precinct 1",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",County Prosecuting Attorney,,Under Vote Count,,70,5,0,75
Iosco,"Alabaster Township, Precinct 1",County Sheriff,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",County Sheriff,,Scott D. Frank,Republican,222,43,0,265
Iosco,"Alabaster Township, Precinct 1",County Sheriff,,Write-in,,3,0,0,3
Iosco,"Alabaster Township, Precinct 1",County Sheriff,,Over Vote Count,,1,0,0,1
Iosco,"Alabaster Township, Precinct 1",County Sheriff,,Under Vote Count,,77,4,0,81
Iosco,"Alabaster Township, Precinct 1",County Clerk,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",County Clerk,,Nancy J. Huebel,Republican,224,42,0,266
Iosco,"Alabaster Township, Precinct 1",County Clerk,,Write-in,,3,0,0,3
Iosco,"Alabaster Township, Precinct 1",County Clerk,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",County Clerk,,Under Vote Count,,76,5,0,81
Iosco,"Alabaster Township, Precinct 1",County Treasurer,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",County Treasurer,,April L. Johnson,Republican,223,42,0,265
Iosco,"Alabaster Township, Precinct 1",County Treasurer,,Write-in,,2,0,0,2
Iosco,"Alabaster Township, Precinct 1",County Treasurer,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",County Treasurer,,Under Vote Count,,78,5,0,83
Iosco,"Alabaster Township, Precinct 1",County Register of Deeds,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",County Register of Deeds,,Ericka L. Earl,Republican,224,41,0,265
Iosco,"Alabaster Township, Precinct 1",County Register of Deeds,,Write-in,,3,0,0,3
Iosco,"Alabaster Township, Precinct 1",County Register of Deeds,,Over Vote Count,,0,0,0,0
Iosco,"Alabaster Township, Precinct 1",County Register of Deeds,,Under Vote Count,,76,6,0,82
Iosco,"Alabaster Township, Precinct 1",County Drain Commissioner,,Ballots Cast,,303,47,0,350
Iosco,"Alabaster Township, Precinct 1",County Drain Commissioner,,Fred D. Strauer,Democrat,179,24,0,203
Iosco,"Alabaster Township, Precinct 1",County Drain Commissioner,,Write-in,,4,0,0,4
Iosco,"Alabaster Township, Precinct 1",County Drain Commissioner,,Over Vote Count,,0,0,0,0
