county,precinct,office,district,candidate,party,election_day,absentee,early_voting_local,early_voting_county,votes
Muskegon,Blue Lake Township Precinct 1,Register of Deeds,,Under Votes,,110,0,0,6,116
Muskegon,Blue Lake Township Precinct 1,Register of Deeds,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Water Resources Commissioner,,Stephanie Barrett,DEM,463,0,0,39,502
Muskegon,Blue Lake Township Precinct 1,Water Resources Commissioner,,Zach Laring,REP,764,0,0,83,847
Muskegon,Blue Lake Township Precinct 1,Water Resources Commissioner,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Water Resources Commissioner,,Under Votes,,108,0,0,8,116
Muskegon,Blue Lake Township Precinct 1,Water Resources Commissioner,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Surveyor,,Tim DeMumbrum,DEM,614,0,0,51,665
Muskegon,Blue Lake Township Precinct 1,Surveyor,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Surveyor,,Under Votes,,720,0,0,79,799
Muskegon,Blue Lake Township Precinct 1,Surveyor,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,County Commissioner 1st District,,Bruce E. Froelich,DEM,429,0,0,34,463
Muskegon,Blue Lake Township Precinct 1,County Commissioner 1st District,,Kim L. Cyr,REP,819,0,0,89,908
Muskegon,Blue Lake Township Precinct 1,County Commissioner 1st District,,Under Votes,,87,0,0,7,94
Muskegon,Blue Lake Township Precinct 1,County Commissioner 1st District,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Supervisor,,Melonie L. Arbogast,DEM,664,0,0,56,720
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Supervisor,,Under Votes,,671,0,0,74,745
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Supervisor,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Clerk,,Jeff Abram,REP,895,0,0,99,994
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Clerk,,Under Votes,,440,0,0,31,471
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Clerk,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Treasurer,,Debbie Therrian,DEM,657,0,0,49,706
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Treasurer,,Under Votes,,678,0,0,81,759
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Treasurer,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Trustee,,Todd M. Conzemius,DEM,483,0,0,40,523
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Trustee,,Lyle G. Monette,REP,827,0,0,88,915
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Trustee,,Jackson Wall,REP,713,0,0,78,791
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Trustee,,Under Votes,,647,0,0,54,701
Muskegon,Blue Lake Township Precinct 1,Blue Lake Township Trustee,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court 8 Year Term,,Andrew Fink,,480,0,0,50,530
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,477,0,0,34,511
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court 8 Year Term,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court 8 Year Term,,Under Votes,,377,0,0,46,423
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court 8 Year Term,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court Incumbent Position Term Ending 01/01/2029,,Kyra Harris Bolden,,470,0,0,37,507
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court Incumbent Position Term Ending 01/01/2029,,Patrick William O'Grady,,482,0,0,48,530
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court Incumbent Position Term Ending 01/01/2029,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court Incumbent Position Term Ending 01/01/2029,,Under Votes,,383,0,0,45,428
Muskegon,Blue Lake Township Precinct 1,Justice of Supreme Court Incumbent Position Term Ending 01/01/2029,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,522,0,0,42,564
Muskegon,Blue Lake Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,577,0,0,53,630
Muskegon,Blue Lake Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position,,Under Votes,,1571,0,0,165,1736
Muskegon,Blue Lake Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Judge of Circuit Court 14th Circuit Incumbent Position,,Annette R. Smedley,,667,0,0,51,718
Muskegon,Blue Lake Township Precinct 1,Judge of Circuit Court 14th Circuit Incumbent Position,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Judge of Circuit Court 14th Circuit Incumbent Position,,Under Votes,,667,0,0,79,746
Muskegon,Blue Lake Township Precinct 1,Judge of Circuit Court 14th Circuit Incumbent Position,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Judge of Probate Court Incumbent Position,,Gregory C. Pittman,,566,0,0,56,622
Muskegon,Blue Lake Township Precinct 1,Judge of Probate Court Incumbent Position,,Kendrah Robinson,,309,0,0,25,334
Muskegon,Blue Lake Township Precinct 1,Judge of Probate Court Incumbent Position,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Judge of Probate Court Incumbent Position,,Under Votes,,459,0,0,49,508
Muskegon,Blue Lake Township Precinct 1,Judge of Probate Court Incumbent Position,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Judge of District Court 60th District Incumbent Position,,Raymond J. Kostrzewa,,659,0,0,52,711
Muskegon,Blue Lake Township Precinct 1,Judge of District Court 60th District Incumbent Position,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Judge of District Court 60th District Incumbent Position,,Under Votes,,675,0,0,78,753
Muskegon,Blue Lake Township Precinct 1,Judge of District Court 60th District Incumbent Position,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Donald Crandall,,637,0,0,51,688
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Asaline Scott (W),,11,0,0,0,11
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Jeffrey Lee Zabrocki (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Kara Olson (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Neal Alan Barncard (W),,17,0,0,3,20
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Under Votes,,2005,0,0,206,2211
Muskegon,Blue Lake Township Precinct 1,Board of Trustees Member Muskegon Community College,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Beth Barnard,,183,0,0,15,198
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Brian D. Byrnes,,226,0,0,28,254
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Amber Trygstad Cartwright,,243,0,0,24,267
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Beth Frey,,196,0,0,18,214
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Jack Vanderboegh,,227,0,0,15,242
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Under Votes,,1205,0,0,104,1309
Muskegon,Blue Lake Township Precinct 1,Board Member Holton Public Schools,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Board Member Whitehall District Schools,,Rachel Fekken,,317,0,0,28,345
Muskegon,Blue Lake Township Precinct 1,Board Member Whitehall District Schools,,James A. TenBrink,,349,0,0,27,376
Muskegon,Blue Lake Township Precinct 1,Board Member Whitehall District Schools,,Under Votes,,862,0,0,103,965
Muskegon,Blue Lake Township Precinct 1,Board Member Whitehall District Schools,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Whitehall District Schools Operating Millage Proposal,,Yes,,294,0,0,25,319
Muskegon,Blue Lake Township Precinct 1,Whitehall District Schools Operating Millage Proposal,,No,,345,0,0,33,378
Muskegon,Blue Lake Township Precinct 1,Whitehall District Schools Operating Millage Proposal,,Under Votes,,125,0,0,21,146
Muskegon,Blue Lake Township Precinct 1,Whitehall District Schools Operating Millage Proposal,,Over Votes,,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Registered Voters,,,,,,,,1575
Muskegon,Casnovia Township Precinct 1,Ballots Cast,,,,,,,,2172
Muskegon,Casnovia Township Precinct 1,Straight Party,,Democratic Party,DEM,234,0,0,14,248
Muskegon,Casnovia Township Precinct 1,Straight Party,,Republican Party,REP,651,0,0,66,717
Muskegon,Casnovia Township Precinct 1,Straight Party,,Libertarian Party,LIB,4,0,0,0,4
Muskegon,Casnovia Township Precinct 1,Straight Party,,U.S. Taxpayers Party,UST,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Straight Party,,Green Party,GRN,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Straight Party,,Working Class Party,WC,4,0,0,0,4
Muskegon,Casnovia Township Precinct 1,Straight Party,,Natural Law Party,NLP,1,0,0,0,1
Muskegon,Casnovia Township Precinct 1,Straight Party,,Under Votes,,547,0,0,54,601
Muskegon,Casnovia Township Precinct 1,Straight Party,,Over Votes,,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,President,,Kamala D. Harris,DEM,380,0,0,26,406
Muskegon,Casnovia Township Precinct 1,President,,Donald J. Trump,REP,1035,0,0,107,1142
Muskegon,Casnovia Township Precinct 1,President,,Chase Oliver,LIB,4,0,0,0,4
Muskegon,Casnovia Township Precinct 1,President,,Randall Terry,UST,4,0,0,0,4
Muskegon,Casnovia Township Precinct 1,President,,Jill Stein,GRN,4,0,0,0,4
Muskegon,Casnovia Township Precinct 1,President,,"Robert F. Kennedy, Jr.",NLP,6,0,0,1,7
Muskegon,Casnovia Township Precinct 1,President,,Joseph Kishore,NPA,1,0,0,0,1
Muskegon,Casnovia Township Precinct 1,President,,Cornel West,NPA,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,President,,Blank (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,President,,Cherunda Lynn Fox (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,President,,Claudia De la Cruz (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,President,,Jay J. Bowman (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,President,,Peter Sonski (W),,2,0,0,0,2
Muskegon,Casnovia Township Precinct 1,President,,Under Votes,,3,0,0,0,3
Muskegon,Casnovia Township Precinct 1,President,,Over Votes,,2,0,0,0,2
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Elissa Slotkin,DEM,368,0,0,25,393
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Mike Rogers,REP,1009,0,0,104,1113
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Joseph Solis-Mullen,LIB,20,0,0,3,23
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Dave Stein,UST,13,0,0,0,13
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Douglas P. Marsh,GRN,4,0,0,0,4
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Doug Dern,NLP,5,0,0,0,5
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Blank (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,James Chapman (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Marcus A. Irvine (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Valerie Lee Willis (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Under Votes,,20,0,0,2,22
Muskegon,Casnovia Township Precinct 1,U.S. Senate,,Over Votes,,2,0,0,0,2
Muskegon,Casnovia Township Precinct 1,U.S. House,2,Michael Lynch,DEM,350,0,0,23,373
Muskegon,Casnovia Township Precinct 1,U.S. House,2,John R. Moolenaar,REP,991,0,0,101,1092
Muskegon,Casnovia Township Precinct 1,U.S. House,2,Ben DeJong,LIB,39,0,0,2,41
Muskegon,Casnovia Township Precinct 1,U.S. House,2,Scott Adams,UST,18,0,0,0,18
Muskegon,Casnovia Township Precinct 1,U.S. House,2,Under Votes,,43,0,0,8,51
Muskegon,Casnovia Township Precinct 1,U.S. House,2,Over Votes,,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,State House,89,Lois E. Maassen,DEM,343,0,0,23,366
Muskegon,Casnovia Township Precinct 1,State House,89,Luke Meerman,REP,1061,0,0,104,1165
Muskegon,Casnovia Township Precinct 1,State House,89,Blank (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,State House,89,Under Votes,,37,0,0,7,44
Muskegon,Casnovia Township Precinct 1,State House,89,Over Votes,,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Theodore Jones,DEM,319,0,0,23,342
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Adam Frederick Zemke,DEM,325,0,0,23,348
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Tom McMillin,REP,935,0,0,96,1031
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Nikki Snyder,REP,925,0,0,94,1019
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Scotty Boman,LIB,38,0,0,0,38
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Ted Gerrard,UST,19,0,0,1,20
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Christine C. Schwartz,UST,28,0,0,3,31
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Mary Anne Hering,WC,52,0,0,0,52
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Blank (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Under Votes,,241,0,0,28,269
Muskegon,Casnovia Township Precinct 1,Members of the State Board of Education,,Over Votes,,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Denise Ilitch,DEM,324,0,0,24,348
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,326,0,0,21,347
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Carl Meyers,REP,976,0,0,97,1073
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Sevag Vartanian,REP,864,0,0,88,952
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Andrew Chadderdon,LIB,37,0,0,1,38
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Donna M. Oetman,UST,45,0,0,0,45
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Blank (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Huwaida Arraf (W),,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Under Votes,,310,0,0,37,347
Muskegon,Casnovia Township Precinct 1,Regent of the University of Michigan,,Over Votes,,0,0,0,0,0
Muskegon,Casnovia Township Precinct 1,Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,331,0,0,22,353
