county,precinct,office,district,candidate,party,election_day,absentee,early_voting_local,early_voting_county,votes
Muskegon,Blue Lake Township Precinct 1,Registered Voters,,,,,,,,1465
Muskegon,Blue Lake Township Precinct 1,Ballots Cast,,,,,,,,2179
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Democratic Party,DEM,262,0,0,29,291
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Republican Party,REP,448,0,0,54,502
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Libertarian Party,LIB,2,0,0,0,2
Muskegon,Blue Lake Township Precinct 1,Straight Party,,U.S. Taxpayers Party,UST,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Green Party,GRN,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Working Class Party,WC,4,0,0,0,4
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Natural Law Party,NLP,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Under Votes,,619,0,0,47,666
Muskegon,Blue Lake Township Precinct 1,Straight Party,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Kamala D. Harris,DEM,468,0,0,39,507
Muskegon,Blue Lake Township Precinct 1,President,,Donald J. Trump,REP,844,0,0,91,935
Muskegon,Blue Lake Township Precinct 1,President,,Chase Oliver,LIB,6,0,0,0,6
Muskegon,Blue Lake Township Precinct 1,President,,Randall Terry,UST,2,0,0,0,2
Muskegon,Blue Lake Township Precinct 1,President,,Jill Stein,GRN,2,0,0,0,2
Muskegon,Blue Lake Township Precinct 1,President,,"Robert F. Kennedy, Jr.",NLP,5,0,0,0,5
Muskegon,Blue Lake Township Precinct 1,President,,Joseph Kishore,NPA,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Cornel West,NPA,2,0,0,0,2
Muskegon,Blue Lake Township Precinct 1,President,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Cherunda Lynn Fox (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Claudia De la Cruz (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Jay J. Bowman (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Peter Sonski (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,President,,Under Votes,,6,0,0,0,6
Muskegon,Blue Lake Township Precinct 1,President,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Elissa Slotkin,DEM,480,0,0,39,519
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Mike Rogers,REP,803,0,0,85,888
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Joseph Solis-Mullen,LIB,6,0,0,1,7
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Dave Stein,UST,8,0,0,3,11
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Douglas P. Marsh,GRN,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Doug Dern,NLP,5,0,0,0,5
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,James Chapman (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Marcus A. Irvine (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Valerie Lee Willis (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Under Votes,,30,0,0,2,32
Muskegon,Blue Lake Township Precinct 1,U.S. Senate,,Over Votes,,3,0,0,0,3
Muskegon,Blue Lake Township Precinct 1,U.S. House,2,Michael Lynch,DEM,448,0,0,36,484
Muskegon,Blue Lake Township Precinct 1,U.S. House,2,John R. Moolenaar,REP,804,0,0,86,890
Muskegon,Blue Lake Township Precinct 1,U.S. House,2,Ben DeJong,LIB,13,0,0,3,16
Muskegon,Blue Lake Township Precinct 1,U.S. House,2,Scott Adams,UST,14,0,0,1,15
Muskegon,Blue Lake Township Precinct 1,U.S. House,2,Under Votes,,56,0,0,3,59
Muskegon,Blue Lake Township Precinct 1,U.S. House,2,Over Votes,,0,0,0,1,1
Muskegon,Blue Lake Township Precinct 1,State House,102,Kathy Pelleran-Mahoney,DEM,465,0,0,36,501
Muskegon,Blue Lake Township Precinct 1,State House,102,Curt VanderWall,REP,819,0,0,90,909
Muskegon,Blue Lake Township Precinct 1,State House,102,Under Votes,,51,0,0,4,55
Muskegon,Blue Lake Township Precinct 1,State House,102,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Theodore Jones,DEM,409,0,0,36,445
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Adam Frederick Zemke,DEM,403,0,0,33,436
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Tom McMillin,REP,719,0,0,78,797
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Nikki Snyder,REP,723,0,0,80,803
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Scotty Boman,LIB,32,0,0,3,35
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Ted Gerrard,UST,10,0,0,2,12
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Christine C. Schwartz,UST,19,0,0,3,22
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Mary Anne Hering,WC,45,0,0,5,50
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Under Votes,,306,0,0,20,326
Muskegon,Blue Lake Township Precinct 1,Members of the State Board of Education,,Over Votes,,2,0,0,0,2
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Denise Ilitch,DEM,420,0,0,38,458
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,402,0,0,36,438
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Carl Meyers,REP,737,0,0,82,819
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Sevag Vartanian,REP,659,0,0,72,731
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Andrew Chadderdon,LIB,34,0,0,4,38
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Donna M. Oetman,UST,28,0,0,3,31
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Huwaida Arraf (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Under Votes,,390,0,0,25,415
Muskegon,Blue Lake Township Precinct 1,Regent of the University of Michigan,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,414,0,0,36,450
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Thomas Stallworth III,DEM,390,0,0,34,424
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Mike Balow,REP,705,0,0,78,783
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Julie Maday,REP,697,0,0,76,773
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Grant T. Baker,LIB,25,0,0,2,27
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Janet M. Sanger,UST,23,0,0,4,27
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,John Paul Sanger,UST,17,0,0,2,19
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,John Anthony La Pietra,GRN,15,0,0,0,15
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Under Votes,,382,0,0,28,410
Muskegon,Blue Lake Township Precinct 1,Trustee of Michigan State University,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Rasha Demashkieh,DEM,389,0,0,35,424
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Mark T. Gaffney,DEM,395,0,0,37,432
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Michael Busuito,REP,684,0,0,77,761
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Sunny Reddy,REP,694,0,0,73,767
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Farid Ishac,LIB,18,0,0,3,21
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,William Mohr II,UST,22,0,0,1,23
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Sami Makhoul,GRN,3,0,0,1,4
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Suzanne Roehrig,WC,28,0,0,2,30
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Kathleen Oakford,NLP,13,0,0,1,14
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Under Votes,,424,0,0,30,454
Muskegon,Blue Lake Township Precinct 1,Governor of Wayne State University,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Prosecuting Attorney,,D. J. Hilson,DEM,654,0,0,55,709
Muskegon,Blue Lake Township Precinct 1,Prosecuting Attorney,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Prosecuting Attorney,,Under Votes,,680,0,0,75,755
Muskegon,Blue Lake Township Precinct 1,Prosecuting Attorney,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Sheriff,,Michael J. Poulin,DEM,582,0,0,52,634
Muskegon,Blue Lake Township Precinct 1,Sheriff,,Max Riekse,REP,681,0,0,73,754
Muskegon,Blue Lake Township Precinct 1,Sheriff,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Sheriff,,Under Votes,,72,0,0,5,77
Muskegon,Blue Lake Township Precinct 1,Sheriff,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Clerk,,Karen D. Buie,DEM,478,0,0,44,522
Muskegon,Blue Lake Township Precinct 1,Clerk,,Eric Rothoff,REP,761,0,0,79,840
Muskegon,Blue Lake Township Precinct 1,Clerk,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Clerk,,Under Votes,,95,0,0,7,102
Muskegon,Blue Lake Township Precinct 1,Clerk,,Over Votes,,1,0,0,0,1
Muskegon,Blue Lake Township Precinct 1,Treasurer,,Tony Moulatsiotis,DEM,483,0,0,38,521
Muskegon,Blue Lake Township Precinct 1,Treasurer,,Kent Boersema,REP,767,0,0,87,854
Muskegon,Blue Lake Township Precinct 1,Treasurer,,Blank (W),,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Treasurer,,Under Votes,,85,0,0,5,90
Muskegon,Blue Lake Township Precinct 1,Treasurer,,Over Votes,,0,0,0,0,0
Muskegon,Blue Lake Township Precinct 1,Register of Deeds,,William Moulatsiotis,DEM,458,0,0,38,496
Muskegon,Blue Lake Township Precinct 1,Register of Deeds,,Jason M. Hall,REP,767,0,0,86,853
Muskegon,Blue Lake Township Precinct 1,Register of Deeds,,Blank (W),,0,0,0,0,0
