county,precinct,offfice,district,party,candidate,votes,election_day,absentee,early_voting
Emmet,Bear Creek Township Precinct 1,Registered Voters,,,,2702,,,
Emmet,Bear Creek Township Precinct 1,Ballots Cast,,,,2073,624,1154,295
Emmet,Bear Creek Township Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,DEM,Democrat,471,123,288,60
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,REP,Republican,632,218,305,109
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,LIB,Libertarian,4,2,2,0
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,UST,U.S. Taxpayers,2,0,2,0
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,GRN,Green,3,1,2,0
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,WCP,Working Class,7,5,1,1
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,NLP,Natural Law,2,1,1,0
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,Straight Party Ticket,,,Undervotes,952,274,553,125
Emmet,Bear Creek Township Precinct 1,President,,DEM,Kamala D. Harris,997,239,639,119
Emmet,Bear Creek Township Precinct 1,President,,REP,Donald J. Trump,1035,375,489,171
Emmet,Bear Creek Township Precinct 1,President,,LIB,Chase Oliver,6,3,3,0
Emmet,Bear Creek Township Precinct 1,President,,UST,Randall Terry,0,0,0,0
Emmet,Bear Creek Township Precinct 1,President,,GRN,Jill Stein,5,1,3,1
Emmet,Bear Creek Township Precinct 1,President,,NLP,"NLP Robert F. Kennedy, Jr.",18,5,12,1
Emmet,Bear Creek Township Precinct 1,President,,NPA,NPA Joseph Kishore,3,0,2,1
Emmet,Bear Creek Township Precinct 1,President,,NPA,NPA Cornel West,0,0,0,0
Emmet,Bear Creek Township Precinct 1,President,,,Write-ins,2,0,2,0
Emmet,Bear Creek Township Precinct 1,President,,,Write-In: Peter Sonski,0,0,0,0
Emmet,Bear Creek Township Precinct 1,President,,,Overvotes,1,1,0,0
Emmet,Bear Creek Township Precinct 1,President,,,Undervotes,6,0,4,2
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,DEM,Elissa Slotkin,972,226,627,119
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,REP,Mike Rogers,1027,373,487,167
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,LIB,Joseph Solis-Mullen,19,6,13,0
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,UST,Dave Stein,10,6,3,1
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,GRN,Douglas P. Marsh,7,2,4,1
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,NLP,Doug Dern,4,2,2,0
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,,Write-ins,1,1,0,0
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,U.S. Senate,,,Undervotes,33,8,18,7
Emmet,Bear Creek Township Precinct 1,U.S. House,,DEM,Callie Barr,938,228,594,116
Emmet,Bear Creek Township Precinct 1,U.S. House,,REP,Jack Bergman,1040,357,516,167
Emmet,Bear Creek Township Precinct 1,U.S. House,,LIB,Andrew Gale,17,8,7,2
Emmet,Bear Creek Township Precinct 1,U.S. House,,WCP,Liz Hakola,30,16,11,3
Emmet,Bear Creek Township Precinct 1,U.S. House,,,Write-ins,3,2,0,1
Emmet,Bear Creek Township Precinct 1,U.S. House,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,U.S. House,,,Undervotes,45,13,26,6
Emmet,Bear Creek Township Precinct 1,State House,,DEM,Jodi Decker,894,212,573,109
Emmet,Bear Creek Township Precinct 1,State House,,REP,Parker Fairbairn,1128,392,556,180
Emmet,Bear Creek Township Precinct 1,State House,,,Write-ins,8,5,1,2
Emmet,Bear Creek Township Precinct 1,State House,,,Overvotes,0,0,0,0
Emmet,Bear Creek Township Precinct 1,State House,,,Undervotes,43,15,24,4
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,DEM,Theodore Jones,850,192,553,105
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,DEM,Adam Frederick Zemke,821,178,540,103
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,REP,Tom McMillin,963,333,472,158
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,REP,Nikki Snyder,983,333,490,160
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,LIB,Scotty Boman,51,20,27,4
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,UST,Ted Gerrard,10,3,6,1
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,UST,Christine C. Schwartz,25,9,12,4
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,WCP,Mary Anne Hering,76,38,32,6
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,,Write-ins,6,3,0,3
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,,Overvotes,4,4,0,0
Emmet,Bear Creek Township Precinct 1,Member of the State Board of Education State,,,Undervotes,357,135,176,46
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,DEM,Shauna Ryder Diggs,842,196,546,100
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,DEM,Denise Ilitch,864,195,565,104
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,REP,Carl Meyers,1008,354,493,161
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,REP,Sevag Vartanian,897,304,441,152
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,LIB,Andrew Chadderdon,64,27,32,5
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,UST,Donna M. Oetman,48,21,24,3
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,,Write-ins,5,1,1,3
Emmet,Bear Creek Township Precinct 1,Regent of the University of Michigan State,,,Write-In: Huwaida Arraf,1,0,1,0
