county,precinct,office,district,candidate,party,election_day,early_voting,votes
Gratiot,"City of Alma, Precinct 1",President,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",President,,Kamala D. Harris,Democrat,487,78,565
Gratiot,"City of Alma, Precinct 1",President,,Donald J. Trump,Republican,417,87,504
Gratiot,"City of Alma, Precinct 1",President,,Chase Oliver,Libertarian,4,0,4
Gratiot,"City of Alma, Precinct 1",President,,Jill Stein,Green,2,0,2
Gratiot,"City of Alma, Precinct 1",President,,Robert F. Kennedy Jr.,Natural Law,3,0,3
Gratiot,"City of Alma, Precinct 1",President,,Write-in,,3,0,3
Gratiot,"City of Alma, Precinct 1",President,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",President,,Under Vote Count,,3,0,3
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,471,77,548
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Mike Rogers,Republican,405,80,485
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,14,0,14
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,4,2,6
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,5,0,5
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,2,0,2
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Write-in,,1,1,2
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",U.S. Senate,,Under Vote Count,,17,5,22
Gratiot,"City of Alma, Precinct 1",U.S. House,2,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",U.S. House,2,Michael Lynch,Democrat,423,68,491
Gratiot,"City of Alma, Precinct 1",U.S. House,2,John R. Moolenaar,Republican,442,88,530
Gratiot,"City of Alma, Precinct 1",U.S. House,2,Ben DeJong,Libertarian,14,1,15
Gratiot,"City of Alma, Precinct 1",U.S. House,2,Scott Adams,U.S. Taxpayers,10,4,14
Gratiot,"City of Alma, Precinct 1",U.S. House,2,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",U.S. House,2,Under Vote Count,,30,4,34
Gratiot,"City of Alma, Precinct 1",State House,92,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",State House,92,Timothy Odykirk,Democrat,456,71,527
Gratiot,"City of Alma, Precinct 1",State House,92,Jerry Neyer,Republican,431,87,518
Gratiot,"City of Alma, Precinct 1",State House,92,Write-in,,2,1,3
Gratiot,"City of Alma, Precinct 1",State House,92,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",State House,92,Under Vote Count,,30,6,36
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,413,65,478
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,399,66,465
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,385,80,465
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,399,81,480
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,25,2,27
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,12,0,12
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,11,2,13
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,Working Class,41,7,48
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Write-in,,2,1,3
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Member of the State Board of Education,,Under Vote Count,,151,26,177
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Denise Ilitch,Democrat,426,70,496
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Shauna Ryder Diggs,Democrat,398,61,459
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Carl Meyers,Republican,399,84,483
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Sevag Vartanian,Republican,356,73,429
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Andrew Chadderdon,Libertarian,27,2,29
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Donna M. Oetman,U.S. Taxpayers,27,3,30
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Write-in,,2,2,4
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Regents of the Unversity of Michigan,,Under Vote Count,,203,35,238
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Rebecca Bahar-Cook,Democrat,417,69,486
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Thomas Stallworth III,Democrat,371,60,431
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Mike Balow,Republican,397,75,472
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Julie Maday,Republican,394,81,475
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Grant T. Baker,Libertarian,21,1,22
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,21,4,25
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,John Paul Sanger,U.S. Taxpayers,11,2,13
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,John Anthony La Pietra,Green,13,0,13
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Write-in,,2,2,4
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Over Vote Count,,0,2,2
Gratiot,"City of Alma, Precinct 1",Trustees of Michigan State University,,Under Vote Count,,191,34,225
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Ballots Cast,,919,165,1084
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,Democrat,383,61,444
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,Democrat,394,62,456
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Michael Busuito,Republican,382,73,455
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Sunny Reddy,Republican,379,77,456
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Farid Ishac,Libertarian,18,1,19
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,15,2,17
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Sami Makhoul,Green,10,0,10
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,Working Class,29,6,35
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,Natural Law,9,0,9
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Write-in,,2,2,4
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Over Vote Count,,0,0,0
Gratiot,"City of Alma, Precinct 1",Governor of Wayne State University,,Under Vote Count,,217,46,263
