county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Saginaw,"City of Frankenmuth, Precinct 1",Ballots Cast,,,,1460,1849,124,3433
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Democratic Party,DEM,155,331,9,495
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Republican Party,REP,533,602,40,1175
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Libertarian Party,LIB,1,1,0,2
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,U.S. Taxpayers Party,UST,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Green Party,GRE,1,0,0,1
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Working Class Party,WCP,1,2,0,3
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Natural Law Party,NLP,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Over Vote Count,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",Straight Party,,Under Vote Count,,769,913,75,1757
Saginaw,"City of Frankenmuth, Precinct 1",President,,Kamala D. Harris,DEM,364,699,34,1097
Saginaw,"City of Frankenmuth, Precinct 1",President,,Donald J. Trump,REP,1065,1096,90,2251
Saginaw,"City of Frankenmuth, Precinct 1",President,,Chase Oliver,LIB,13,6,0,19
Saginaw,"City of Frankenmuth, Precinct 1",President,,Randall Terry,UST,0,4,0,4
Saginaw,"City of Frankenmuth, Precinct 1",President,,Jill Stein,GRE,2,2,0,4
Saginaw,"City of Frankenmuth, Precinct 1",President,,Robert F. Kennedy Jr.,NLP,7,13,0,20
Saginaw,"City of Frankenmuth, Precinct 1",President,,Joseph Kishore,NPA,0,1,0,1
Saginaw,"City of Frankenmuth, Precinct 1",President,,Cornel West,NPA,1,2,0,3
Saginaw,"City of Frankenmuth, Precinct 1",President,,Write-in,,3,6,0,9
Saginaw,"City of Frankenmuth, Precinct 1",President,,Cherunda Lynn Fox,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",President,,Claudia De la Cruz,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",President,,Jay J. Bowman,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",President,,Peter Sonski,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",President,,Over Vote Count,,0,2,0,2
Saginaw,"City of Frankenmuth, Precinct 1",President,,Under Vote Count,,5,18,0,23
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Elissa Slotkin,DEM,368,675,32,1075
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Mike Rogers,REP,1030,1103,89,2222
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,LIB,21,5,0,26
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Dave Stein,UST,6,9,0,15
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Douglas P. Marsh,GRE,4,5,0,9
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Doug Dern,NLP,2,3,1,6
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Write-in,,2,0,0,2
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,James Chapman,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Marcus A. Irvine,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Valerie Lee Willis,,0,0,0,0
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Over Vote Count,,0,1,0,1
Saginaw,"City of Frankenmuth, Precinct 1",U.S. Senate,,Under Vote Count,,27,48,2,77
Saginaw,"City of Frankenmuth, Precinct 1",U.S. House,8,Kristen McDonald Rivet,DEM,415,698,31,1144
Saginaw,"City of Frankenmuth, Precinct 1",U.S. House,8,Paul Junge,REP,951,1053,88,2092
Saginaw,"City of Frankenmuth, Precinct 1",U.S. House,8,Steve Barcelo,LIB,29,8,1,38
Saginaw,"City of Frankenmuth, Precinct 1",U.S. House,8,James Allen Little,UST,4,6,0,10
Saginaw,"City of Frankenmuth, Precinct 1",U.S. House,8,Jim Casha,GRE,7,3,0,10
Saginaw,"City of Frankenmuth, Precinct 1",U.S. House,8,Kathy Goodwin,WCP,12,11,2,25
