county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Van Buren,"City of Bangor, Precinct 1",President,,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",President,,Kamala D. Harris,Democrat,301,27,0,328
Van Buren,"City of Bangor, Precinct 1",President,,Donald J. Trump,Republican,334,80,0,414
Van Buren,"City of Bangor, Precinct 1",President,,Randall Terry,U.S. Taxpayers,1,0,0,1
Van Buren,"City of Bangor, Precinct 1",President,,"Robert F. Kennedy, Jr.",Natural Law,6,0,0,6
Van Buren,"City of Bangor, Precinct 1",President,,Joseph Kishore,No Party Affiliation,1,0,0,1
Van Buren,"City of Bangor, Precinct 1",President,,Over Vote Count,,5,0,0,5
Van Buren,"City of Bangor, Precinct 1",President,,Under Vote Count,,1,0,0,1
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,303,24,0,327
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Mike Rogers,Republican,310,73,0,383
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,7,2,0,9
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,8,1,0,9
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,3,0,0,3
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,3,2,0,5
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Write-in,,2,0,0,2
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Over Vote Count,,1,0,0,1
Van Buren,"City of Bangor, Precinct 1",U.S. Senate,,Under Vote Count,,12,5,0,17
Van Buren,"City of Bangor, Precinct 1",U.S. House,4,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",U.S. House,4,Jessica Swartz,Democrat,286,24,0,310
Van Buren,"City of Bangor, Precinct 1",U.S. House,4,Bill Huizenga,Republican,330,76,0,406
Van Buren,"City of Bangor, Precinct 1",U.S. House,4,Curtis Clark,U.S. Taxpayers,16,1,0,17
Van Buren,"City of Bangor, Precinct 1",U.S. House,4,Over Vote Count,,2,0,0,2
Van Buren,"City of Bangor, Precinct 1",U.S. House,4,Under Vote Count,,15,6,0,21
Van Buren,"City of Bangor, Precinct 1",State House,39,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",State House,39,Kerry Tapper,Democrat,292,26,0,318
Van Buren,"City of Bangor, Precinct 1",State House,39,Pauline Wendzel,Republican,338,76,0,414
Van Buren,"City of Bangor, Precinct 1",State House,39,Write-in,,1,1,0,2
Van Buren,"City of Bangor, Precinct 1",State House,39,Over Vote Count,,1,0,0,1
Van Buren,"City of Bangor, Precinct 1",State House,39,Under Vote Count,,17,4,0,21
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Theodore Jones,Democrat,269,25,0,294
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Adam Frederick Zemke,Democrat,264,23,0,287
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Tom McMillin,Republican,294,70,0,364
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Nikki Snyder,Republican,293,69,0,362
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Scotty Boman,Libertarian,16,5,0,21
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Ted Gerrard,U.S. Taxpayers,13,1,0,14
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,12,1,0,13
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Mary Anne Hering,Working Class,28,3,0,31
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Write-in,,1,0,0,1
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Over Vote Count,,2,0,0,2
Van Buren,"City of Bangor, Precinct 1",State Board of Education,,Under Vote Count,,106,17,0,123
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Denise Ilitch,Democrat,276,21,0,297
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,278,25,0,303
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Carl Meyers,Republican,308,71,0,379
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,Republican,265,70,0,335
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,25,3,0,28
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,24,3,0,27
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Write-in,,2,0,0,2
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0
Van Buren,"City of Bangor, Precinct 1",Regent of the University of Michigan,,Under Vote Count,,120,21,0,141
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Ballots Cast,,649,107,0,756
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,274,24,0,298
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,255,18,0,273
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Mike Balow,Republican,305,70,0,375
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Julie Maday,Republican,288,76,0,364
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,Libertarian,22,3,0,25
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,17,1,0,18
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,6,1,0,7
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,Green,11,4,0,15
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Write-in,,2,0,0,2
Van Buren,"City of Bangor, Precinct 1",Trustee of Michigan State University,,Over Vote Count,,2,0,0,2
