county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Midland,"City of Coleman, Precinct 1",President,,Ballots Cast,,592,38,0,630
Midland,"City of Coleman, Precinct 1",President,,Kamala D. Harris /,Democrat,203,4,0,207
Midland,"City of Coleman, Precinct 1",President,,Donald J. Trump /,Republican,371,33,0,404
Midland,"City of Coleman, Precinct 1",President,,Chase Oliver /,Libertarian,3,0,0,3
Midland,"City of Coleman, Precinct 1",President,,Jill Stein /,Green,1,0,0,1
Midland,"City of Coleman, Precinct 1",President,,"Robert F. Kennedy, Jr. /",Natural Law,8,0,0,8
Midland,"City of Coleman, Precinct 1",President,,Joseph Kishore /,No Party Affiliation,1,0,0,1
Midland,"City of Coleman, Precinct 1",President,,Write-in,,1,0,0,1
Midland,"City of Coleman, Precinct 1",President,,Over Vote Count,,0,0,0,0
Midland,"City of Coleman, Precinct 1",President,,Under Vote Count,,4,0,0,4
Midland,"City of Coleman, Precinct 1",President,,Randall Terry /,U.S. Taxpayers,0,1,0,1
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Ballots Cast,,592,38,0,630
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,208,5,0,213
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Mike Rogers,Republican,334,32,0,366
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,10,0,0,10
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,7,1,0,8
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,2,0,0,2
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,6,0,0,6
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Over Vote Count,,0,0,0,0
Midland,"City of Coleman, Precinct 1",U.S. Senate,,Under Vote Count,,25,0,0,25
Midland,"City of Coleman, Precinct 1",U.S. House,,Ballots Cast,,592,38,0,630
Midland,"City of Coleman, Precinct 1",U.S. House,,Michael Lynch,Democrat,191,4,0,195
Midland,"City of Coleman, Precinct 1",U.S. House,,John R. Moolenaar,Republican,353,29,0,382
Midland,"City of Coleman, Precinct 1",U.S. House,,Ben DeJong,Libertarian,10,1,0,11
Midland,"City of Coleman, Precinct 1",U.S. House,,Scott Adams,U.S. Taxpayers,5,2,0,7
Midland,"City of Coleman, Precinct 1",U.S. House,,Write-in,,1,0,0,1
Midland,"City of Coleman, Precinct 1",U.S. House,,Over Vote Count,,0,0,0,0
Midland,"City of Coleman, Precinct 1",U.S. House,,Under Vote Count,,32,2,0,34
Midland,"City of Coleman, Precinct 1",State House,95,Ballots Cast,,592,38,0,630
Midland,"City of Coleman, Precinct 1",State House,95,Sabrina Lopez,Democrat,189,5,0,194
Midland,"City of Coleman, Precinct 1",State House,95,Bill G. Schuette,Republican,368,32,0,400
Midland,"City of Coleman, Precinct 1",State House,95,Write-in,,2,0,0,2
