county,precinct,office,district,candidate,party,election_day,early_voting,av_counting_boards,votes
Shiawassee,"City of Corunna, Precinct 1",President,,Ballots Cast,,1236,385,0,1621
Shiawassee,"City of Corunna, Precinct 1",President,,Kamala D. Harris,Democrat,591,130,0,721
Shiawassee,"City of Corunna, Precinct 1",President,,Donald J. Trump,Republican,609,250,0,859
Shiawassee,"City of Corunna, Precinct 1",President,,Chase Oliver,Libertarian,5,1,0,6
Shiawassee,"City of Corunna, Precinct 1",President,,Randall Terry,U.S. Taxpayers,1,1,0,2
Shiawassee,"City of Corunna, Precinct 1",President,,Jill Stein,Green,4,0,0,4
Shiawassee,"City of Corunna, Precinct 1",President,,"Robert F. Kennedy, Jr.",Natural Law,13,1,0,14
Shiawassee,"City of Corunna, Precinct 1",President,,Write-in,,7,1,0,8
Shiawassee,"City of Corunna, Precinct 1",President,,Over Vote Count,,2,0,0,2
Shiawassee,"City of Corunna, Precinct 1",President,,Under Vote Count,,4,1,0,5
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Ballots Cast,,1236,385,0,1621
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Elissa Slotkin,Democrat,591,133,0,724
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Mike Rogers,Republican,573,231,0,804
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,Libertarian,19,6,0,25
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Dave Stein,U.S. Taxpayers,13,3,0,16
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Douglas P. Marsh,Green,7,0,0,7
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Doug Dern,Natural Law,7,3,0,10
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Write-in,,3,2,0,5
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Over Vote Count,,1,0,0,1
Shiawassee,"City of Corunna, Precinct 1",U.S. Senate,,Under Vote Count,,22,7,0,29
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,Ballots Cast,,1236,385,0,1621
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,Curtis Hertel,Democrat,550,124,0,674
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,Tom Barrett,Republican,589,237,0,826
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,L. Rachel Dailey,Libertarian,54,11,0,65
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,Write-in,,4,2,0,6
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,Over Vote Count,,1,0,0,1
Shiawassee,"City of Corunna, Precinct 1",U.S. House,7,Under Vote Count,,38,11,0,49
Shiawassee,"City of Corunna, Precinct 1",State House,71,Ballots Cast,,1236,385,0,1621
Shiawassee,"City of Corunna, Precinct 1",State House,71,Mark D. Zacharda,Democrat,604,129,0,733
Shiawassee,"City of Corunna, Precinct 1",State House,71,Brian BeGole,Republican,592,244,0,836
Shiawassee,"City of Corunna, Precinct 1",State House,71,Write-in,,5,4,0,9
Shiawassee,"City of Corunna, Precinct 1",State House,71,Over Vote Count,,1,0,0,1
Shiawassee,"City of Corunna, Precinct 1",State House,71,Under Vote Count,,34,8,0,42
Shiawassee,"City of Corunna, Precinct 1",Member of the State Board of Education,,Ballots Cast,,1236,385,0,1621
Shiawassee,"City of Corunna, Precinct 1",Member of the State Board of Education,,Theodore Jones,Democrat,487,107,0,594
Shiawassee,"City of Corunna, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,493,107,0,600
Shiawassee,"City of Corunna, Precinct 1",Member of the State Board of Education,,Tom McMillin,Republican,511,216,0,727
Shiawassee,"City of Corunna, Precinct 1",Member of the State Board of Education,,Nikki Snyder,Republican,524,214,0,738
Shiawassee,"City of Corunna, Precinct 1",Member of the State Board of Education,,Scotty Boman,Libertarian,43,7,0,50
