county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_voting,votes
Ingham,"Alaiedon Township, Precinct 1",Registered Voters,,,,,,,1215
Ingham,"Alaiedon Township, Precinct 2",Registered Voters,,,,,,,1331
Ingham,"Aurelius Township, Precinct 1",Registered Voters,,,,,,,2082
Ingham,"Aurelius Township, Precinct 2",Registered Voters,,,,,,,1473
Ingham,"Bunker Hill Township, Precinct 1",Registered Voters,,,,,,,1670
Ingham,"Delhi Charter Township, Precinct 1",Registered Voters,,,,,,,3050
Ingham,"Delhi Charter Township, Precinct 2",Registered Voters,,,,,,,2322
Ingham,"Delhi Charter Township, Precinct 3",Registered Voters,,,,,,,2956
Ingham,"Delhi Charter Township, Precinct 4",Registered Voters,,,,,,,2315
Ingham,"Delhi Charter Township, Precinct 5",Registered Voters,,,,,,,3139
Ingham,"Delhi Charter Township, Precinct 6",Registered Voters,,,,,,,2360
Ingham,"Delhi Charter Township, Precinct 7",Registered Voters,,,,,,,2276
Ingham,"Delhi Charter Township, Precinct 8",Registered Voters,,,,,,,2547
Ingham,"Delhi Charter Township, Precinct 9",Registered Voters,,,,,,,2421
Ingham,"City of East Lansing, Precinct 1",Registered Voters,,,,,,,1006
Ingham,"City of East Lansing, Precinct 2",Registered Voters,,,,,,,1626
Ingham,"City of East Lansing, Precinct 3",Registered Voters,,,,,,,2275
Ingham,"City of East Lansing, Precinct 4",Registered Voters,,,,,,,2255
Ingham,"City of East Lansing, Precinct 5",Registered Voters,,,,,,,2633
Ingham,"City of East Lansing, Precinct 6",Registered Voters,,,,,,,1270
Ingham,"City of East Lansing, Precinct 7",Registered Voters,,,,,,,1718
Ingham,"City of East Lansing, Precinct 8",Registered Voters,,,,,,,1113
Ingham,"City of East Lansing, Precinct 9",Registered Voters,,,,,,,2344
Ingham,"City of East Lansing, Precinct 10",Registered Voters,,,,,,,1229
Ingham,"City of East Lansing, Precinct 11",Registered Voters,,,,,,,2382
Ingham,"City of East Lansing, Precinct 12",Registered Voters,,,,,,,1211
Ingham,"City of East Lansing, Precinct 13",Registered Voters,,,,,,,1687
Ingham,"City of East Lansing, Precinct 14",Registered Voters,,,,,,,862
Ingham,"City of East Lansing, Precinct 15",Registered Voters,,,,,,,1512
Ingham,"City of East Lansing, Precinct 16",Registered Voters,,,,,,,1158
Ingham,"Ingham Township, Precinct 1",Registered Voters,,,,,,,2097
Ingham,"City of Lansing, Ward 1, Precinct 1",Registered Voters,,,,,,,3351
Ingham,"City of Lansing, Ward 1, Precinct 2",Registered Voters,,,,,,,2892
Ingham,"City of Lansing, Ward 1, Precinct 3",Registered Voters,,,,,,,1513
Ingham,"City of Lansing, Ward 1, Precinct 4",Registered Voters,,,,,,,3061
Ingham,"City of Lansing, Ward 1, Precinct 5",Registered Voters,,,,,,,3788
Ingham,"City of Lansing, Ward 1, Precinct 8",Registered Voters,,,,,,,3797
Ingham,"City of Lansing, Ward 1, Precinct 9",Registered Voters,,,,,,,2269
Ingham,"City of Lansing, Ward 1, Precinct 10",Registered Voters,,,,,,,2139
Ingham,"City of Lansing, Ward 2, Precinct 12",Registered Voters,,,,,,,3413
Ingham,"City of Lansing, Ward 2, Precinct 13",Registered Voters,,,,,,,3409
Ingham,"City of Lansing, Ward 2, Precinct 14",Registered Voters,,,,,,,1510
Ingham,"City of Lansing, Ward 2, Precinct 15",Registered Voters,,,,,,,1510
Ingham,"City of Lansing, Ward 2, Precinct 16",Registered Voters,,,,,,,3081
Ingham,"City of Lansing, Ward 2, Precinct 17",Registered Voters,,,,,,,2110
Ingham,"City of Lansing, Ward 2, Precinct 18",Registered Voters,,,,,,,4339
Ingham,"City of Lansing, Ward 2, Precinct 20",Registered Voters,,,,,,,3947
Ingham,"City of Lansing, Ward 3, Precinct 23",Registered Voters,,,,,,,1731
Ingham,"City of Lansing, Ward 3, Precinct 24",Registered Voters,,,,,,,2239
Ingham,"City of Lansing, Ward 3, Precinct 25",Registered Voters,,,,,,,2651
Ingham,"City of Lansing, Ward 3, Precinct 26",Registered Voters,,,,,,,2115
Ingham,"City of Lansing, Ward 3, Precinct 27",Registered Voters,,,,,,,2569
Ingham,"City of Lansing, Ward 3, Precinct 28",Registered Voters,,,,,,,3509
Ingham,"City of Lansing, Ward 3, Precinct 30",Registered Voters,,,,,,,3327
Ingham,"City of Lansing, Ward 4, Precinct 32",Registered Voters,,,,,,,3572
Ingham,"City of Lansing, Ward 4, Precinct 34",Registered Voters,,,,,,,3489
Ingham,"City of Lansing, Ward 4, Precinct 35",Registered Voters,,,,,,,3173
Ingham,"City of Lansing, Ward 4, Precinct 36",Registered Voters,,,,,,,3982
Ingham,"City of Lansing, Ward 4, Precinct 37",Registered Voters,,,,,,,2688
Ingham,"City of Lansing, Ward 4, Precinct 38",Registered Voters,,,,,,,3179
Ingham,"City of Lansing, Ward 4, Precinct 39",Registered Voters,,,,,,,2034
Ingham,"City of Lansing, Ward 4, Precinct 40",Registered Voters,,,,,,,2352
Ingham,"Lansing Charter Township, Precinct 1",Registered Voters,,,,,,,1154
Ingham,"Lansing Charter Township, Precinct 2",Registered Voters,,,,,,,1327
Ingham,"Lansing Charter Township, Precinct 3",Registered Voters,,,,,,,1823
Ingham,"Lansing Charter Township, Precinct 4",Registered Voters,,,,,,,1403
Ingham,"Lansing Charter Township, Precinct 6",Registered Voters,,,,,,,1377
Ingham,"Leroy Township, Precinct 1",Registered Voters,,,,,,,2990
Ingham,"City of Leslie, Precinct 1",Registered Voters,,,,,,,1566
Ingham,"Leslie Township, Precinct 1",Registered Voters,,,,,,,1936
Ingham,"Locke Township, Precinct 1",Registered Voters,,,,,,,1572
Ingham,"City of Mason, Precinct 1",Registered Voters,,,,,,,2500
Ingham,"City of Mason, Precinct 2",Registered Voters,,,,,,,3923
Ingham,"Meridian Charter Township, Precinct 1",Registered Voters,,,,,,,1754
Ingham,"Meridian Charter Township, Precinct 2",Registered Voters,,,,,,,1827
Ingham,"Meridian Charter Township, Precinct 3",Registered Voters,,,,,,,2695
Ingham,"Meridian Charter Township, Precinct 4",Registered Voters,,,,,,,1352
Ingham,"Meridian Charter Township, Precinct 5",Registered Voters,,,,,,,2615
Ingham,"Meridian Charter Township, Precinct 6",Registered Voters,,,,,,,1526
Ingham,"Meridian Charter Township, Precinct 7",Registered Voters,,,,,,,1593
Ingham,"Meridian Charter Township, Precinct 8",Registered Voters,,,,,,,2176
Ingham,"Meridian Charter Township, Precinct 9",Registered Voters,,,,,,,1659
Ingham,"Meridian Charter Township, Precinct 10",Registered Voters,,,,,,,1622
Ingham,"Meridian Charter Township, Precinct 11",Registered Voters,,,,,,,1389
Ingham,"Meridian Charter Township, Precinct 12",Registered Voters,,,,,,,883
Ingham,"Meridian Charter Township, Precinct 13",Registered Voters,,,,,,,1465
Ingham,"Meridian Charter Township, Precinct 14",Registered Voters,,,,,,,1736
Ingham,"Meridian Charter Township, Precinct 15",Registered Voters,,,,,,,1596
Ingham,"Meridian Charter Township, Precinct 16",Registered Voters,,,,,,,1408
Ingham,"Meridian Charter Township, Precinct 17",Registered Voters,,,,,,,2099
Ingham,"Meridian Charter Township, Precinct 18",Registered Voters,,,,,,,1836
Ingham,"Meridian Charter Township, Precinct 19",Registered Voters,,,,,,,2234
Ingham,"Meridian Charter Township, Precinct 20",Registered Voters,,,,,,,322
Ingham,"Meridian Charter Township, Precinct 21",Registered Voters,,,,,,,251
Ingham,"Meridian Charter Township, Precinct 22",Registered Voters,,,,,,,431
Ingham,"Onondaga Township, Precinct 1",Registered Voters,,,,,,,2498
Ingham,"Stockbridge Township, Precinct 1",Registered Voters,,,,,,,3228
Ingham,"Vevay Township, Precinct 1",Registered Voters,,,,,,,3140
Ingham,"Wheatfield Township, Precinct 1",Registered Voters,,,,,,,1388
Ingham,"White Oak Township, Precinct 1",Registered Voters,,,,,,,1030
Ingham,"City of Williamston, Precinct 1",Registered Voters,,,,,,,3180
Ingham,"Williamstown Township, Precinct 1",Registered Voters,,,,,,,2334
Ingham,"Williamstown Township, Precinct 2",Registered Voters,,,,,,,2271
Ingham,"Alaiedon Township, Precinct 1",Ballots Cast,,,,362,446,198,1006
Ingham,"Alaiedon Township, Precinct 2",Ballots Cast,,,,390,485,148,1023
Ingham,"Aurelius Township, Precinct 1",Ballots Cast,,,,543,708,429,1680
Ingham,"Aurelius Township, Precinct 2",Ballots Cast,,,,423,536,195,1154
Ingham,"Bunker Hill Township, Precinct 1",Ballots Cast,,,,488,382,362,1232
Ingham,"Delhi Charter Township, Precinct 1",Ballots Cast,,,,724,"1,076",386,2186
Ingham,"Delhi Charter Township, Precinct 2",Ballots Cast,,,,478,"1,075",315,1868
Ingham,"Delhi Charter Township, Precinct 3",Ballots Cast,,,,595,"1,189",544,2328
Ingham,"Delhi Charter Township, Precinct 4",Ballots Cast,,,,535,767,385,1687
Ingham,"Delhi Charter Township, Precinct 5",Ballots Cast,,,,666,970,495,2131
Ingham,"Delhi Charter Township, Precinct 6",Ballots Cast,,,,518,776,354,1648
Ingham,"Delhi Charter Township, Precinct 7",Ballots Cast,,,,488,710,272,1470
Ingham,"Delhi Charter Township, Precinct 8",Ballots Cast,,,,449,981,423,1853
Ingham,"Delhi Charter Township, Precinct 9",Ballots Cast,,,,492,926,394,1812
Ingham,"City of East Lansing, Precinct 1",Ballots Cast,,,,336,55,288,679
Ingham,"City of East Lansing, Precinct 2",Ballots Cast,,,,354,407,326,1087
Ingham,"City of East Lansing, Precinct 3",Ballots Cast,,,,405,765,408,1578
Ingham,"City of East Lansing, Precinct 4",Ballots Cast,,,,489,761,337,1587
Ingham,"City of East Lansing, Precinct 5",Ballots Cast,,,,429,837,505,1771
Ingham,"City of East Lansing, Precinct 6",Ballots Cast,,,,258,342,221,821
Ingham,"City of East Lansing, Precinct 7",Ballots Cast,,,,346,658,304,1308
Ingham,"City of East Lansing, Precinct 8",Ballots Cast,,,,225,313,206,744
Ingham,"City of East Lansing, Precinct 9",Ballots Cast,,,,484,532,431,1447
Ingham,"City of East Lansing, Precinct 10",Ballots Cast,,,,296,225,207,728
Ingham,"City of East Lansing, Precinct 11",Ballots Cast,,,,448,926,355,1729
Ingham,"City of East Lansing, Precinct 12",Ballots Cast,,,,345,49,348,742
Ingham,"City of East Lansing, Precinct 13",Ballots Cast,,,,541,112,441,1094
Ingham,"City of East Lansing, Precinct 14",Ballots Cast,,,,379,13,215,607
Ingham,"City of East Lansing, Precinct 15",Ballots Cast,,,,499,44,492,1035
Ingham,"City of East Lansing, Precinct 16",Ballots Cast,,,,205,228,204,637
Ingham,"Ingham Township, Precinct 1",Ballots Cast,,,,"1,138",0,473,1611
Ingham,"City of Lansing, Ward 1, Precinct 1",Ballots Cast,,,,912,714,242,1868
Ingham,"City of Lansing, Ward 1, Precinct 2",Ballots Cast,,,,436,526,280,1242
Ingham,"City of Lansing, Ward 1, Precinct 3",Ballots Cast,,,,395,646,200,1241
Ingham,"City of Lansing, Ward 1, Precinct 4",Ballots Cast,,,,715,532,233,1480
Ingham,"City of Lansing, Ward 1, Precinct 5",Ballots Cast,,,,647,"1,090",595,2332
Ingham,"City of Lansing, Ward 1, Precinct 8",Ballots Cast,,,,794,984,476,2254
Ingham,"City of Lansing, Ward 1, Precinct 9",Ballots Cast,,,,474,401,160,1035
Ingham,"City of Lansing, Ward 1, Precinct 10",Ballots Cast,,,,506,463,171,1140
Ingham,"City of Lansing, Ward 2, Precinct 12",Ballots Cast,,,,831,988,375,2194
Ingham,"City of Lansing, Ward 2, Precinct 13",Ballots Cast,,,,786,811,286,1883
Ingham,"City of Lansing, Ward 2, Precinct 14",Ballots Cast,,,,303,572,218,1093
Ingham,"City of Lansing, Ward 2, Precinct 15",Ballots Cast,,,,375,421,168,964
Ingham,"City of Lansing, Ward 2, Precinct 16",Ballots Cast,,,,703,520,324,1547
Ingham,"City of Lansing, Ward 2, Precinct 17",Ballots Cast,,,,412,736,262,1410
Ingham,"City of Lansing, Ward 2, Precinct 18",Ballots Cast,,,,784,"1,238",410,2432
Ingham,"City of Lansing, Ward 2, Precinct 20",Ballots Cast,,,,740,871,361,1972
Ingham,"City of Lansing, Ward 3, Precinct 23",Ballots Cast,,,,316,710,185,1211
Ingham,"City of Lansing, Ward 3, Precinct 24",Ballots Cast,,,,455,707,252,1414
Ingham,"City of Lansing, Ward 3, Precinct 25",Ballots Cast,,,,493,745,283,1521
Ingham,"City of Lansing, Ward 3, Precinct 26",Ballots Cast,,,,389,417,179,985
Ingham,"City of Lansing, Ward 3, Precinct 27",Ballots Cast,,,,538,686,242,1466
Ingham,"City of Lansing, Ward 3, Precinct 28",Ballots Cast,,,,759,785,308,1852
Ingham,"City of Lansing, Ward 3, Precinct 30",Ballots Cast,,,,656,928,284,1868
Ingham,"City of Lansing, Ward 4, Precinct 32",Ballots Cast,,,,846,"1,404",419,2669
Ingham,"City of Lansing, Ward 4, Precinct 34",Ballots Cast,,,,776,954,378,2108
Ingham,"City of Lansing, Ward 4, Precinct 35",Ballots Cast,,,,741,996,342,2079
Ingham,"City of Lansing, Ward 4, Precinct 36",Ballots Cast,,,,787,785,342,1914
Ingham,"City of Lansing, Ward 4, Precinct 37",Ballots Cast,,,,519,472,209,1200
Ingham,"City of Lansing, Ward 4, Precinct 38",Ballots Cast,,,,613,733,293,1639
Ingham,"City of Lansing, Ward 4, Precinct 39",Ballots Cast,,,,544,812,229,1585
Ingham,"City of Lansing, Ward 4, Precinct 40",Ballots Cast,,,,635,571,168,1374
Ingham,"Lansing Charter Township, Precinct 1",Ballots Cast,,,,311,229,105,645
Ingham,"Lansing Charter Township, Precinct 2",Ballots Cast,,,,350,482,170,1002
