county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_voting,votes
Barry,"City of Hastings,Ward 1, Precinct 1",Ballots Cast,,,,398,466,247,1111
Barry,"City of Hastings,Ward 2, Precinct 2",Ballots Cast,,,,455,281,269,1005
Barry,"City of Hastings,Ward 3, Precinct 3",Ballots Cast,,,,438,234,259,931
Barry,"City of Hastings,Ward 4, Precinct 4",Ballots Cast,,,,374,387,307,1068
Barry,"Assyria Township, Precinct 1",Ballots Cast,,,,942,0,367,1309
Barry,"Baltimore Township, Precinct 1",Ballots Cast,,,,500,225,420,1145
Barry,"Barry Township, Precinct 1",Ballots Cast,,,,566,776,767,2109
Barry,"Carlton Township, Precinct 1",Ballots Cast,,,,1018,0,572,1590
Barry,"Castleton Township, Precinct 1",Ballots Cast,,,,1018,0,624,1642
Barry,"Hastings Charter Township, Precinct 1",Ballots Cast,,,,821,531,538,1890
Barry,"Hope Township, Precinct 1",Ballots Cast,,,,870,722,454,2046
Barry,"Irving Township, Precinct 1",Ballots Cast,,,,515,760,1163,2438
Barry,"Johnstown Township, Precinct 1",Ballots Cast,,,,586,649,654,1889
Barry,"Maple Grove Township, Precinct 1",Ballots Cast,,,,672,0,186,858
Barry,"Orangeville Township, Precinct 1",Ballots Cast,,,,610,698,841,2149
Barry,"Prairieville Township, Precinct 1",Ballots Cast,,,,443,920,786,2149
Barry,"Rutland Charter Township, Precinct 1",Ballots Cast,,,,393,359,432,1184
Barry,"Rutland Charter Township, Precinct 2",Ballots Cast,,,,456,585,548,1589
Barry,"Thornapple Township, Precinct 1",Ballots Cast,,,,615,689,800,2104
Barry,"Thornapple Township, Precinct 2",Ballots Cast,,,,603,546,761,1910
Barry,"Thornapple Township, Precinct 3",Ballots Cast,,,,653,468,746,1867
Barry,"Woodland Township, Precinct 1",Ballots Cast,,,,1069,0,243,1312
Barry,"Yankee Springs Township, Precinct 1",Ballots Cast,,,,603,631,784,2018
Barry,"Yankee Springs Township, Precinct 2",Ballots Cast,,,,479,556,500,1535
Barry,"City of Hastings,Ward 1, Precinct 1",Registered Voters,,,,,,,1555
Barry,"City of Hastings,Ward 2, Precinct 2",Registered Voters,,,,,,,1726
Barry,"City of Hastings,Ward 3, Precinct 3",Registered Voters,,,,,,,1486
Barry,"City of Hastings,Ward 4, Precinct 4",Registered Voters,,,,,,,1519
Barry,"Assyria Township, Precinct 1",Registered Voters,,,,,,,1821
Barry,"Baltimore Township, Precinct 1",Registered Voters,,,,,,,1597
Barry,"Barry Township, Precinct 1",Registered Voters,,,,,,,2864
Barry,"Carlton Township, Precinct 1",Registered Voters,,,,,,,2053
Barry,"Castleton Township, Precinct 1",Registered Voters,,,,,,,2767
Barry,"Hastings Charter Township, Precinct 1",Registered Voters,,,,,,,2596
Barry,"Hope Township, Precinct 1",Registered Voters,,,,,,,2894
Barry,"Irving Township, Precinct 1",Registered Voters,,,,,,,3148
Barry,"Johnstown Township, Precinct 1",Registered Voters,,,,,,,2597
Barry,"Maple Grove Township, Precinct 1",Registered Voters,,,,,,,1193
Barry,"Orangeville Township, Precinct 1",Registered Voters,,,,,,,2990
