county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_voting,votes
Allegan,"City of Allegan, Precinct 1 ALG",Registered Voters,,,,,,,4201
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Registered Voters,,,,,,,1419
Allegan,"City of Fennville, Precinct 1 FEN",Registered Voters,,,,,,,1144
Allegan,"City of Otsego, Precinct 1 OTS",Registered Voters,,,,,,,3228
Allegan,"City of Plainwell, Precinct 1 PLA",Registered Voters,,,,,,,2915
Allegan,"City of Saugatuck, Precinct 1 - SAU",Registered Voters,,,,,,,849
Allegan,"City of Wayland, Precinct 1 WAY",Registered Voters,,,,,,,1755
Allegan,"City of Wayland, Precinct 2 - WAY",Registered Voters,,,,,,,1770
Allegan,"Allegan Township, Precinct 1",Registered Voters,,,,,,,4021
Allegan,"Casco Township, Precinct 1",Registered Voters,,,,,,,2698
Allegan,"Cheshire Township, Precinct 1",Registered Voters,,,,,,,1912
Allegan,"Clyde Township, Precinct 1 FEN",Registered Voters,,,,,,,1633
Allegan,"Dorr Township, Precinct 1 HOP",Registered Voters,,,,,,,1727
Allegan,"Dorn Township, Precinct 2 - WAY",Registered Voters,,,,,,,2548
Allegan,"Dorn Township, Precinct 3 - WAY",Registered Voters,,,,,,,2028
Allegan,"Fillmore Township, Precinct 1",Registered Voters,,,,,,,2459
Allegan,"Ganges Township, Precinct 1",Registered Voters,,,,,,,2432
Allegan,"Gun Plain Township, Precinct 1",Registered Voters,,,,,,,5134
Allegan,"Heath Township, Precinct 1 HAM",Registered Voters,,,,,,,2767
Allegan,"Heath Township, Precinct 2 ALG",Registered Voters,,,,,,,544
Allegan,"Hopkins Township, Precinct 1",Registered Voters,,,,,,,2161
Allegan,"Laketown Township, Precinct 1 HOL",Registered Voters,,,,,,,1948
Allegan,"Laketown Township, Precinct 2 HAM",Registered Voters,,,,,,,2593
Allegan,"Laketown Township, Precinct 3 SAU",Registered Voters,,,,,,,996
Allegan,"Lee Township, Precinct 1",Registered Voters,,,,,,,2932
Allegan,"Leighton Township, Precinct 1 - WAY",Registered Voters,,,,,,,1886
Allegan,"Leighton Township, Precinct 2",Registered Voters,,,,,,,2117
Allegan,"Leighton Township, Precinct 3 WAY",Registered Voters,,,,,,,1677
Allegan,"Manlius Township, Precinct 1",Registered Voters,,,,,,,2818
Allegan,"Martin Township, Precinct 1",Registered Voters,,,,,,,2257
Allegan,"Monterey Township, Precinct 1",Registered Voters,,,,,,,2057
Allegan,"Otsego Township, Precinct 1",Registered Voters,,,,,,,2499
Allegan,"Otsego Township, Precinct 2",Registered Voters,,,,,,,2575
Allegan,"Overisel Township, Precinct 1",Registered Voters,,,,,,,2484
Allegan,"Salem Township, Precinct 1",Registered Voters,,,,,,,2033
Allegan,"Salem Township, Precinct 2 HOP",Registered Voters,,,,,,,2180
Allegan,"Saugatuck Township, Precinct 1",Registered Voters,,,,,,,3366
Allegan,"Trowbridge Township, Precinct 1",Registered Voters,,,,,,,2227
Allegan,"Valley Township, Precinct 1",Registered Voters,,,,,,,2046
Allegan,"Watson Township, Precinct 1",Registered Voters,,,,,,,1859
Allegan,"Wayland Township, Precinct 1",Registered Voters,,,,,,,3024
Allegan,"Orangeville Township, Precinct 1",Registered Voters,,,,,,,578
Allegan,"Alamo Township, Precinct 10",Registered Voters,,,,,,,1246
Allegan,"Alamo Township, Precinct 2",Registered Voters,,,,,,,2129
Allegan,"Oshtemo Township, Precinct 10",Registered Voters,,,,,,,1441
Allegan,"Pine Grove Township, Precinct 1B",Registered Voters,,,,,,,231
Allegan,"Prairieville Township, Precinct 1PL",Registered Voters,,,,,,,5
Allegan,"Yankee Springs, Precinct 1W",Registered Voters,,,,,,,194
Allegan,"Yankee Springs, Precinct 2W",Registered Voters,,,,,,,1233
Allegan,"City of Allegan, Precinct 1 ALG",Ballots Cast,,,,1582,0,822,2404
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Ballots Cast,,,,199,521,342,1062
Allegan,"City of Fennville, Precinct 1 FEN",Ballots Cast,,,,404,0,203,607
Allegan,"City of Otsego, Precinct 1 OTS",Ballots Cast,,,,594,837,669,2100
Allegan,"City of Plainwell, Precinct 1 PLA",Ballots Cast,,,,592,741,669,2002
Allegan,"City of Saugatuck, Precinct 1 - SAU",Ballots Cast,,,,533,0,146,679
Allegan,"City of Wayland, Precinct 1 WAY",Ballots Cast,,,,506,316,307,1129
Allegan,"City of Wayland, Precinct 2 - WAY",Ballots Cast,,,,483,310,444,1237
Allegan,"Allegan Township, Precinct 1",Ballots Cast,,,,747,920,1148,2815
Allegan,"Casco Township, Precinct 1",Ballots Cast,,,,466,747,665,1878
Allegan,"Cheshire Township, Precinct 1",Ballots Cast,,,,419,265,488,1172
Allegan,"Clyde Township, Precinct 1 FEN",Ballots Cast,,,,468,225,284,977
Allegan,"Dorr Township, Precinct 1 HOP",Ballots Cast,,,,377,459,579,1415
Allegan,"Dorn Township, Precinct 2 - WAY",Ballots Cast,,,,584,626,817,2027
Allegan,"Dorn Township, Precinct 3 - WAY",Ballots Cast,,,,565,411,588,1564
Allegan,"Fillmore Township, Precinct 1",Ballots Cast,,,,505,618,749,1872
Allegan,"Ganges Township, Precinct 1",Ballots Cast,,,,644,673,453,1770
Allegan,"Gun Plain Township, Precinct 1",Ballots Cast,,,,1011,1341,1497,3849
Allegan,"Heath Township, Precinct 1 HAM",Ballots Cast,,,,491,754,926,2171
Allegan,"Heath Township, Precinct 2 ALG",Ballots Cast,,,,127,137,152,416
Allegan,"Hopkins Township, Precinct 1",Ballots Cast,,,,534,414,690,1638
Allegan,"Laketown Township, Precinct 1 HOL",Ballots Cast,,,,372,618,577,1567
Allegan,"Laketown Township, Precinct 2 HAM",Ballots Cast,,,,617,784,700,2101
Allegan,"Laketown Township, Precinct 3 SAU",Ballots Cast,,,,191,290,318,799
Allegan,"Lee Township, Precinct 1",Ballots Cast,,,,722,276,275,1273
Allegan,"Leighton Township, Precinct 1 - WAY",Ballots Cast,,,,438,335,518,1291
Allegan,"Leighton Township, Precinct 2",Ballots Cast,,,,510,555,675,1740
Allegan,"Leighton Township, Precinct 3 WAY",Ballots Cast,,,,399,444,540,1383
Allegan,"Manlius Township, Precinct 1",Ballots Cast,,,,687,731,725,2143
Allegan,"Martin Township, Precinct 1",Ballots Cast,,,,569,419,585,1573
Allegan,"Monterey Township, Precinct 1",Ballots Cast,,,,672,374,448,1494
Allegan,"Otsego Township, Precinct 1",Ballots Cast,,,,456,710,686,1852
Allegan,"Otsego Township, Precinct 2",Ballots Cast,,,,462,610,623,1695
Allegan,"Overisel Township, Precinct 1",Ballots Cast,,,,807,674,594,2075
Allegan,"Salem Township, Precinct 1",Ballots Cast,,,,571,440,660,1671
Allegan,"Salem Township, Precinct 2 HOP",Ballots Cast,,,,519,544,663,1726
Allegan,"Saugatuck Township, Precinct 1",Ballots Cast,,,,442,1433,827,2702
Allegan,"Trowbridge Township, Precinct 1",Ballots Cast,,,,833,0,634,1467
Allegan,"Valley Township, Precinct 1",Ballots Cast,,,,851,0,516,1367
Allegan,"Watson Township, Precinct 1",Ballots Cast,,,,757,0,515,1272
Allegan,"Wayland Township, Precinct 1",Ballots Cast,,,,610,691,905,2206
Allegan,"Orangeville Township, Precinct 1",Ballots Cast,,,,1687,0,0,1687
Allegan,"Alamo Township, Precinct 10",Ballots Cast,,,,624,0,0,624
Allegan,"Alamo Township, Precinct 2",Ballots Cast,,,,1208,0,0,1208
Allegan,"Oshtemo Township, Precinct 10",Ballots Cast,,,,792,0,0,792
Allegan,"Pine Grove Township, Precinct 1B",Ballots Cast,,,,124,0,0,124
Allegan,"Prairieville Township, Precinct 1PL",Ballots Cast,,,,0,0,0,0
Allegan,"Yankee Springs, Precinct 1W",Ballots Cast,,,,161,0,0,161
Allegan,"Yankee Springs, Precinct 2W",Ballots Cast,,,,1014,0,0,1014
Allegan,"Byron Township, Precinct 5",Ballots Cast,,,,6,0,0,6
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,DEM,Democratic,381,0,223,604
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,REP,Republican,478,0,269,747
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,LIB,Libertarian,6,0,2,8
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,GRN,Green,5,0,0,5
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,WCP,Working Class,9,0,0,9
Allegan,"City of Allegan, Precinct 1 - ALG",Straight Party,,NLP,Natural Law,3,0,0,3
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,DEM,Democratic,66,231,125,422
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,REP,Republican,46,71,78,195
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,LIB,Libertarian,0,1,1,2
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,GRN,Green,0,0,0,0
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,WCP,Working Class,0,0,0,0
Allegan,"City of the Village of Douglas, Precinct 1 - SAU",Straight Party,,NLP,Natural Law,0,0,0,0
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,DEM,Democratic,135,0,53,188
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,REP,Republican,113,0,73,186
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,LIB,Libertarian,1,0,1,2
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,UST,U.S. Taxpayers,1,0,1,2
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,GRN,Green,0,0,0,0
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,WCP,Working Class,5,0,0,5
Allegan,"City of Fennville, Precinct 1 - FEN",Straight Party,,NLP,Natural Law,0,0,1,1
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,DEM,Democratic,85,280,113,478
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,REP,Republican,232,196,306,734
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,LIB,Libertarian,2,1,2,5
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,GRN,Green,0,0,0,0
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,WCP,Working Class,1,1,1,3
Allegan,"City of Otsego, Precinct 1 - OTS",Straight Party,,NLP,Natural Law,2,1,0,3
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,DEM,Democratic,109,290,115,514
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,REP,Republican,231,144,233,608
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,LIB,Libertarian,4,2,1,7
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,UST,U.S. Taxpayers,2,1,0,3
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,GRN,Green,2,1,1,4
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,WCP,Working Class,1,1,4,6
Allegan,"City of Plainwell, Precinct 1 - PLA",Straight Party,,NLP,Natural Law,0,1,1,2
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,DEM,Democratic,184,0,39,223
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,REP,Republican,102,0,35,137
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,LIB,Libertarian,0,0,0,0
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,GRN,Green,0,0,1,1
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,WCP,Working Class,0,0,0,0
Allegan,"City of Saugatuck, Precinct 1 - SAU",Straight Party,,NLP,Natural Law,0,0,0,0
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,DEM,Democratic,91,96,52,239
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,REP,Republican,205,94,145,444
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,LIB,Libertarian,2,0,1,3
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,GRN,Green,1,1,0,2
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,WCP,Working Class,5,1,0,6
Allegan,"City of Wayland, Precinct 1 - WAY",Straight Party,,NLP,Natural Law,2,0,0,2
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,DEM,Democratic,77,81,68,226
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,REP,Republican,169,104,200,473
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,LIB,Libertarian,1,1,0,2
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,UST,U.S. Taxpayers,1,2,1,4
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,GRN,Green,1,0,0,1
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,WCP,Working Class,2,2,0,4
Allegan,"City of Wayland, Precinct 2 - WAY",Straight Party,,NLP,Natural Law,0,0,0,0
Allegan,"Allegan Township, Precinct 1",Straight Party,,DEM,Democratic,91,259,159,509
Allegan,"Allegan Township, Precinct 1",Straight Party,,REP,Republican,324,238,473,1035
Allegan,"Allegan Township, Precinct 1",Straight Party,,LIB,Libertarian,4,1,3,8
Allegan,"Allegan Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,2,1,5
Allegan,"Allegan Township, Precinct 1",Straight Party,,GRN,Green,0,1,0,1
Allegan,"Allegan Township, Precinct 1",Straight Party,,WCP,Working Class,2,0,6,8
Allegan,"Allegan Township, Precinct 1",Straight Party,,NLP,Natural Law,0,1,1,2
Allegan,"Casco Township, Precinct 1",Straight Party,,DEM,Democratic,65,219,93,377
Allegan,"Casco Township, Precinct 1",Straight Party,,REP,Republican,152,176,233,561
Allegan,"Casco Township, Precinct 1",Straight Party,,LIB,Libertarian,2,1,0,3
Allegan,"Casco Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,3,0,3
Allegan,"Casco Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Allegan,"Casco Township, Precinct 1",Straight Party,,WCP,Working Class,2,1,0,3
Allegan,"Casco Township, Precinct 1",Straight Party,,NLP,Natural Law,0,0,0,0
Allegan,"Cheshire Township, Precinct 1",Straight Party,,DEM,Democratic,51,84,50,185
Allegan,"Cheshire Township, Precinct 1",Straight Party,,REP,Republican,190,74,237,501
Allegan,"Cheshire Township, Precinct 1",Straight Party,,LIB,Libertarian,1,0,1,2
Allegan,"Cheshire Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Allegan,"Cheshire Township, Precinct 1",Straight Party,,GRN,Green,1,0,1,2
Allegan,"Cheshire Township, Precinct 1",Straight Party,,WCP,Working Class,6,0,3,9
Allegan,"Cheshire Township, Precinct 1",Straight Party,,NLP,Natural Law,1,0,2,3
Allegan,"Clyde Township, Precinct 1 - FEN",Straight Party,,DEM,Democratic,99,68,76,243
Allegan,"Clyde Township, Precinct 1 - FEN",Straight Party,,REP,Republican,215,66,105,386
Allegan,"Clyde Township, Precinct 1 - FEN",Straight Party,,LIB,Libertarian,1,0,0,1
