county,precinct,office,district,candidate,party,early_voting,avcb,election_day,votes
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Registered Voters,,,,,,,1127
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Ballots Cast,,,,,,,934
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,Democratic Party,DEM,8,0,50,58
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,Republican Party,REP,179,0,278,457
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,Libertarian Party,LIB,0,0,2,2
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,U.S. Taxpayers Party,UST,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,Green Party,GRN,0,0,2,2
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,Working Class Party,WCP,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",Straight Party,,Natural Law Party,NLP,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Kamala Harris Tim Walz,DEM,28,0,121,149
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Donald J. Trump JD Vance,REP,300,0,469,769
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Chase Oliver Mike ter Maat,LIB,0,0,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Randall Terry Stephen E. Broden,UST,0,0,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Jill Stein Rudolph Ware,GRN,0,0,2,2
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,"Robert F. Kennedy, Jr. Nicole Shanahan",NLP,0,0,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Joseph Kishore Jerry White,,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Cornel West Melina Abdullah,,0,0,2,2
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Cherunda Lynn Fox (W),,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Claudia De la Cruz (W),,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Jay J. Bowman (W),,0,0,0,0
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",President,,Peter Sonski (W),,0,0,1,1
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",U.S. Senate,,Elissa Slotkin,DEM,27,0,111,138
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",U.S. Senate,,Mike Rogers,REP,291,0,461,752
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",U.S. Senate,,Joseph Solis-Mullen,LIB,1,0,9,10
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",U.S. Senate,,Dave Stein,UST,2,0,4,6
Hillsdale,"City of Hillsdale, Ward I, Precinct 1",U.S. Senate,,Douglas P. Marsh,GRN,0,0,6,6
