county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Registered Voters,,,,181,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Registered Voters,,,,1018,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Registered Voters,,,,2220,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Registered Voters,,,,1316,,,,,,,,,,,,,,,
Luce,"Hulbert Township, Precinct 1 (Chippewa County)",Registered Voters,,,,148,,,,,,,,,,,,,,,
Luce,"Portage Township, Precinct 1 (Mackinac County)",Registered Voters,,,,854,,,,,,,,,,,,,,,
Luce,"Seney Township, Precinct 1 (Schoolcraft County)",Registered Voters,,,,107,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Ballots Cast,,,,117,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Ballots Cast,,,,756,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Ballots Cast,,,,1300,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Ballots Cast,,,,838,,,,,,,,,,,,,,,
Luce,"Hulbert Township, Precinct 1 (Chippewa County)",Ballots Cast,,,,117,,,,,,,,,,,,,,,
Luce,"Portage Township, Precinct 1 (Mackinac County)",Ballots Cast,,,,664,,,,,,,,,,,,,,,
Luce,"Seney Township, Precinct 1 (Schoolcraft County)",Ballots Cast,,,,82,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Straight Party,,DEM,Democratic,8,,,,,,,,,,,,,,,0
Luce,"Lakefield Township, Precinct 1",Straight Party,,DEM,Democratic,88,,,,,,,,,,,,,,,0
Luce,"McMillan Township, Precinct 1",Straight Party,,DEM,Democratic,162,,,,,,,,,,,,,,,0
Luce,"Pentland Township, Precinct 1",Straight Party,,DEM,Democratic,80,,,,,,,,,,,,,,,0
Luce,"Columbus Township, Precinct 1",Straight Party,,REP,Republican,55,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Straight Party,,REP,Republican,326,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Straight Party,,REP,Republican,614,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Straight Party,,REP,Republican,375,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Straight Party,,LIB,Libertarian,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Straight Party,,LIB,Libertarian,1,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Straight Party,,LIB,Libertarian,5,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Straight Party,,LIB,Libertarian,3,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,4,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Straight Party,,GRN,Green,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Straight Party,,GRN,Green,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Straight Party,,GRN,Green,1,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Straight Party,,GRN,Green,2,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Straight Party,,WCP,Working Class,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Straight Party,,WCP,Working Class,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Straight Party,,WCP,Working Class,10,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Straight Party,,WCP,Working Class,3,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",Straight Party,,NLP,Natural Law,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",Straight Party,,NLP,Natural Law,0,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",Straight Party,,NLP,Natural Law,1,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",Straight Party,,NLP,Natural Law,0,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,DEM,Kamala D. Harris,24,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,DEM,Kamala D. Harris,187,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,DEM,Kamala D. Harris,355,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,DEM,Kamala D. Harris,203,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,REP,Donald J. Trump,91,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,REP,Donald J. Trump,553,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,REP,Donald J. Trump,919,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,REP,Donald J. Trump,607,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,LIB,Chase Oliver,2,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,LIB,Chase Oliver,2,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,LIB,Chase Oliver,3,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,LIB,Chase Oliver,6,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,UST,Randall Terry,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,UST,Randall Terry,0,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,UST,Randall Terry,2,,,,,,,,,,,,,,,
Luce,"Pentland Township, Precinct 1",President,,UST,Randall Terry,3,,,,,,,,,,,,,,,
Luce,"Columbus Township, Precinct 1",President,,GRN,Jill Stein,0,,,,,,,,,,,,,,,
Luce,"Lakefield Township, Precinct 1",President,,GRN,Jill Stein,4,,,,,,,,,,,,,,,
Luce,"McMillan Township, Precinct 1",President,,GRN,Jill Stein,3,,,,,,,,,,,,,,,
