county,precinct,office,district,party,candidate,election_day,av_counting_boards,early_voting,votes
Manistee,"City of Manistee, Precinct 1",Registered Voters,,,,,,,2505
Manistee,"City of Manistee, Precinct 2",Registered Voters,,,,,,,2800
Manistee,"Arcadia Township, Precinct 1",Registered Voters,,,,,,,661
Manistee,"Bear Lake Township, Precinct 1",Registered Voters,,,,,,,1580
Manistee,"Brown Township, Precinct 1",Registered Voters,,,,,,,686
Manistee,"Cleon Township, Precinct 1",Registered Voters,,,,,,,1001
Manistee,"Dickson Township, Precinct 1",Registered Voters,,,,,,,878
Manistee,"Charter Township of Filer, Precinct 1",Registered Voters,,,,,,,2263
Manistee,"Manistee Township, Precinct 1",Registered Voters,,,,,,,2811
Manistee,"Maple Grove Township, Precinct 1",Registered Voters,,,,,,,1235
Manistee,"Marilla Township, Precinct 1",Registered Voters,,,,,,,350
Manistee,"Norman Township, Precinct 1",Registered Voters,,,,,,,1614
Manistee,"Onekama Township, Precinct 1",Registered Voters,,,,,,,1427
Manistee,"Pleasanton Township, Precinct 1",Registered Voters,,,,,,,815
Manistee,"Springdale Township, Precinct 1",Registered Voters,,,,,,,835
Manistee,"Stronach Township, Precinct 1",Registered Voters,,,,,,,827
Manistee,"Grant Township, Precinct 1 (Mason County)",Registered Voters,,,,,,,415
Manistee,"Meade Township, Precinct 1 (Mason County)",Registered Voters,,,,,,,43
Manistee,"Elk Township, Precinct 1 (Lake Township)",Registered Voters,,,,,,,688
Manistee,"City of Manistee, Precinct 1",Ballots Cast,,,,503,927,353,1783
Manistee,"City of Manistee, Precinct 2",Ballots Cast,,,,624,708,384,1716
Manistee,"Arcadia Township, Precinct 1",Ballots Cast,,,,497,0,53,550
Manistee,"Bear Lake Township, Precinct 1",Ballots Cast,,,,925,0,183,1108
Manistee,"Brown Township, Precinct 1",Ballots Cast,,,,388,0,98,486
Manistee,"Cleon Township, Precinct 1",Ballots Cast,,,,496,0,156,652
Manistee,"Dickson Township, Precinct 1",Ballots Cast,,,,494,0,126,620
Manistee,"Charter Township of Filer, Precinct 1",Ballots Cast,,,,571,687,373,1631
Manistee,"Manistee Township, Precinct 1",Ballots Cast,,,,500,934,534,1968
Manistee,"Maple Grove Township, Precinct 1",Ballots Cast,,,,525,0,255,780
Manistee,"Marilla Township, Precinct 1",Ballots Cast,,,,194,0,47,241
Manistee,"Norman Township, Precinct 1",Ballots Cast,,,,882,0,142,1024
Manistee,"Onekama Township, Precinct 1",Ballots Cast,,,,533,425,184,1142
Manistee,"Pleasanton Township, Precinct 1",Ballots Cast,,,,475,0,97,572
Manistee,"Springdale Township, Precinct 1",Ballots Cast,,,,485,0,86,571
Manistee,"Stronach Township, Precinct 1",Ballots Cast,,,,465,0,101,566
Manistee,"Grant Township, Precinct 1 (Mason County)",Ballots Cast,,,,470,0,0,470
Manistee,"Meade Township, Precinct 1 (Mason County)",Ballots Cast,,,,2,0,0,2
Manistee,"Elk Township, Precinct 1 (Lake Township)",Ballots Cast,,,,22,0,0,22
Manistee,"City of Manistee, Precinct 1",Straight Party,,DEM,Democratic,99,320,65,484
Manistee,"City of Manistee, Precinct 2",Straight Party,,DEM,Democratic,95,219,82,396
Manistee,"Arcadia Township, Precinct 1",Straight Party,,DEM,Democratic,110,0,10,120
Manistee,"Bear Lake Township, Precinct 1",Straight Party,,DEM,Democratic,158,0,19,177
Manistee,"Brown Township, Precinct 1",Straight Party,,DEM,Democratic,70,0,17,87
Manistee,"Cleon Township, Precinct 1",Straight Party,,DEM,Democratic,80,0,20,100
Manistee,"Dickson Township, Precinct 1",Straight Party,,DEM,Democratic,88,0,13,101
Manistee,"Charter Township of Filer, Precinct 1",Straight Party,,DEM,Democratic,79,191,37,307
Manistee,"Manistee Township, Precinct 1",Straight Party,,DEM,Democratic,71,285,89,445
Manistee,"Maple Grove Township, Precinct 1",Straight Party,,DEM,Democratic,102,0,32,134
Manistee,"Marilla Township, Precinct 1",Straight Party,,DEM,Democratic,33,0,3,36
Manistee,"Norman Township, Precinct 1",Straight Party,,DEM,Democratic,124,0,21,145
Manistee,"Onekama Township, Precinct 1",Straight Party,,DEM,Democratic,108,57,22,187
Manistee,"Pleasanton Township, Precinct 1",Straight Party,,DEM,Democratic,79,0,8,87
Manistee,"Springdale Township, Precinct 1",Straight Party,,DEM,Democratic,87,0,9,96
Manistee,"Stronach Township, Precinct 1",Straight Party,,DEM,Democratic,76,0,12,88
Manistee,"City of Manistee, Precinct 1",Straight Party,,REP,Republican,166,192,111,469
Manistee,"City of Manistee, Precinct 2",Straight Party,,REP,Republican,200,137,121,458
Manistee,"Arcadia Township, Precinct 1",Straight Party,,REP,Republican,127,,19,146
Manistee,"Bear Lake Township, Precinct 1",Straight Party,,REP,Republican,326,,82,408
Manistee,"Brown Township, Precinct 1",Straight Party,,REP,Republican,152,,43,195
Manistee,"Cleon Township, Precinct 1",Straight Party,,REP,Republican,193,,89,282
Manistee,"Dickson Township, Precinct 1",Straight Party,,REP,Republican,188,,60,248
Manistee,"Charter Township of Filer, Precinct 1",Straight Party,,REP,Republican,185,145,138,468
Manistee,"Manistee Township, Precinct 1",Straight Party,,REP,Republican,186,200,200,586
Manistee,"Maple Grove Township, Precinct 1",Straight Party,,REP,Republican,193,,106,299
Manistee,"Marilla Township, Precinct 1",Straight Party,,REP,Republican,75,,32,107
Manistee,"Norman Township, Precinct 1",Straight Party,,REP,Republican,371,,60,431
Manistee,"Onekama Township, Precinct 1",Straight Party,,REP,Republican,111,144,77,332
Manistee,"Pleasanton Township, Precinct 1",Straight Party,,REP,Republican,157,,52,209
Manistee,"Springdale Township, Precinct 1",Straight Party,,REP,Republican,202,,43,245
Manistee,"Stronach Township, Precinct 1",Straight Party,,REP,Republican,130,,45,175
Manistee,"City of Manistee, Precinct 1",Straight Party,,LIB,Libertarian,1,3,0,4
Manistee,"City of Manistee, Precinct 2",Straight Party,,LIB,Libertarian,3,2,0,5
Manistee,"Arcadia Township, Precinct 1",Straight Party,,LIB,Libertarian,1,0,0,1
Manistee,"Bear Lake Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Manistee,"Brown Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Manistee,"Cleon Township, Precinct 1",Straight Party,,LIB,Libertarian,1,0,0,1
Manistee,"Dickson Township, Precinct 1",Straight Party,,LIB,Libertarian,2,0,0,2
Manistee,"Charter Township of Filer, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Manistee,"Manistee Township, Precinct 1",Straight Party,,LIB,Libertarian,2,1,3,6
Manistee,"Maple Grove Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,1,1
Manistee,"Marilla Township, Precinct 1",Straight Party,,LIB,Libertarian,1,0,0,1
Manistee,"Norman Township, Precinct 1",Straight Party,,LIB,Libertarian,1,0,0,1
Manistee,"Onekama Township, Precinct 1",Straight Party,,LIB,Libertarian,0,2,0,2
Manistee,"Pleasanton Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Manistee,"Springdale Township, Precinct 1",Straight Party,,LIB,Libertarian,0,0,0,0
Manistee,"Stronach Township, Precinct 1",Straight Party,,LIB,Libertarian,3,0,0,3
Manistee,"City of Manistee, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,1,2
Manistee,"City of Manistee, Precinct 2",Straight Party,,UST,U.S. Taxpayers,1,1,0,2
Manistee,"Arcadia Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"Bear Lake Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,0,0,2
Manistee,"Brown Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Manistee,"Cleon Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"Dickson Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"Charter Township of Filer, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,1,1,2
Manistee,"Manistee Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"Maple Grove Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,0,0,2
Manistee,"Marilla Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"Norman Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,2,0,0,2
Manistee,"Onekama Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"Pleasanton Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Manistee,"Springdale Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,0,1
Manistee,"Stronach Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0,0
Manistee,"City of Manistee, Precinct 1",Straight Party,,GRN,Green,2,0,1,3
Manistee,"City of Manistee, Precinct 2",Straight Party,,GRN,Green,3,0,0,3
Manistee,"Arcadia Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Manistee,"Bear Lake Township, Precinct 1",Straight Party,,GRN,Green,2,0,0,2
Manistee,"Brown Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Manistee,"Cleon Township, Precinct 1",Straight Party,,GRN,Green,1,0,0,1
Manistee,"Dickson Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Manistee,"Charter Township of Filer, Precinct 1",Straight Party,,GRN,Green,0,0,1,1
Manistee,"Manistee Township, Precinct 1",Straight Party,,GRN,Green,1,0,0,1
Manistee,"Maple Grove Township, Precinct 1",Straight Party,,GRN,Green,1,0,0,1
Manistee,"Marilla Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Manistee,"Norman Township, Precinct 1",Straight Party,,GRN,Green,1,0,0,1
Manistee,"Onekama Township, Precinct 1",Straight Party,,GRN,Green,0,1,0,1
Manistee,"Pleasanton Township, Precinct 1",Straight Party,,GRN,Green,2,0,0,2
Manistee,"Springdale Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Manistee,"Stronach Township, Precinct 1",Straight Party,,GRN,Green,0,0,0,0
Manistee,"City of Manistee, Precinct 1",Straight Party,,WCP,Working Class,8,1,0,9
