county,precinct,office,district,party,candidate,election_day,early_voting,votes
Oscoda,"Big Creek Township, Precinct 1",Registered Voters,,,,,,1157
Oscoda,"Big Creek Township, Precinct 2",Registered Voters,,,,,,1546
Oscoda,"Clinton Township, Precinct 1",Registered Voters,,,,,,453
Oscoda,"Comins Township, Precinct 1",Registered Voters,,,,,,1640
Oscoda,"Elmer Township, Precinct 1",Registered Voters,,,,,,731
Oscoda,"Greenwood Township, Precinct 1",Registered Voters,,,,,,1237
Oscoda,"Mentor Township, Precinct 1",Registered Voters,,,,,,1127
Oscoda,"Mitchell Township, Precinct 1 (Alcona County)",Registered Voters,,,,,,0
Oscoda,"Big Creek Township, Precinct 1",Ballots Cast,,,,515,265,780
Oscoda,"Big Creek Township, Precinct 2",Ballots Cast,,,,620,349,969
Oscoda,"Clinton Township, Precinct 1",Ballots Cast,,,,276,42,318
Oscoda,"Comins Township, Precinct 1",Ballots Cast,,,,942,154,1096
Oscoda,"Elmer Township, Precinct 1",Ballots Cast,,,,378,95,473
Oscoda,"Greenwood Township, Precinct 1",Ballots Cast,,,,744,84,828
Oscoda,"Mentor Township, Precinct 1",Ballots Cast,,,,599,175,774
Oscoda,"Mitchell Township, Precinct 1 (Alcona County)",Ballots Cast,,,,460,41,501
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,DEM,Democratic,85,23,108
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,REP,Republican,168,124,292
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,LIB,Libertarian,0,1,1
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,0,0,0
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,GRN,Green,1,0,1
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,WCP,Working Class,4,1,5
Oscoda,"Big Creek Township, Precinct 1",Straight Party,,NLP,Natural Law,1,0,1
Oscoda,"Big Creek Township, Precinct 2",Straight Party,,DEM,Democratic,96,22,118
Oscoda,"Big Creek Township, Precinct 2",Straight Party,,REP,Republican,231,149,380
Oscoda,"Big Creek Township, Precinct 2",Straight Party,,LIB,Libertarian,1,1,2
