county,office,district,party,last,first,middle,suffix,votes
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Allen,Jason,,,478
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Bergman,Jack,,,540
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Casperson,Tom,,,426
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Cannon,Jerry,,,208
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Johnson,Lon,,,444
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,REP,Allen,Jason,,,76
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,REP,Bergman,Jack,,,256
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,REP,Casperson,Tom,,,585
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Cannon,Jerry,,,234
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Johnson,Lon,,,542
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Allen,Jason,,,1006
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Bergman,Jack,,,1147
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Casperson,Tom,,,716
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Cannon,Jerry,,,451
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Johnson,Lon,,,1508
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,REP,Allen,Jason,,,1498
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,REP,Bergman,Jack,,,1906
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,REP,Casperson,Tom,,,745
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Cannon,Jerry,,,273
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Johnson,Lon,,,761
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Allen,Jason,,,67
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Bergman,Jack,,,232
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,REP,Casperson,Tom,,,532
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Cannon,Jerry,,,103
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,DEM,Johnson,Lon,,,250
BENZIE,1st District Representative in Congress 2 Year Term (1) Position,,REP,Allen,Jason,,,891
BENZIE,1st District Representative in Congress 2 Year Term (1) Position,,REP,Bergman,Jack,,,1164
BENZIE,1st District Representative in Congress 2 Year Term (1) Position,,REP,Casperson,Tom,,,519
