county,office,district,party,last,first,middle,votes
KENT,State House,75,Republican,Edmonds,Blake,,3964
KENT,State House,75,Democratic,LaGrand,David,,13601
ALLEGAN,State House,80,Republican,Whiteford,Mary,,14860
ALLEGAN,State House,80,Democratic,Gernant,David,,6945
ALLEGAN,State House,80,Libertarian,Davidsons,Arnie,,1424
LAPEER,State House,82,Republican,Howell,Gary,,13907
LAPEER,State House,82,Democratic,Guerrero DeLuca,Margaret,,8680
LAPEER,State House,82,Libertarian,Spilker,Tracy,R.,1154
