county,office,district,party,last,first,middle,votes
ALCONA,Governor,,Republican,Snyder,Rick,,1099
ALCONA,Governor,,Democratic,Schauer,Mark,,695
ALGER,Governor,,Republican,Snyder,Rick,,583
ALGER,Governor,,Democratic,Schauer,Mark,,517
ALLEGAN,Governor,,Republican,Snyder,Rick,,10469
ALLEGAN,Governor,,Democratic,Schauer,Mark,,2763
ALPENA,Governor,,Republican,Snyder,Rick,,1970
ALPENA,Governor,,Democratic,Schauer,Mark,,1759
ANTRIM,Governor,,Republican,Snyder,Rick,,3509
ANTRIM,Governor,,Democratic,Schauer,Mark,,790
ARENAC,Governor,,Republican,Snyder,Rick,,1088
ARENAC,Governor,,Democratic,Schauer,Mark,,744
BARAGA,Governor,,Republican,Snyder,Rick,,495
BARAGA,Governor,,Democratic,Schauer,Mark,,330
BARRY,Governor,,Republican,Snyder,Rick,,5871
BARRY,Governor,,Democratic,Schauer,Mark,,1511
BAY,Governor,,Republican,Snyder,Rick,,6337
BAY,Governor,,Democratic,Schauer,Mark,,6998
BENZIE,Governor,,Republican,Snyder,Rick,,1800
BENZIE,Governor,,Democratic,Schauer,Mark,,1005
BERRIEN,Governor,,Republican,Snyder,Rick,,11897
BERRIEN,Governor,,Democratic,Schauer,Mark,,3385
BRANCH,Governor,,Republican,Snyder,Rick,,4066
BRANCH,Governor,,Democratic,Schauer,Mark,,1091
CALHOUN,Governor,,Republican,Snyder,Rick,,8589
CALHOUN,Governor,,Democratic,Schauer,Mark,,4911
CASS,Governor,,Republican,Snyder,Rick,,2833
CASS,Governor,,Democratic,Schauer,Mark,,910
CHARLEVOIX,Governor,,Republican,Snyder,Rick,,4444
CHARLEVOIX,Governor,,Democratic,Schauer,Mark,,1283
CHEBOYGAN,Governor,,Republican,Snyder,Rick,,3119
CHEBOYGAN,Governor,,Democratic,Schauer,Mark,,1180
CHIPPEWA,Governor,,Republican,Snyder,Rick,,3108
CHIPPEWA,Governor,,Democratic,Schauer,Mark,,1296
CLARE,Governor,,Republican,Snyder,Rick,,2103
CLARE,Governor,,Democratic,Schauer,Mark,,889
CLINTON,Governor,,Republican,Snyder,Rick,,6081
CLINTON,Governor,,Democratic,Schauer,Mark,,2786
CRAWFORD,Governor,,Republican,Snyder,Rick,,1385
CRAWFORD,Governor,,Democratic,Schauer,Mark,,561
DELTA,Governor,,Republican,Snyder,Rick,,3327
DELTA,Governor,,Democratic,Schauer,Mark,,2522
DICKINSON,Governor,,Republican,Snyder,Rick,,1947
DICKINSON,Governor,,Democratic,Schauer,Mark,,725
EATON,Governor,,Republican,Snyder,Rick,,6802
EATON,Governor,,Democratic,Schauer,Mark,,4767
EMMET,Governor,,Republican,Snyder,Rick,,4327
EMMET,Governor,,Democratic,Schauer,Mark,,945
GENESEE,Governor,,Republican,Snyder,Rick,,14726
GENESEE,Governor,,Democratic,Schauer,Mark,,27185
GLADWIN,Governor,,Republican,Snyder,Rick,,2107
GLADWIN,Governor,,Democratic,Schauer,Mark,,1066
GOGEBIC,Governor,,Republican,Snyder,Rick,,600
GOGEBIC,Governor,,Democratic,Schauer,Mark,,745
GD. TRAVERSE,Governor,,Republican,Snyder,Rick,,10492
GD. TRAVERSE,Governor,,Democratic,Schauer,Mark,,3753
GRATIOT,Governor,,Republican,Snyder,Rick,,2344
GRATIOT,Governor,,Democratic,Schauer,Mark,,1350
HILLSDALE,Governor,,Republican,Snyder,Rick,,4218
HILLSDALE,Governor,,Democratic,Schauer,Mark,,760
HOUGHTON,Governor,,Republican,Snyder,Rick,,1499
HOUGHTON,Governor,,Democratic,Schauer,Mark,,880
HURON,Governor,,Republican,Snyder,Rick,,4364
HURON,Governor,,Democratic,Schauer,Mark,,1470
INGHAM,Governor,,Republican,Snyder,Rick,,11755
INGHAM,Governor,,Democratic,Schauer,Mark,,17204
IONIA,Governor,,Republican,Snyder,Rick,,4133
IONIA,Governor,,Democratic,Schauer,Mark,,1464
IOSCO,Governor,,Republican,Snyder,Rick,,1862
IOSCO,Governor,,Democratic,Schauer,Mark,,1828
IRON,Governor,,Republican,Snyder,Rick,,833
IRON,Governor,,Democratic,Schauer,Mark,,546
ISABELLA,Governor,,Republican,Snyder,Rick,,2649
ISABELLA,Governor,,Democratic,Schauer,Mark,,1455
JACKSON,Governor,,Republican,Snyder,Rick,,10003
JACKSON,Governor,,Democratic,Schauer,Mark,,4837
KALAMAZOO,Governor,,Republican,Snyder,Rick,,13914
KALAMAZOO,Governor,,Democratic,Schauer,Mark,,10516
KALKASKA,Governor,,Republican,Snyder,Rick,,1793
KALKASKA,Governor,,Democratic,Schauer,Mark,,913
KENT,Governor,,Republican,Snyder,Rick,,55014
KENT,Governor,,Democratic,Schauer,Mark,,18124
KEWEENAW,Governor,,Republican,Snyder,Rick,,221
KEWEENAW,Governor,,Democratic,Schauer,Mark,,251
LAKE,Governor,,Republican,Snyder,Rick,,833
LAKE,Governor,,Democratic,Schauer,Mark,,710
LAPEER,Governor,,Republican,Snyder,Rick,,7999
LAPEER,Governor,,Democratic,Schauer,Mark,,3095
LEELANAU,Governor,,Republican,Snyder,Rick,,2723
LEELANAU,Governor,,Democratic,Schauer,Mark,,1285
LENAWEE,Governor,,Republican,Snyder,Rick,,4781
LENAWEE,Governor,,Democratic,Schauer,Mark,,2678
LIVINGSTON,Governor,,Republican,Snyder,Rick,,18895
LIVINGSTON,Governor,,Democratic,Schauer,Mark,,5689
LUCE,Governor,,Republican,Snyder,Rick,,521
LUCE,Governor,,Democratic,Schauer,Mark,,150
MACKINAC,Governor,,Republican,Snyder,Rick,,1448
MACKINAC,Governor,,Democratic,Schauer,Mark,,517
MACOMB,Governor,,Republican,Snyder,Rick,,46758
MACOMB,Governor,,Democratic,Schauer,Mark,,41298
MANISTEE,Governor,,Republican,Snyder,Rick,,1885
MANISTEE,Governor,,Democratic,Schauer,Mark,,1489
MARQUETTE,Governor,,Republican,Snyder,Rick,,3030
MARQUETTE,Governor,,Democratic,Schauer,Mark,,4077
MASON,Governor,,Republican,Snyder,Rick,,3114
MASON,Governor,,Democratic,Schauer,Mark,,1528
MECOSTA,Governor,,Republican,Snyder,Rick,,3108
MECOSTA,Governor,,Democratic,Schauer,Mark,,1028
