county,office,district,party,last,first,middle,votes
MENOMINEE,Governor,,Republican,Snyder,Rick,,912
MENOMINEE,Governor,,Democratic,Schauer,Mark,,596
MIDLAND,Governor,,Republican,Snyder,Rick,,10242
MIDLAND,Governor,,Democratic,Schauer,Mark,,1962
MISSAUKEE,Governor,,Republican,Snyder,Rick,,1841
MISSAUKEE,Governor,,Democratic,Schauer,Mark,,446
MONROE,Governor,,Republican,Snyder,Rick,,8350
MONROE,Governor,,Democratic,Schauer,Mark,,6973
MONTCALM,Governor,,Republican,Snyder,Rick,,3771
MONTCALM,Governor,,Democratic,Schauer,Mark,,1631
MONTMORENCY,Governor,,Republican,Snyder,Rick,,994
MONTMORENCY,Governor,,Democratic,Schauer,Mark,,486
MUSKEGON,Governor,,Republican,Snyder,Rick,,7350
MUSKEGON,Governor,,Democratic,Schauer,Mark,,6908
NEWAYGO,Governor,,Republican,Snyder,Rick,,3709
NEWAYGO,Governor,,Democratic,Schauer,Mark,,1122
OAKLAND,Governor,,Republican,Snyder,Rick,,90223
OAKLAND,Governor,,Democratic,Schauer,Mark,,77368
OCEANA,Governor,,Republican,Snyder,Rick,,2489
OCEANA,Governor,,Democratic,Schauer,Mark,,796
OGEMAW,Governor,,Republican,Snyder,Rick,,1813
OGEMAW,Governor,,Democratic,Schauer,Mark,,1407
ONTONAGON,Governor,,Republican,Snyder,Rick,,502
ONTONAGON,Governor,,Democratic,Schauer,Mark,,411
OSCEOLA,Governor,,Republican,Snyder,Rick,,2436
OSCEOLA,Governor,,Democratic,Schauer,Mark,,631
OSCODA,Governor,,Republican,Snyder,Rick,,992
OSCODA,Governor,,Democratic,Schauer,Mark,,315
OTSEGO,Governor,,Republican,Snyder,Rick,,3075
OTSEGO,Governor,,Democratic,Schauer,Mark,,1151
OTTAWA,Governor,,Republican,Snyder,Rick,,26959
OTTAWA,Governor,,Democratic,Schauer,Mark,,5978
PRESQUE ISLE,Governor,,Republican,Snyder,Rick,,1247
PRESQUE ISLE,Governor,,Democratic,Schauer,Mark,,849
ROSCOMMON,Governor,,Republican,Snyder,Rick,,3230
ROSCOMMON,Governor,,Democratic,Schauer,Mark,,1704
SAGINAW,Governor,,Republican,Snyder,Rick,,14825
SAGINAW,Governor,,Democratic,Schauer,Mark,,13927
ST. CLAIR,Governor,,Republican,Snyder,Rick,,11081
ST. CLAIR,Governor,,Democratic,Schauer,Mark,,7606
ST. JOSEPH,Governor,,Republican,Snyder,Rick,,4483
ST. JOSEPH,Governor,,Democratic,Schauer,Mark,,980
SANILAC,Governor,,Republican,Snyder,Rick,,3467
SANILAC,Governor,,Democratic,Schauer,Mark,,1172
SCHOOLCRAFT,Governor,,Republican,Snyder,Rick,,466
SCHOOLCRAFT,Governor,,Democratic,Schauer,Mark,,413
SHIAWASSEE,Governor,,Republican,Snyder,Rick,,5022
SHIAWASSEE,Governor,,Democratic,Schauer,Mark,,3264
TUSCOLA,Governor,,Republican,Snyder,Rick,,4721
TUSCOLA,Governor,,Democratic,Schauer,Mark,,1885
VAN BUREN,Governor,,Republican,Snyder,Rick,,4473
VAN BUREN,Governor,,Democratic,Schauer,Mark,,2323
WASHTENAW,Governor,,Republican,Snyder,Rick,,11853
WASHTENAW,Governor,,Democratic,Schauer,Mark,,27002
WAYNE,Governor,,Republican,Snyder,Rick,,49548
WAYNE,Governor,,Democratic,Schauer,Mark,,140891
WEXFORD,Governor,,Republican,Snyder,Rick,,2775
WEXFORD,Governor,,Democratic,Schauer,Mark,,812
ALCONA,U.S. Senate,,Republican,Land,Terri,Lynn,1044
ALCONA,U.S. Senate,,Democratic,Peters,Gary,,679
ALGER,U.S. Senate,,Republican,Land,Terri,Lynn,571
ALGER,U.S. Senate,,Democratic,Peters,Gary,,500
ALLEGAN,U.S. Senate,,Republican,Land,Terri,Lynn,10042
ALLEGAN,U.S. Senate,,Democratic,Peters,Gary,,2685
ALPENA,U.S. Senate,,Republican,Land,Terri,Lynn,1923
ALPENA,U.S. Senate,,Democratic,Peters,Gary,,1710
ANTRIM,U.S. Senate,,Republican,Land,Terri,Lynn,3269
ANTRIM,U.S. Senate,,Democratic,Peters,Gary,,780
ARENAC,U.S. Senate,,Republican,Land,Terri,Lynn,1030
ARENAC,U.S. Senate,,Democratic,Peters,Gary,,710
BARAGA,U.S. Senate,,Republican,Land,Terri,Lynn,491
BARAGA,U.S. Senate,,Democratic,Peters,Gary,,326
BARRY,U.S. Senate,,Republican,Land,Terri,Lynn,5587
BARRY,U.S. Senate,,Democratic,Peters,Gary,,1444
BAY,U.S. Senate,,Republican,Land,Terri,Lynn,6099
BAY,U.S. Senate,,Democratic,Peters,Gary,,6813
BENZIE,U.S. Senate,,Republican,Land,Terri,Lynn,1704
BENZIE,U.S. Senate,,Democratic,Peters,Gary,,994
BERRIEN,U.S. Senate,,Republican,Land,Terri,Lynn,11589
BERRIEN,U.S. Senate,,Democratic,Peters,Gary,,3305
BRANCH,U.S. Senate,,Republican,Land,Terri,Lynn,3875
BRANCH,U.S. Senate,,Democratic,Peters,Gary,,1038
CALHOUN,U.S. Senate,,Republican,Land,Terri,Lynn,8023
CALHOUN,U.S. Senate,,Democratic,Peters,Gary,,4628
CASS,U.S. Senate,,Republican,Land,Terri,Lynn,2831
CASS,U.S. Senate,,Democratic,Peters,Gary,,902
CHARLEVOIX,U.S. Senate,,Republican,Land,Terri,Lynn,4154
CHARLEVOIX,U.S. Senate,,Democratic,Peters,Gary,,1253
CHEBOYGAN,U.S. Senate,,Republican,Land,Terri,Lynn,2986
CHEBOYGAN,U.S. Senate,,Democratic,Peters,Gary,,1134
CHIPPEWA,U.S. Senate,,Republican,Land,Terri,Lynn,2973
CHIPPEWA,U.S. Senate,,Democratic,Peters,Gary,,1264
CLARE,U.S. Senate,,Republican,Land,Terri,Lynn,1999
CLARE,U.S. Senate,,Democratic,Peters,Gary,,857
CLINTON,U.S. Senate,,Republican,Land,Terri,Lynn,5709
CLINTON,U.S. Senate,,Democratic,Peters,Gary,,2719
CRAWFORD,U.S. Senate,,Republican,Land,Terri,Lynn,1267
CRAWFORD,U.S. Senate,,Democratic,Peters,Gary,,532
DELTA,U.S. Senate,,Republican,Land,Terri,Lynn,3207
DELTA,U.S. Senate,,Democratic,Peters,Gary,,2439
DICKINSON,U.S. Senate,,Republican,Land,Terri,Lynn,1856
DICKINSON,U.S. Senate,,Democratic,Peters,Gary,,705
EATON,U.S. Senate,,Republican,Land,Terri,Lynn,6473
EATON,U.S. Senate,,Democratic,Peters,Gary,,4660
EMMET,U.S. Senate,,Republican,Land,Terri,Lynn,4088
EMMET,U.S. Senate,,Democratic,Peters,Gary,,953
GENESEE,U.S. Senate,,Republican,Land,Terri,Lynn,14302
GENESEE,U.S. Senate,,Democratic,Peters,Gary,,26315
GLADWIN,U.S. Senate,,Republican,Land,Terri,Lynn,2028
GLADWIN,U.S. Senate,,Democratic,Peters,Gary,,1021
GOGEBIC,U.S. Senate,,Republican,Land,Terri,Lynn,581
GOGEBIC,U.S. Senate,,Democratic,Peters,Gary,,726
GD. TRAVERSE,U.S. Senate,,Republican,Land,Terri,Lynn,9774
GD. TRAVERSE,U.S. Senate,,Democratic,Peters,Gary,,3716
GRATIOT,U.S. Senate,,Republican,Land,Terri,Lynn,2247
GRATIOT,U.S. Senate,,Democratic,Peters,Gary,,1296
HILLSDALE,U.S. Senate,,Republican,Land,Terri,Lynn,4002
HILLSDALE,U.S. Senate,,Democratic,Peters,Gary,,747
HOUGHTON,U.S. Senate,,Republican,Land,Terri,Lynn,1430
HOUGHTON,U.S. Senate,,Democratic,Peters,Gary,,870
HURON,U.S. Senate,,Republican,Land,Terri,Lynn,4203
HURON,U.S. Senate,,Democratic,Peters,Gary,,1383
INGHAM,U.S. Senate,,Republican,Land,Terri,Lynn,10985
INGHAM,U.S. Senate,,Democratic,Peters,Gary,,16968
IONIA,U.S. Senate,,Republican,Land,Terri,Lynn,3933
IONIA,U.S. Senate,,Democratic,Peters,Gary,,1398
IOSCO,U.S. Senate,,Republican,Land,Terri,Lynn,1750
IOSCO,U.S. Senate,,Democratic,Peters,Gary,,1771
IRON,U.S. Senate,,Republican,Land,Terri,Lynn,795
IRON,U.S. Senate,,Democratic,Peters,Gary,,536
ISABELLA,U.S. Senate,,Republican,Land,Terri,Lynn,2493
ISABELLA,U.S. Senate,,Democratic,Peters,Gary,,1425
JACKSON,U.S. Senate,,Republican,Land,Terri,Lynn,9527
JACKSON,U.S. Senate,,Democratic,Peters,Gary,,4688
KALAMAZOO,U.S. Senate,,Republican,Land,Terri,Lynn,13207
KALAMAZOO,U.S. Senate,,Democratic,Peters,Gary,,10244
KALKASKA,U.S. Senate,,Republican,Land,Terri,Lynn,1657
KALKASKA,U.S. Senate,,Democratic,Peters,Gary,,882
KENT,U.S. Senate,,Republican,Land,Terri,Lynn,52835
KENT,U.S. Senate,,Democratic,Peters,Gary,,17879
KEWEENAW,U.S. Senate,,Republican,Land,Terri,Lynn,208
KEWEENAW,U.S. Senate,,Democratic,Peters,Gary,,243
LAKE,U.S. Senate,,Republican,Land,Terri,Lynn,787
LAKE,U.S. Senate,,Democratic,Peters,Gary,,681
LAPEER,U.S. Senate,,Republican,Land,Terri,Lynn,7846
LAPEER,U.S. Senate,,Democratic,Peters,Gary,,2988
LEELANAU,U.S. Senate,,Republican,Land,Terri,Lynn,2581
LEELANAU,U.S. Senate,,Democratic,Peters,Gary,,1276
LENAWEE,U.S. Senate,,Republican,Land,Terri,Lynn,4661
LENAWEE,U.S. Senate,,Democratic,Peters,Gary,,2570
LIVINGSTON,U.S. Senate,,Republican,Land,Terri,Lynn,17987
LIVINGSTON,U.S. Senate,,Democratic,Peters,Gary,,5559
LUCE,U.S. Senate,,Republican,Land,Terri,Lynn,478
LUCE,U.S. Senate,,Democratic,Peters,Gary,,148
MACKINAC,U.S. Senate,,Republican,Land,Terri,Lynn,1381
MACKINAC,U.S. Senate,,Democratic,Peters,Gary,,502
MACOMB,U.S. Senate,,Republican,Land,Terri,Lynn,44825
MACOMB,U.S. Senate,,Democratic,Peters,Gary,,40345
MANISTEE,U.S. Senate,,Republican,Land,Terri,Lynn,1801
MANISTEE,U.S. Senate,,Democratic,Peters,Gary,,1454
MARQUETTE,U.S. Senate,,Republican,Land,Terri,Lynn,2959
MARQUETTE,U.S. Senate,,Democratic,Peters,Gary,,4014
MASON,U.S. Senate,,Republican,Land,Terri,Lynn,2872
MASON,U.S. Senate,,Democratic,Peters,Gary,,1440
MECOSTA,U.S. Senate,,Republican,Land,Terri,Lynn,2958
MECOSTA,U.S. Senate,,Democratic,Peters,Gary,,1006
MENOMINEE,U.S. Senate,,Republican,Land,Terri,Lynn,890
MENOMINEE,U.S. Senate,,Democratic,Peters,Gary,,571
MIDLAND,U.S. Senate,,Republican,Land,Terri,Lynn,9811
MIDLAND,U.S. Senate,,Democratic,Peters,Gary,,1896
MISSAUKEE,U.S. Senate,,Republican,Land,Terri,Lynn,1772
MISSAUKEE,U.S. Senate,,Democratic,Peters,Gary,,436
MONROE,U.S. Senate,,Republican,Land,Terri,Lynn,8017
MONROE,U.S. Senate,,Democratic,Peters,Gary,,6715
MONTCALM,U.S. Senate,,Republican,Land,Terri,Lynn,3624
MONTCALM,U.S. Senate,,Democratic,Peters,Gary,,1569
MONTMORENCY,U.S. Senate,,Republican,Land,Terri,Lynn,960
MONTMORENCY,U.S. Senate,,Democratic,Peters,Gary,,475
MUSKEGON,U.S. Senate,,Republican,Land,Terri,Lynn,7008
MUSKEGON,U.S. Senate,,Democratic,Peters,Gary,,6785
NEWAYGO,U.S. Senate,,Republican,Land,Terri,Lynn,3518
NEWAYGO,U.S. Senate,,Democratic,Peters,Gary,,1066
OAKLAND,U.S. Senate,,Republican,Land,Terri,Lynn,84644
OAKLAND,U.S. Senate,,Democratic,Peters,Gary,,78232
OCEANA,U.S. Senate,,Republican,Land,Terri,Lynn,2317
OCEANA,U.S. Senate,,Democratic,Peters,Gary,,762
OGEMAW,U.S. Senate,,Republican,Land,Terri,Lynn,1710
OGEMAW,U.S. Senate,,Democratic,Peters,Gary,,1328
ONTONAGON,U.S. Senate,,Republican,Land,Terri,Lynn,466
ONTONAGON,U.S. Senate,,Democratic,Peters,Gary,,402
OSCEOLA,U.S. Senate,,Republican,Land,Terri,Lynn,2300
OSCEOLA,U.S. Senate,,Democratic,Peters,Gary,,614
OSCODA,U.S. Senate,,Republican,Land,Terri,Lynn,944
OSCODA,U.S. Senate,,Democratic,Peters,Gary,,299
OTSEGO,U.S. Senate,,Republican,Land,Terri,Lynn,2879
OTSEGO,U.S. Senate,,Democratic,Peters,Gary,,1118
OTTAWA,U.S. Senate,,Republican,Land,Terri,Lynn,26121
OTTAWA,U.S. Senate,,Democratic,Peters,Gary,,5890
PRESQUE ISLE,U.S. Senate,,Republican,Land,Terri,Lynn,1164
PRESQUE ISLE,U.S. Senate,,Democratic,Peters,Gary,,831
ROSCOMMON,U.S. Senate,,Republican,Land,Terri,Lynn,2995
ROSCOMMON,U.S. Senate,,Democratic,Peters,Gary,,1639
SAGINAW,U.S. Senate,,Republican,Land,Terri,Lynn,13589
SAGINAW,U.S. Senate,,Democratic,Peters,Gary,,12795
ST. CLAIR,U.S. Senate,,Republican,Land,Terri,Lynn,10806
ST. CLAIR,U.S. Senate,,Democratic,Peters,Gary,,7233
ST. JOSEPH,U.S. Senate,,Republican,Land,Terri,Lynn,4233
ST. JOSEPH,U.S. Senate,,Democratic,Peters,Gary,,944
SANILAC,U.S. Senate,,Republican,Land,Terri,Lynn,3364
SANILAC,U.S. Senate,,Democratic,Peters,Gary,,1095
SCHOOLCRAFT,U.S. Senate,,Republican,Land,Terri,Lynn,470
SCHOOLCRAFT,U.S. Senate,,Democratic,Peters,Gary,,391
SHIAWASSEE,U.S. Senate,,Republican,Land,Terri,Lynn,4860
SHIAWASSEE,U.S. Senate,,Democratic,Peters,Gary,,3145
TUSCOLA,U.S. Senate,,Republican,Land,Terri,Lynn,4609
TUSCOLA,U.S. Senate,,Democratic,Peters,Gary,,1792
VAN BUREN,U.S. Senate,,Republican,Land,Terri,Lynn,4210
VAN BUREN,U.S. Senate,,Democratic,Peters,Gary,,2262
WASHTENAW,U.S. Senate,,Republican,Land,Terri,Lynn,11270
WASHTENAW,U.S. Senate,,Democratic,Peters,Gary,,27019
WAYNE,U.S. Senate,,Republican,Land,Terri,Lynn,47033
WAYNE,U.S. Senate,,Democratic,Peters,Gary,,138886
WEXFORD,U.S. Senate,,Republican,Land,Terri,Lynn,2617
WEXFORD,U.S. Senate,,Democratic,Peters,Gary,,791
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,269
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,862
ALCONA,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,653
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,135
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,502
ALGER,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,482
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,518
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1561
ALPENA,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,1654
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,1294
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,2526
ANTRIM,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,763
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,120
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,423
BARAGA,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,315
BENZIE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,606
BENZIE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1339
BENZIE,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,945
CHARLEVOIX,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,1522
CHARLEVOIX,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,3272
CHARLEVOIX,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,1217
CHEBOYGAN,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,1296
CHEBOYGAN,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,2244
CHEBOYGAN,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,1091
CHIPPEWA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,1027
CHIPPEWA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,2460
CHIPPEWA,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,1213
CRAWFORD,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,446
CRAWFORD,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1102
CRAWFORD,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,519
DELTA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,870
DELTA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,2665
DELTA,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,2347
DICKINSON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,1043
DICKINSON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1210
DICKINSON,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,708
EMMET,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,1537
EMMET,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,3208
EMMET,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,926
GOGEBIC,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,134
GOGEBIC,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,499
GOGEBIC,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,690
GD. TRAVERSE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,3425
GD. TRAVERSE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,7862
GD. TRAVERSE,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,3614
HOUGHTON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,353
HOUGHTON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1319
HOUGHTON,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,832
IRON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,431
IRON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,579
IRON,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,515
KALKASKA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,648
KALKASKA,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1272
KALKASKA,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,895
KEWEENAW,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,46
KEWEENAW,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,193
KEWEENAW,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,230
LEELANAU,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,790
LEELANAU,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,2147
LEELANAU,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,1236
LUCE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,200
LUCE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,397
LUCE,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,146
MACKINAC,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,499
MACKINAC,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1141
MACKINAC,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,482
MANISTEE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,610
MANISTEE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,1416
MANISTEE,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,1402
MARQUETTE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,776
MARQUETTE,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Benishek,Dan,,2508
MARQUETTE,1st District Representative in Congress 2 Year Term (1) Position,,Democratic,Cannon,Jerry,,3911
MASON,1st District Representative in Congress 2 Year Term (1) Position,,Republican,Arcand,Alan,,197
