,county,precinct,office,district,party,candidate,votes
0,Arenac,Adams Township,U.S. Senate ,,DEM,Gary Peters,17
1,Arenac,Arenac Township AGS,U.S. Senate ,,DEM,Gary Peters,50
2,Arenac,Arenac Township SS,U.S. Senate ,,DEM,Gary Peters,0
3,Arenac,AuGres Township 1A,U.S. Senate ,,DEM,Gary Peters,81
4,Arenac,AuGres Township 1B,U.S. Senate ,,DEM,Gary Peters,0
5,Arenac,Clayton Township,U.S. Senate ,,DEM,Gary Peters,54
6,Arenac,Deep River Township 1A,U.S. Senate ,,DEM,Gary Peters,119
7,Arenac,Deep River Township 1B,U.S. Senate ,,DEM,Gary Peters,0
8,Arenac,Lincoln Township ,U.S. Senate ,,DEM,Gary Peters,45
9,Arenac,Mason Township,U.S. Senate ,,DEM,Gary Peters,42
10,Arenac,Moffatt Township,U.S. Senate ,,DEM,Gary Peters,88
11,Arenac,Sims Township,U.S. Senate ,,DEM,Gary Peters,116
12,Arenac,Standish Township,U.S. Senate ,,DEM,Gary Peters,104
13,Arenac,Turner Township,U.S. Senate ,,DEM,Gary Peters,21
14,Arenac,Whitney Twp AGS,U.S. Senate ,,DEM,Gary Peters,95
15,Arenac,Whitney Twp TAS,U.S. Senate ,,DEM,Gary Peters,0
16,Arenac,AuGres City,U.S. Senate ,,DEM,Gary Peters,62
17,Arenac,Omer City,U.S. Senate ,,DEM,Gary Peters,20
18,Arenac,Standish City,U.S. Senate ,,DEM,Gary Peters,72
19,Arenac,Adams Township,Congress 5Th District,5,DEM,Daniel T. Kildee,17
20,Arenac,Arenac Township AGS,Congress 5Th District,5,DEM,Daniel T. Kildee,50
21,Arenac,Arenac Township SS,Congress 5Th District,5,DEM,Daniel T. Kildee,0
22,Arenac,AuGres Township 1A,Congress 5Th District,5,DEM,Daniel T. Kildee,79
23,Arenac,AuGres Township 1B,Congress 5Th District,5,DEM,Daniel T. Kildee,0
24,Arenac,Clayton Township,Congress 5Th District,5,DEM,Daniel T. Kildee,54
25,Arenac,Deep River Township 1A,Congress 5Th District,5,DEM,Daniel T. Kildee,119
26,Arenac,Deep River Township 1B,Congress 5Th District,5,DEM,Daniel T. Kildee,0
27,Arenac,Lincoln Township ,Congress 5Th District,5,DEM,Daniel T. Kildee,46
28,Arenac,Mason Township,Congress 5Th District,5,DEM,Daniel T. Kildee,42
29,Arenac,Moffatt Township,Congress 5Th District,5,DEM,Daniel T. Kildee,88
30,Arenac,Sims Township,Congress 5Th District,5,DEM,Daniel T. Kildee,115
31,Arenac,Standish Township,Congress 5Th District,5,DEM,Daniel T. Kildee,108
32,Arenac,Turner Township,Congress 5Th District,5,DEM,Daniel T. Kildee,20
33,Arenac,Whitney Twp AGS,Congress 5Th District,5,DEM,Daniel T. Kildee,97
34,Arenac,Whitney Twp TAS,Congress 5Th District,5,DEM,Daniel T. Kildee,0
35,Arenac,AuGres City,Congress 5Th District,5,DEM,Daniel T. Kildee,62
36,Arenac,Omer City,Congress 5Th District,5,DEM,Daniel T. Kildee,20
37,Arenac,Standish City,Congress 5Th District,5,DEM,Daniel T. Kildee,73
38,Arenac,Adams Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,12
39,Arenac,Arenac Township AGS,State Rep 97Th District,97,DEM,Celia Young-Wenkel,30
40,Arenac,Arenac Township SS,State Rep 97Th District,97,DEM,Celia Young-Wenkel,0
41,Arenac,AuGres Township 1A,State Rep 97Th District,97,DEM,Celia Young-Wenkel,50
42,Arenac,AuGres Township 1B,State Rep 97Th District,97,DEM,Celia Young-Wenkel,0
43,Arenac,Clayton Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,38
44,Arenac,Deep River Township 1A,State Rep 97Th District,97,DEM,Celia Young-Wenkel,81
45,Arenac,Deep River Township 1B,State Rep 97Th District,97,DEM,Celia Young-Wenkel,0
46,Arenac,Lincoln Township ,State Rep 97Th District,97,DEM,Celia Young-Wenkel,34
47,Arenac,Mason Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,24
48,Arenac,Moffatt Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,60
49,Arenac,Sims Township,State Rep 97Th District,97,DEM,Celia Young-Wenkel,69
