county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,
Benzie,Almira,U.S. Senate ,,DEM,Gary Peters,471,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,U.S. Senate ,,DEM,Gary Peters,455,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,U.S. Senate ,,DEM,Gary Peters,79,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,U.S. Senate ,,DEM,Gary Peters,58,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,U.S. Senate ,,DEM,Gary Peters,235,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,U.S. Senate ,,DEM,Gary Peters,152,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,U.S. Senate ,,DEM,Gary Peters,210,,,,,,,,,,,,,,,,,,,
Benzie,Inland,U.S. Senate ,,DEM,Gary Peters,203,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,U.S. Senate ,,DEM,Gary Peters,89,,,,,,,,,,,,,,,,,,,
Benzie,Lake,U.S. Senate ,,DEM,Gary Peters,211,,,,,,,,,,,,,,,,,,,
Benzie,Platte,U.S. Senate ,,DEM,Gary Peters,64,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,U.S. Senate ,,DEM,Gary Peters,76,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,U.S. Senate ,,DEM,Gary Peters,240,,,,,,,,,,,,,,,,,,,
Benzie,Almira,U.S. Senate ,,REP,John James,591,,,,,,,,,,,,,,,,,,,Grand Total BCCS
Benzie,Benzonia,U.S. Senate ,,REP,John James,490,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,U.S. Senate ,,REP,John James,134,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,U.S. Senate ,,REP,John James,120,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,U.S. Senate ,,REP,John James,172,,,,,,,,,,,,,,,,,,,
Benzie,Gilmore,U.S. Senate ,,REP,John James,91,,,,,,,,,,,,,,,,,,,
Benzie,Homestead,U.S. Senate ,,REP,John James,420,,,,,,,,,,,,,,,,,,,
Benzie,Inland,U.S. Senate ,,REP,John James,432,,,,,,,,,,,,,,,,,,,
Benzie,Joyfield,U.S. Senate ,,REP,John James,124,,,,,,,,,,,,,,,,,,,
Benzie,Lake,U.S. Senate ,,REP,John James,208,,,,,,,,,,,,,,,,,,,
Benzie,Platte,U.S. Senate ,,REP,John James,81,,,,,,,,,,,,,,,,,,,
Benzie,Weldon,U.S. Senate ,,REP,John James,93,,,,,,,,,,,,,,,,,,,
Benzie,City of Frankfort,U.S. Senate ,,REP,John James,168,,,,,,,,,,,,,,,,,,,
Benzie,Almira,Congress 1st District,1,DEM,Dana Ferguson,298,,,,,,,,,,,,,,,,,,,
Benzie,Benzonia,Congress 1st District,1,DEM,Dana Ferguson,263,,,,,,,,,,,,,,,,,,,
Benzie,Blaine,Congress 1st District,1,DEM,Dana Ferguson,65,,,,,,,,,,,,,,,,,,,
Benzie,Colfax,Congress 1st District,1,DEM,Dana Ferguson,28,,,,,,,,,,,,,,,,,,,
Benzie,Crystal Lake,Congress 1st District,1,DEM,Dana Ferguson,143,,,,,,,,,,,,,,,,,,,
