county,precinct,office,district,party,candidates,votes
Alcona,Alcona Twp,Registered Voters,,,,975
Alcona,Caledonia Twp,Registered Voters,,,,955
Alcona,Curtis Twp,Registered Voters,,,,1024
Alcona,Greenbush Twp,Registered Voters,,,,1257
Alcona,Gustin Twp,Registered Voters,,,,637
Alcona,Harrisville Twp,Registered Voters,,,,1144
Alcona,Hawes Twp,Registered Voters,,,,943
Alcona,Haynes Twp,Registered Voters,,,,645
Alcona,Mikado Twp,Registered Voters,,,,785
Alcona,Millen Twp,Registered Voters,,,,363
Alcona,Mitchell Twp,Registered Voters,,,,354
Alcona,City Harrisville,Registered Voters,,,,381
Alcona,Alcona Twp,Ballots Cast,,,,276
Alcona,Caledonia Twp,Ballots Cast,,,,242
Alcona,Curtis Twp,Ballots Cast,,,,281
Alcona,Greenbush Twp,Ballots Cast,,,,324
Alcona,Gustin Twp,Ballots Cast,,,,121
Alcona,Harrisville Twp,Ballots Cast,,,,298
Alcona,Hawes Twp,Ballots Cast,,,,186
Alcona,Haynes Twp,Ballots Cast,,,,166
Alcona,Mikado Twp,Ballots Cast,,,,195
Alcona,Millen Twp,Ballots Cast,,,,96
Alcona,Mitchell Twp,Ballots Cast,,,,87
Alcona,City Harrisville,Ballots Cast,,,,116
Alcona,Alcona Twp,President,,REP,Donald J. Trump,126
Alcona,Caledonia Twp,President,,REP,Donald J. Trump,100
Alcona,Curtis Twp,President,,REP,Donald J. Trump,131
Alcona,Greenbush Twp,President,,REP,Donald J. Trump,139
Alcona,Gustin Twp,President,,REP,Donald J. Trump,68
Alcona,Harrisville Twp,President,,REP,Donald J. Trump,152
Alcona,Hawes Twp,President,,REP,Donald J. Trump,100
Alcona,Haynes Twp,President,,REP,Donald J. Trump,80
Alcona,Mikado Twp,President,,REP,Donald J. Trump,127
Alcona,Millen Twp,President,,REP,Donald J. Trump,41
Alcona,Mitchell Twp,President,,REP,Donald J. Trump,56
Alcona,City Harrisville,President,,REP,Donald J. Trump,46
Alcona,Alcona Twp,President,,REP,Joe Walsh,2
Alcona,Caledonia Twp,President,,REP,Joe Walsh,1
Alcona,Curtis Twp,President,,REP,Joe Walsh,1
Alcona,Greenbush Twp,President,,REP,Joe Walsh,0
Alcona,Gustin Twp,President,,REP,Joe Walsh,1
Alcona,Harrisville Twp,President,,REP,Joe Walsh,0
Alcona,Hawes Twp,President,,REP,Joe Walsh,2
Alcona,Haynes Twp,President,,REP,Joe Walsh,0
Alcona,Mikado Twp,President,,REP,Joe Walsh,0
Alcona,Millen Twp,President,,REP,Joe Walsh,0
Alcona,Mitchell Twp,President,,REP,Joe Walsh,0
Alcona,City Harrisville,President,,REP,Joe Walsh,0
Alcona,Alcona Twp,President,,REP,Bill Weld,0
Alcona,Caledonia Twp,President,,REP,Bill Weld,3
Alcona,Curtis Twp,President,,REP,Bill Weld,0
Alcona,Greenbush Twp,President,,REP,Bill Weld,1
Alcona,Gustin Twp,President,,REP,Bill Weld,0
Alcona,Harrisville Twp,President,,REP,Bill Weld,1
Alcona,Hawes Twp,President,,REP,Bill Weld,0
Alcona,Haynes Twp,President,,REP,Bill Weld,0
Alcona,Mikado Twp,President,,REP,Bill Weld,0
Alcona,Millen Twp,President,,REP,Bill Weld,0
Alcona,Mitchell Twp,President,,REP,Bill Weld,0
Alcona,City Harrisville,President,,REP,Bill Weld,0
Alcona,Alcona Twp,President,,REP,Mark Sanford,0
Alcona,Caledonia Twp,President,,REP,Mark Sanford,0
Alcona,Curtis Twp,President,,REP,Mark Sanford,0
Alcona,Greenbush Twp,President,,REP,Mark Sanford,0
Alcona,Gustin Twp,President,,REP,Mark Sanford,0
Alcona,Harrisville Twp,President,,REP,Mark Sanford,1
Alcona,Hawes Twp,President,,REP,Mark Sanford,0
Alcona,Haynes Twp,President,,REP,Mark Sanford,0
Alcona,Mikado Twp,President,,REP,Mark Sanford,0
Alcona,Millen Twp,President,,REP,Mark Sanford,1
Alcona,Mitchell Twp,President,,REP,Mark Sanford,0
Alcona,City Harrisville,President,,REP,Mark Sanford,1
Alcona,Alcona Twp,President,,REP,Uncommitted,2
Alcona,Caledonia Twp,President,,REP,Uncommitted,1
Alcona,Curtis Twp,President,,REP,Uncommitted,6
Alcona,Greenbush Twp,President,,REP,Uncommitted,6
Alcona,Gustin Twp,President,,REP,Uncommitted,1
Alcona,Harrisville Twp,President,,REP,Uncommitted,1
Alcona,Hawes Twp,President,,REP,Uncommitted,2
Alcona,Haynes Twp,President,,REP,Uncommitted,3
Alcona,Mikado Twp,President,,REP,Uncommitted,4
Alcona,Millen Twp,President,,REP,Uncommitted,0
Alcona,Mitchell Twp,President,,REP,Uncommitted,3
