county,precinct,office,district,candidate,party,absentee,election_day,votes
Macomb,ARMADA TOWNSHIP 01,Attorney General,,Ballots Cast,,,,1813
Macomb,ARMADA TOWNSHIP 01,Attorney General,,Nessel,DEM,381,276,657
Macomb,ARMADA TOWNSHIP 01,Attorney General,,Van Sickle,UST,2,15,17
Macomb,ARMADA TOWNSHIP 01,Attorney General,,McHugh Jr.,LIB,16,19,35
Macomb,ARMADA TOWNSHIP 01,Attorney General,,DePerno,REP,305,731,1036
Macomb,ARMADA TOWNSHIP 02,Attorney General,,Ballots Cast,,,,1150
Macomb,ARMADA TOWNSHIP 02,Attorney General,,Nessel,DEM,198,144,342
Macomb,ARMADA TOWNSHIP 02,Attorney General,,Van Sickle,UST,6,10,16
Macomb,ARMADA TOWNSHIP 02,Attorney General,,McHugh Jr.,LIB,6,9,15
Macomb,ARMADA TOWNSHIP 02,Attorney General,,DePerno,REP,193,538,731
Macomb,BRUCE TOWNSHIP 01,Attorney General,,Ballots Cast,,,,973
Macomb,BRUCE TOWNSHIP 01,Attorney General,,Nessel,DEM,218,209,427
Macomb,BRUCE TOWNSHIP 01,Attorney General,,Van Sickle,UST,2,6,8
Macomb,BRUCE TOWNSHIP 01,Attorney General,,McHugh Jr.,LIB,2,10,12
Macomb,BRUCE TOWNSHIP 01,Attorney General,,DePerno,REP,137,332,469
Macomb,BRUCE TOWNSHIP 02,Attorney General,,Ballots Cast,,,,1797
Macomb,BRUCE TOWNSHIP 02,Attorney General,,Nessel,DEM,318,242,560
Macomb,BRUCE TOWNSHIP 02,Attorney General,,Van Sickle,UST,5,6,11
Macomb,BRUCE TOWNSHIP 02,Attorney General,,McHugh Jr.,LIB,3,13,16
Macomb,BRUCE TOWNSHIP 02,Attorney General,,DePerno,REP,326,840,1166
Macomb,BRUCE TOWNSHIP 03,Attorney General,,Ballots Cast,,,,1301
Macomb,BRUCE TOWNSHIP 03,Attorney General,,Nessel,DEM,212,233,445
Macomb,BRUCE TOWNSHIP 03,Attorney General,,Van Sickle,UST,2,5,7
Macomb,BRUCE TOWNSHIP 03,Attorney General,,McHugh Jr.,LIB,4,10,14
Macomb,BRUCE TOWNSHIP 03,Attorney General,,DePerno,REP,249,548,797
Macomb,BRUCE TOWNSHIP 04,Attorney General,,Ballots Cast,,,,1310
Macomb,BRUCE TOWNSHIP 04,Attorney General,,Nessel,DEM,209,179,388
Macomb,BRUCE TOWNSHIP 04,Attorney General,,Van Sickle,UST,4,4,8
Macomb,BRUCE TOWNSHIP 04,Attorney General,,McHugh Jr.,LIB,5,7,12
Macomb,BRUCE TOWNSHIP 04,Attorney General,,DePerno,REP,214,644,858
Macomb,CENTER LINE 01,Attorney General,,Ballots Cast,,,,736
Macomb,CENTER LINE 01,Attorney General,,Nessel,DEM,154,291,445
Macomb,CENTER LINE 01,Attorney General,,Van Sickle,UST,0,9,9
Macomb,CENTER LINE 01,Attorney General,,McHugh Jr.,LIB,3,9,12
Macomb,CENTER LINE 01,Attorney General,,DePerno,REP,56,201,257
Macomb,CENTER LINE 02,Attorney General,,Ballots Cast,,,,560
Macomb,CENTER LINE 02,Attorney General,,Nessel,DEM,173,191,364
Macomb,CENTER LINE 02,Attorney General,,Van Sickle,UST,4,4,8
Macomb,CENTER LINE 02,Attorney General,,McHugh Jr.,LIB,2,8,10
Macomb,CENTER LINE 02,Attorney General,,DePerno,REP,45,119,164
Macomb,CENTER LINE 03,Attorney General,,Ballots Cast,,,,891
Macomb,CENTER LINE 03,Attorney General,,Nessel,DEM,212,360,572
Macomb,CENTER LINE 03,Attorney General,,Van Sickle,UST,4,13,17
Macomb,CENTER LINE 03,Attorney General,,McHugh Jr.,LIB,4,15,19
Macomb,CENTER LINE 03,Attorney General,,DePerno,REP,67,189,256
Macomb,CENTER LINE 04,Attorney General,,Ballots Cast,,,,450
Macomb,CENTER LINE 04,Attorney General,,Nessel,DEM,94,178,272
Macomb,CENTER LINE 04,Attorney General,,Van Sickle,UST,1,3,4
Macomb,CENTER LINE 04,Attorney General,,McHugh Jr.,LIB,4,5,9
Macomb,CENTER LINE 04,Attorney General,,DePerno,REP,31,118,149
Macomb,CENTER LINE 05,Attorney General,,Ballots Cast,,,,481
Macomb,CENTER LINE 05,Attorney General,,Nessel,DEM,82,196,278
Macomb,CENTER LINE 05,Attorney General,,Van Sickle,UST,2,2,4
Macomb,CENTER LINE 05,Attorney General,,McHugh Jr.,LIB,0,9,9
Macomb,CENTER LINE 05,Attorney General,,DePerno,REP,35,141,176
Macomb,CHESTERFIELD TOWNSHIP 01,Attorney General,,Ballots Cast,,,,1378
Macomb,CHESTERFIELD TOWNSHIP 01,Attorney General,,Nessel,DEM,391,193,584
Macomb,CHESTERFIELD TOWNSHIP 01,Attorney General,,Van Sickle,UST,8,5,13
Macomb,CHESTERFIELD TOWNSHIP 01,Attorney General,,McHugh Jr.,LIB,12,9,21
Macomb,CHESTERFIELD TOWNSHIP 01,Attorney General,,DePerno,REP,281,422,703
Macomb,CHESTERFIELD TOWNSHIP 02,Attorney General,,Ballots Cast,,,,1346
Macomb,CHESTERFIELD TOWNSHIP 02,Attorney General,,Nessel,DEM,295,242,537
Macomb,CHESTERFIELD TOWNSHIP 02,Attorney General,,Van Sickle,UST,3,9,12
Macomb,CHESTERFIELD TOWNSHIP 02,Attorney General,,McHugh Jr.,LIB,12,10,22
Macomb,CHESTERFIELD TOWNSHIP 02,Attorney General,,DePerno,REP,241,489,730
Macomb,CHESTERFIELD TOWNSHIP 03,Attorney General,,Ballots Cast,,,,1102
Macomb,CHESTERFIELD TOWNSHIP 03,Attorney General,,Nessel,DEM,255,160,415
Macomb,CHESTERFIELD TOWNSHIP 03,Attorney General,,Van Sickle,UST,5,5,10
Macomb,CHESTERFIELD TOWNSHIP 03,Attorney General,,McHugh Jr.,LIB,5,8,13
Macomb,CHESTERFIELD TOWNSHIP 03,Attorney General,,DePerno,REP,231,403,634
Macomb,CHESTERFIELD TOWNSHIP 04,Attorney General,,Ballots Cast,,,,1087
Macomb,CHESTERFIELD TOWNSHIP 04,Attorney General,,Nessel,DEM,290,209,499
Macomb,CHESTERFIELD TOWNSHIP 04,Attorney General,,Van Sickle,UST,2,7,9
Macomb,CHESTERFIELD TOWNSHIP 04,Attorney General,,McHugh Jr.,LIB,4,5,9
Macomb,CHESTERFIELD TOWNSHIP 04,Attorney General,,DePerno,REP,183,350,533
Macomb,CHESTERFIELD TOWNSHIP 05,Attorney General,,Ballots Cast,,,,1267
Macomb,CHESTERFIELD TOWNSHIP 05,Attorney General,,Nessel,DEM,305,242,547
Macomb,CHESTERFIELD TOWNSHIP 05,Attorney General,,Van Sickle,UST,5,3,8
Macomb,CHESTERFIELD TOWNSHIP 05,Attorney General,,McHugh Jr.,LIB,4,10,14
Macomb,CHESTERFIELD TOWNSHIP 05,Attorney General,,DePerno,REP,202,454,656
Macomb,CHESTERFIELD TOWNSHIP 06,Attorney General,,Ballots Cast,,,,1190
Macomb,CHESTERFIELD TOWNSHIP 06,Attorney General,,Nessel,DEM,252,235,487
Macomb,CHESTERFIELD TOWNSHIP 06,Attorney General,,Van Sickle,UST,1,3,4
Macomb,CHESTERFIELD TOWNSHIP 06,Attorney General,,McHugh Jr.,LIB,2,11,13
Macomb,CHESTERFIELD TOWNSHIP 06,Attorney General,,DePerno,REP,189,446,635
Macomb,CHESTERFIELD TOWNSHIP 07,Attorney General,,Ballots Cast,,,,1051
Macomb,CHESTERFIELD TOWNSHIP 07,Attorney General,,Nessel,DEM,207,232,439
Macomb,CHESTERFIELD TOWNSHIP 07,Attorney General,,Van Sickle,UST,1,8,9
Macomb,CHESTERFIELD TOWNSHIP 07,Attorney General,,McHugh Jr.,LIB,3,6,9
Macomb,CHESTERFIELD TOWNSHIP 07,Attorney General,,DePerno,REP,135,414,549
Macomb,CHESTERFIELD TOWNSHIP 08,Attorney General,,Ballots Cast,,,,1004
Macomb,CHESTERFIELD TOWNSHIP 08,Attorney General,,Nessel,DEM,221,179,400
Macomb,CHESTERFIELD TOWNSHIP 08,Attorney General,,Van Sickle,UST,1,5,6
Macomb,CHESTERFIELD TOWNSHIP 08,Attorney General,,McHugh Jr.,LIB,5,6,11
Macomb,CHESTERFIELD TOWNSHIP 08,Attorney General,,DePerno,REP,194,359,553
Macomb,CHESTERFIELD TOWNSHIP 09,Attorney General,,Ballots Cast,,,,1195
Macomb,CHESTERFIELD TOWNSHIP 09,Attorney General,,Nessel,DEM,334,213,547
Macomb,CHESTERFIELD TOWNSHIP 09,Attorney General,,Van Sickle,UST,2,8,10
Macomb,CHESTERFIELD TOWNSHIP 09,Attorney General,,McHugh Jr.,LIB,7,9,16
Macomb,CHESTERFIELD TOWNSHIP 09,Attorney General,,DePerno,REP,257,319,576
Macomb,CHESTERFIELD TOWNSHIP 10,Attorney General,,Ballots Cast,,,,1716
Macomb,CHESTERFIELD TOWNSHIP 10,Attorney General,,Nessel,DEM,398,175,573
Macomb,CHESTERFIELD TOWNSHIP 10,Attorney General,,Van Sickle,UST,5,4,9
