county,precinct,office,district,party,candidate,election_day,absentee,votes
Ingham,"Alaiedon Township, Precinct 1",Registered Voters,,,,,,1212
Ingham,"Alaiedon Township, Precinct 2",Registered Voters,,,,,,1293
Ingham,"Aurelius Township, Precinct 1",Registered Voters,,,,,,2049
Ingham,"Aurelius Township, Precinct 2",Registered Voters,,,,,,1472
Ingham,"Bunker Hill Township, Precinct 1",Registered Voters,,,,,,1588
Ingham,"City of East Lansing, Precinct 1",Registered Voters,,,,,,855
Ingham,"City of East Lansing, Precinct 10",Registered Voters,,,,,,1143
Ingham,"City of East Lansing, Precinct 11",Registered Voters,,,,,,2464
Ingham,"City of East Lansing, Precinct 12",Registered Voters,,,,,,843
Ingham,"City of East Lansing, Precinct 13",Registered Voters,,,,,,1306
Ingham,"City of East Lansing, Precinct 14",Registered Voters,,,,,,505
Ingham,"City of East Lansing, Precinct 15",Registered Voters,,,,,,1100
Ingham,"City of East Lansing, Precinct 16",Registered Voters,,,,,,1058
Ingham,"City of East Lansing, Precinct 2",Registered Voters,,,,,,1406
Ingham,"City of East Lansing, Precinct 3",Registered Voters,,,,,,2076
Ingham,"City of East Lansing, Precinct 4",Registered Voters,,,,,,2310
Ingham,"City of East Lansing, Precinct 5",Registered Voters,,,,,,2562
Ingham,"City of East Lansing, Precinct 6",Registered Voters,,,,,,1250
Ingham,"City of East Lansing, Precinct 7",Registered Voters,,,,,,1659
Ingham,"City of East Lansing, Precinct 8",Registered Voters,,,,,,1040
Ingham,"City of East Lansing, Precinct 9",Registered Voters,,,,,,1945
Ingham,"City of Lansing, Ward 1, Precinct 1",Registered Voters,,,,,,3279
Ingham,"City of Lansing, Ward 1, Precinct 10",Registered Voters,,,,,,2079
Ingham,"City of Lansing, Ward 1, Precinct 2",Registered Voters,,,,,,2649
Ingham,"City of Lansing, Ward 1, Precinct 3",Registered Voters,,,,,,1494
Ingham,"City of Lansing, Ward 1, Precinct 4",Registered Voters,,,,,,2948
Ingham,"City of Lansing, Ward 1, Precinct 5",Registered Voters,,,,,,1736
Ingham,"City of Lansing, Ward 1, Precinct 6",Registered Voters,,,,,,1721
Ingham,"City of Lansing, Ward 1, Precinct 7",Registered Voters,,,,,,1429
Ingham,"City of Lansing, Ward 1, Precinct 8",Registered Voters,,,,,,2283
Ingham,"City of Lansing, Ward 1, Precinct 9",Registered Voters,,,,,,2288
Ingham,"City of Lansing, Ward 2, Precinct 11",Registered Voters,,,,,,2296
Ingham,"City of Lansing, Ward 2, Precinct 12",Registered Voters,,,,,,2388
Ingham,"City of Lansing, Ward 2, Precinct 13",Registered Voters,,,,,,2084
Ingham,"City of Lansing, Ward 2, Precinct 14",Registered Voters,,,,,,1508
Ingham,"City of Lansing, Ward 2, Precinct 15",Registered Voters,,,,,,1444
Ingham,"City of Lansing, Ward 2, Precinct 16",Registered Voters,,,,,,3024
Ingham,"City of Lansing, Ward 2, Precinct 17",Registered Voters,,,,,,2046
Ingham,"City of Lansing, Ward 2, Precinct 18",Registered Voters,,,,,,3081
Ingham,"City of Lansing, Ward 2, Precinct 19",Registered Voters,,,,,,2862
Ingham,"City of Lansing, Ward 2, Precinct 20",Registered Voters,,,,,,2289
Ingham,"City of Lansing, Ward 3, Precinct 23",Registered Voters,,,,,,1684
Ingham,"City of Lansing, Ward 3, Precinct 24",Registered Voters,,,,,,2226
Ingham,"City of Lansing, Ward 3, Precinct 25",Registered Voters,,,,,,2626
Ingham,"City of Lansing, Ward 3, Precinct 26",Registered Voters,,,,,,2034
Ingham,"City of Lansing, Ward 3, Precinct 27",Registered Voters,,,,,,2511
Ingham,"City of Lansing, Ward 3, Precinct 28",Registered Voters,,,,,,2398
Ingham,"City of Lansing, Ward 3, Precinct 29",Registered Voters,,,,,,2129
Ingham,"City of Lansing, Ward 3, Precinct 30",Registered Voters,,,,,,2328
Ingham,"City of Lansing, Ward 4, Precinct 31",Registered Voters,,,,,,1957
Ingham,"City of Lansing, Ward 4, Precinct 32",Registered Voters,,,,,,1761
Ingham,"City of Lansing, Ward 4, Precinct 33",Registered Voters,,,,,,1740
Ingham,"City of Lansing, Ward 4, Precinct 34",Registered Voters,,,,,,1411
Ingham,"City of Lansing, Ward 4, Precinct 35",Registered Voters,,,,,,3096
Ingham,"City of Lansing, Ward 4, Precinct 36",Registered Voters,,,,,,3591
Ingham,"City of Lansing, Ward 4, Precinct 37",Registered Voters,,,,,,2582
Ingham,"City of Lansing, Ward 4, Precinct 38",Registered Voters,,,,,,3045
Ingham,"City of Lansing, Ward 4, Precinct 39",Registered Voters,,,,,,1998
Ingham,"City of Lansing, Ward 4, Precinct 40",Registered Voters,,,,,,2284
Ingham,"City of Leslie, Precinct 1",Registered Voters,,,,,,1538
Ingham,"City of Mason, Precinct 1",Registered Voters,,,,,,1934
Ingham,"City of Mason, Precinct 2",Registered Voters,,,,,,2223
Ingham,"City of Mason, Precinct 3",Registered Voters,,,,,,2252
Ingham,"City of Williamston, Precinct 1",Registered Voters,,,,,,3094
Ingham,"Delhi Charter Township, Precinct 1",Registered Voters,,,,,,2913
Ingham,"Delhi Charter Township, Precinct 2",Registered Voters,,,,,,2268
Ingham,"Delhi Charter Township, Precinct 3",Registered Voters,,,,,,2854
Ingham,"Delhi Charter Township, Precinct 4",Registered Voters,,,,,,2290
Ingham,"Delhi Charter Township, Precinct 5",Registered Voters,,,,,,2967
Ingham,"Delhi Charter Township, Precinct 6",Registered Voters,,,,,,2231
Ingham,"Delhi Charter Township, Precinct 7",Registered Voters,,,,,,2235
Ingham,"Delhi Charter Township, Precinct 8",Registered Voters,,,,,,2474
Ingham,"Delhi Charter Township, Precinct 9",Registered Voters,,,,,,2364
