county,precinct,office,district,candidate,party,election_day,absentee,votes
Barry,"City of Hastings, Precinct 1H",Straight Party,,,DEM ,88,136,224
Barry,"City of Hastings, Precinct 2H",Straight Party,,,DEM ,101,71,172
Barry,"City of Hastings, Precinct 3H",Straight Party,,,DEM ,64,78,142
Barry,"City of Hastings, Precinct 4H",Straight Party,,,DEM ,90,118,208
Barry,"Assyria Township, Precinct 1",Straight Party,,,DEM ,164,0,164
Barry,"Baltimore Township, Precinct 1",Straight Party,,,DEM ,68,60,128
Barry,"Barry Township, Precinct 1",Straight Party,,,DEM ,165,106,271
Barry,"Carlton Township, Precinct 1",Straight Party,,,DEM ,198,0,198
Barry,"Castleton Township, Precinct 1",Straight Party,,,DEM ,209,0,209
Barry,"Hastings Township, Precinct 1",Straight Party,,,DEM ,100,127,227
Barry,"Hope Township, Precinct 1",Straight Party,,,DEM ,118,148,266
Barry,"Irving Township, Precinct 1",Straight Party,,,DEM ,106,138,244
Barry,"Johnstown Township, Precinct 1",Straight Party,,,DEM ,96,164,260
Barry,"Maple Grove Township, Precinct 1",Straight Party,,,DEM ,87,0,87
Barry,"Orangeville Township, Precinct 1",Straight Party,,,DEM ,144,186,330
Barry,"Prairieville Township, Precinct 1",Straight Party,,,DEM ,127,186,313
Barry,"Rutland Township, Precinct 1",Straight Party,,,DEM ,66,99,165
Barry,"Rutland Township, Precinct 2",Straight Party,,,DEM ,108,143,251
Barry,"Thornapple Township, Precinct 1",Straight Party,,,DEM ,67,126,193
Barry,"Thornapple Township, Precinct 2",Straight Party,,,DEM ,122,125,247
Barry,"Thornapple Township, Precinct 3",Straight Party,,,DEM ,132,104,236
Barry,"Woodland Township, Precinct 1",Straight Party,,,DEM ,173,0,173
Barry,"Yankee Springs Township, Precinct 1",Straight Party,,,DEM ,115,129,244
Barry,"Yankee Springs Township, Precinct 2",Straight Party,,,DEM ,102,125,227
Barry,"City of Hastings, Precinct 1H",Straight Party,,,REP,154,103,257
Barry,"City of Hastings, Precinct 2H",Straight Party,,,REP,183,37,220
Barry,"City of Hastings, Precinct 3H",Straight Party,,,REP,181,27,208
Barry,"City of Hastings, Precinct 4H",Straight Party,,,REP,173,61,234
Barry,"Assyria Township, Precinct 1",Straight Party,,,REP,432,0,432
Barry,"Baltimore Township, Precinct 1",Straight Party,,,REP,288,42,330
Barry,"Barry Township, Precinct 1",Straight Party,,,REP,432,99,531
Barry,"Carlton Township, Precinct 1",Straight Party,,,REP,423,0,423
Barry,"Castleton Township, Precinct 1",Straight Party,,,REP,509,0,509
Barry,"Hastings Township, Precinct 1",Straight Party,,,REP,416,142,558
Barry,"Hope Township, Precinct 1",Straight Party,,,REP,459,152,611
Barry,"Irving Township, Precinct 1",Straight Party,,,REP,554,193,747
Barry,"Johnstown Township, Precinct 1",Straight Party,,,REP,420,187,607
Barry,"Maple Grove Township, Precinct 1",Straight Party,,,REP,278,0,278
Barry,"Orangeville Township, Precinct 1",Straight Party,,,REP,435,212,647
Barry,"Prairieville Township, Precinct 1",Straight Party,,,REP,344,175,519
Barry,"Rutland Township, Precinct 1",Straight Party,,,REP,253,73,326
