county,precinct,office,district,party,candidate,absentee,election_day,votes
Kalamazoo,Oshtemo Twp. 2,Registered Voters,,,,,,2686
Kalamazoo,Oshtemo Twp. 3,Registered Voters,,,,,,1637
Kalamazoo,Oshtemo Twp. 4,Registered Voters,,,,,,1955
Kalamazoo,Oshtemo Twp. 5,Registered Voters,,,,,,2205
Kalamazoo,Oshtemo Twp. 6,Registered Voters,,,,,,1964
Kalamazoo,Oshtemo Twp. 7,Registered Voters,,,,,,1834
Kalamazoo,Oshtemo Twp. 8,Registered Voters,,,,,,1295
Kalamazoo,Oshtemo Twp. 9,Registered Voters,,,,,,2869
Kalamazoo,Oshtemo Twp. 10,Registered Voters,,,,,,904
Kalamazoo,Pavilion Twp. 1,Registered Voters,,,,,,2142
Kalamazoo,Pavilion Twp. 2,Registered Voters,,,,,,1159
Kalamazoo,Pavilion Twp. 3,Registered Voters,,,,,,1873
Kalamazoo,Prairie Ronde Twp. 1,Registered Voters,,,,,,1969
Kalamazoo,Richland Twp. 1,Registered Voters,,,,,,2620
Kalamazoo,Richland Twp. 2,Registered Voters,,,,,,1757
Kalamazoo,Richland Twp. 3,Registered Voters,,,,,,2655
Kalamazoo,Ross Twp. 1,Registered Voters,,,,,,2291
Kalamazoo,Ross Twp. 2,Registered Voters,,,,,,2184
Kalamazoo,Schoolcraft Twp. 1,Registered Voters,,,,,,1840
Kalamazoo,Schoolcraft Twp. 2,Registered Voters,,,,,,1186
Kalamazoo,Schoolcraft Twp. 3,Registered Voters,,,,,,3094
Kalamazoo,Schoolcraft Twp. 4,Registered Voters,,,,,,1325
Kalamazoo,Texas Twp. 1,Registered Voters,,,,,,2386
Kalamazoo,Texas Twp. 2,Registered Voters,,,,,,2121
Kalamazoo,Texas Twp. 3,Registered Voters,,,,,,2036
Kalamazoo,Texas Twp. 4,Registered Voters,,,,,,2905
Kalamazoo,Texas Twp. 5,Registered Voters,,,,,,2826
Kalamazoo,Texas Twp. 6,Registered Voters,,,,,,2609
Kalamazoo,Wakeshma Twp. 1,Registered Voters,,,,,,1014
Kalamazoo,Galesburg City 1,Registered Voters,,,,,,1569
Kalamazoo,Kalamazoo City 1,Registered Voters,,,,,,2019
Kalamazoo,Kalamazoo City 2,Registered Voters,,,,,,2830
Kalamazoo,Kalamazoo City 3,Registered Voters,,,,,,2206
