county,precinct,office,district,party,candidate,election_day,absentee,votes
Eaton,"Bellevue Township, Precinct 1",Registered Voters,,,,,,2344
Eaton,"Benton Charter Township, Precinct 1",Registered Voters,,,,,,2207
Eaton,"Brookfield Township, Precinct 1",Registered Voters,,,,,,1127
Eaton,"Carmel Township, Precinct 1",Registered Voters,,,,,,2183
Eaton,"Chester Township, Precinct 1",Registered Voters,,,,,,1265
Eaton,"Delta Charter Township, Precinct 1",Registered Voters,,,,,,1500
Eaton,"Delta Charter Township, Precinct 2",Registered Voters,,,,,,1465
Eaton,"Delta Charter Township, Precinct 3",Registered Voters,,,,,,977
Eaton,"Delta Charter Township, Precinct 4",Registered Voters,,,,,,1356
Eaton,"Delta Charter Township, Precinct 5",Registered Voters,,,,,,1871
Eaton,"Delta Charter Township, Precinct 6",Registered Voters,,,,,,1738
Eaton,"Delta Charter Township, Precinct 7",Registered Voters,,,,,,1826
Eaton,"Delta Charter Township, Precinct 8",Registered Voters,,,,,,1965
Eaton,"Delta Charter Township, Precinct 9",Registered Voters,,,,,,1571
Eaton,"Delta Charter Township, Precinct 10",Registered Voters,,,,,,1821
Eaton,"Delta Charter Township, Precinct 11",Registered Voters,,,,,,1451
Eaton,"Delta Charter Township, Precinct 12",Registered Voters,,,,,,1435
Eaton,"Delta Charter Township, Precinct 13",Registered Voters,,,,,,918
Eaton,"Delta Charter Township, Precinct 14",Registered Voters,,,,,,1136
Eaton,"Delta Charter Township, Precinct 15",Registered Voters,,,,,,1832
Eaton,"Delta Charter Township, Precinct 16",Registered Voters,,,,,,1910
Eaton,"Eaton Township, Precinct 1",Registered Voters,,,,,,1638
Eaton,"Eaton Township, Precinct 2",Registered Voters,,,,,,1497
Eaton,"Eaton Rapids Township, Precinct 1",Registered Voters,,,,,,1352
Eaton,"Eaton Rapids Township, Precinct 2",Registered Voters,,,,,,1793
Eaton,"Hamlin Township, Precinct 1",Registered Voters,,,,,,2476
Eaton,"Kalamo Township, Precinct 1",Registered Voters,,,,,,1292
Eaton,"Oneida Charter Township, Precinct 1",Registered Voters,,,,,,1991
Eaton,"Oneida Charter Township, Precinct 2",Registered Voters,,,,,,1067
Eaton,"Roxand Township, Precinct 1",Registered Voters,,,,,,1316
Eaton,"Sunfield Township, Precinct 1",Registered Voters,,,,,,1570
Eaton,"Vermontville Township, Precinct 1",Registered Voters,,,,,,1439
Eaton,"Walton Township, Precinct 1",Registered Voters,,,,,,1670
Eaton,"Windsor Charter Township, Precinct 1",Registered Voters,,,,,,2166
Eaton,"Windsor Charter Township, Precinct 2",Registered Voters,,,,,,1997
Eaton,"Windsor Charter Township, Precinct 3",Registered Voters,,,,,,1568
Eaton,"City of Charlotte, Dist 1, Precinct 1",Registered Voters,,,,,,1885
Eaton,"City of Charlotte, Dist 1, Precinct 2",Registered Voters,,,,,,1285
Eaton,"City of Charlotte, Dist. 2, Precinct 1",Registered Voters,,,,,,1567
Eaton,"City of Charlotte, Dist. 2, Precinct 2",Registered Voters,,,,,,1656
Eaton,"City of Eaton Rapids, Precinct 1",Registered Voters,,,,,,1201
Eaton,"City of Eaton Rapids, Precinct 2",Registered Voters,,,,,,1259
Eaton,"City of Eaton Rapids, Precinct 3",Registered Voters,,,,,,1250
Eaton,"City of Grand Ledge, Precinct 1",Registered Voters,,,,,,1756
Eaton,"City of Grand Ledge, Precinct 2",Registered Voters,,,,,,1829
Eaton,"City of Grand Ledge, Precinct 3",Registered Voters,,,,,,1210
Eaton,"City of Grand Ledge, Precinct 4",Registered Voters,,,,,,1015
Eaton,"City of Olivet, Precinct 1",Registered Voters,,,,,,649
Eaton,"City of Potterville, Precinct 1",Registered Voters,,,,,,1996
Eaton,"City of Lansing, Precinct 3-21",Registered Voters,,,,,,1051
Eaton,"City of Lansing, Precinct 3-22",Registered Voters,,,,,,1816
Eaton,"Bellevue Township, Precinct 1",Ballots Cast,,,,,,1455
Eaton,"Benton Charter Township, Precinct 1",Ballots Cast,,,,,,1567
Eaton,"Brookfield Township, Precinct 1",Ballots Cast,,,,,,693
Eaton,"Carmel Township, Precinct 1",Ballots Cast,,,,,,1523
Eaton,"Chester Township, Precinct 1",Ballots Cast,,,,,,898
Eaton,"Delta Charter Township, Precinct 1",Ballots Cast,,,,,,1170
Eaton,"Delta Charter Township, Precinct 2",Ballots Cast,,,,,,1192
