county,precinct,office,district,party,candidate,votes,election_day,absentee
Wayne,"Charter Township of Brownstown, Precinct 1",Registered Voters,,,,2360,,
Wayne,"Charter Township of Brownstown, Precinct 10",Registered Voters,,,,2438,,
Wayne,"Charter Township of Brownstown, Precinct 11",Registered Voters,,,,1608,,
Wayne,"Charter Township of Brownstown, Precinct 12",Registered Voters,,,,2149,,
Wayne,"Charter Township of Brownstown, Precinct 2",Registered Voters,,,,2468,,
Wayne,"Charter Township of Brownstown, Precinct 3",Registered Voters,,,,2559,,
Wayne,"Charter Township of Brownstown, Precinct 4",Registered Voters,,,,2663,,
Wayne,"Charter Township of Brownstown, Precinct 5",Registered Voters,,,,2185,,
Wayne,"Charter Township of Brownstown, Precinct 6",Registered Voters,,,,2378,,
Wayne,"Charter Township of Brownstown, Precinct 7",Registered Voters,,,,2012,,
Wayne,"Charter Township of Brownstown, Precinct 8",Registered Voters,,,,2139,,
Wayne,"Charter Township of Brownstown, Precinct 9",Registered Voters,,,,1846,,
Wayne,"Charter Township of Canton, Precinct 1",Registered Voters,,,,1715,,
Wayne,"Charter Township of Canton, Precinct 10",Registered Voters,,,,1845,,
Wayne,"Charter Township of Canton, Precinct 11",Registered Voters,,,,2179,,
Wayne,"Charter Township of Canton, Precinct 12",Registered Voters,,,,2053,,
Wayne,"Charter Township of Canton, Precinct 13",Registered Voters,,,,2445,,
Wayne,"Charter Township of Canton, Precinct 14",Registered Voters,,,,2183,,
Wayne,"Charter Township of Canton, Precinct 15",Registered Voters,,,,2633,,
Wayne,"Charter Township of Canton, Precinct 16",Registered Voters,,,,2614,,
Wayne,"Charter Township of Canton, Precinct 17",Registered Voters,,,,2366,,
Wayne,"Charter Township of Canton, Precinct 18",Registered Voters,,,,2646,,
Wayne,"Charter Township of Canton, Precinct 19",Registered Voters,,,,2615,,
Wayne,"Charter Township of Canton, Precinct 2",Registered Voters,,,,1609,,
Wayne,"Charter Township of Canton, Precinct 20",Registered Voters,,,,2535,,
Wayne,"Charter Township of Canton, Precinct 21",Registered Voters,,,,2425,,
Wayne,"Charter Township of Canton, Precinct 22",Registered Voters,,,,2521,,
Wayne,"Charter Township of Canton, Precinct 23",Registered Voters,,,,2291,,
Wayne,"Charter Township of Canton, Precinct 24",Registered Voters,,,,3102,,
Wayne,"Charter Township of Canton, Precinct 25",Registered Voters,,,,2862,,
Wayne,"Charter Township of Canton, Precinct 26",Registered Voters,,,,1764,,
Wayne,"Charter Township of Canton, Precinct 27",Registered Voters,,,,2834,,
Wayne,"Charter Township of Canton, Precinct 28",Registered Voters,,,,2850,,
Wayne,"Charter Township of Canton, Precinct 29",Registered Voters,,,,2970,,
Wayne,"Charter Township of Canton, Precinct 3",Registered Voters,,,,2677,,
Wayne,"Charter Township of Canton, Precinct 30",Registered Voters,,,,2959,,
Wayne,"Charter Township of Canton, Precinct 31",Registered Voters,,,,1977,,
Wayne,"Charter Township of Canton, Precinct 32",Registered Voters,,,,2548,,
Wayne,"Charter Township of Canton, Precinct 33",Registered Voters,,,,2364,,
Wayne,"Charter Township of Canton, Precinct 4",Registered Voters,,,,1846,,
Wayne,"Charter Township of Canton, Precinct 5",Registered Voters,,,,1706,,
Wayne,"Charter Township of Canton, Precinct 6",Registered Voters,,,,1943,,
Wayne,"Charter Township of Canton, Precinct 7",Registered Voters,,,,2101,,
Wayne,"Charter Township of Canton, Precinct 8",Registered Voters,,,,2162,,
Wayne,"Charter Township of Canton, Precinct 9",Registered Voters,,,,2208,,
Wayne,"Charter Township of Huron, Precinct 1",Registered Voters,,,,2551,,
Wayne,"Charter Township of Huron, Precinct 2",Registered Voters,,,,2847,,
Wayne,"Charter Township of Huron, Precinct 3",Registered Voters,,,,2579,,
Wayne,"Charter Township of Huron, Precinct 4",Registered Voters,,,,2258,,
Wayne,"Charter Township of Huron, Precinct 5",Registered Voters,,,,2529,,
Wayne,"Charter Township of Huron, Precinct 6",Registered Voters,,,,1187,,
Wayne,"Charter Township of Northville, Precinct 1",Registered Voters,,,,1339,,
Wayne,"Charter Township of Northville, Precinct 10",Registered Voters,,,,1199,,
Wayne,"Charter Township of Northville, Precinct 11",Registered Voters,,,,2669,,
Wayne,"Charter Township of Northville, Precinct 12",Registered Voters,,,,2376,,
Wayne,"Charter Township of Northville, Precinct 2",Registered Voters,,,,1917,,
Wayne,"Charter Township of Northville, Precinct 3",Registered Voters,,,,2268,,
Wayne,"Charter Township of Northville, Precinct 4",Registered Voters,,,,2514,,
Wayne,"Charter Township of Northville, Precinct 5",Registered Voters,,,,2020,,
Wayne,"Charter Township of Northville, Precinct 6",Registered Voters,,,,2524,,
Wayne,"Charter Township of Northville, Precinct 7",Registered Voters,,,,2473,,
Wayne,"Charter Township of Northville, Precinct 8",Registered Voters,,,,2521,,
Wayne,"Charter Township of Northville, Precinct 9",Registered Voters,,,,2313,,
Wayne,"Charter Township of Plymouth, Precinct 1",Registered Voters,,,,2029,,
Wayne,"Charter Township of Plymouth, Precinct 10",Registered Voters,,,,2530,,
Wayne,"Charter Township of Plymouth, Precinct 11",Registered Voters,,,,2377,,
Wayne,"Charter Township of Plymouth, Precinct 12",Registered Voters,,,,1869,,
Wayne,"Charter Township of Plymouth, Precinct 2",Registered Voters,,,,1526,,
Wayne,"Charter Township of Plymouth, Precinct 3",Registered Voters,,,,2217,,
Wayne,"Charter Township of Plymouth, Precinct 4",Registered Voters,,,,1738,,
Wayne,"Charter Township of Plymouth, Precinct 5",Registered Voters,,,,1758,,
Wayne,"Charter Township of Plymouth, Precinct 6",Registered Voters,,,,2127,,
Wayne,"Charter Township of Plymouth, Precinct 7",Registered Voters,,,,2152,,
Wayne,"Charter Township of Plymouth, Precinct 8",Registered Voters,,,,1952,,
Wayne,"Charter Township of Plymouth, Precinct 9",Registered Voters,,,,2101,,
Wayne,"Charter Township of Redford, Precinct 1",Registered Voters,,,,1693,,
Wayne,"Charter Township of Redford, Precinct 10",Registered Voters,,,,1702,,
Wayne,"Charter Township of Redford, Precinct 11",Registered Voters,,,,1974,,
Wayne,"Charter Township of Redford, Precinct 12",Registered Voters,,,,2361,,
Wayne,"Charter Township of Redford, Precinct 13",Registered Voters,,,,1921,,
Wayne,"Charter Township of Redford, Precinct 14",Registered Voters,,,,1875,,
Wayne,"Charter Township of Redford, Precinct 15",Registered Voters,,,,1531,,
Wayne,"Charter Township of Redford, Precinct 16",Registered Voters,,,,2562,,
Wayne,"Charter Township of Redford, Precinct 17",Registered Voters,,,,2843,,
Wayne,"Charter Township of Redford, Precinct 18",Registered Voters,,,,2273,,
Wayne,"Charter Township of Redford, Precinct 19",Registered Voters,,,,2268,,
Wayne,"Charter Township of Redford, Precinct 2",Registered Voters,,,,1569,,
Wayne,"Charter Township of Redford, Precinct 20",Registered Voters,,,,2693,,
Wayne,"Charter Township of Redford, Precinct 3",Registered Voters,,,,2237,,
Wayne,"Charter Township of Redford, Precinct 4",Registered Voters,,,,538,,
Wayne,"Charter Township of Redford, Precinct 5",Registered Voters,,,,1807,,
Wayne,"Charter Township of Redford, Precinct 6",Registered Voters,,,,1627,,
Wayne,"Charter Township of Redford, Precinct 7",Registered Voters,,,,2693,,
Wayne,"Charter Township of Redford, Precinct 8",Registered Voters,,,,3049,,
Wayne,"Charter Township of Redford, Precinct 9",Registered Voters,,,,1910,,
Wayne,"Charter Township of Van Buren, Precinct 1",Registered Voters,,,,2286,,
Wayne,"Charter Township of Van Buren, Precinct 10",Registered Voters,,,,2448,,
Wayne,"Charter Township of Van Buren, Precinct 2",Registered Voters,,,,2591,,
Wayne,"Charter Township of Van Buren, Precinct 3",Registered Voters,,,,2651,,
Wayne,"Charter Township of Van Buren, Precinct 4",Registered Voters,,,,2633,,
Wayne,"Charter Township of Van Buren, Precinct 5",Registered Voters,,,,2529,,
