county,precinct,office,district,candidate,party,votes
Montcalm,Belvidere Township Precinct 1,Registered Voters,,,,1898
Montcalm,Belvidere Township Precinct 1,Ballots Cast,,,,1040
Montcalm,Belvidere Township Precinct 1,Straight Party,,Democratic Party,DEM,175
Montcalm,Belvidere Township Precinct 1,Straight Party,,Republican Party,REP,410
Montcalm,Belvidere Township Precinct 1,Straight Party,,Libertarian Party,LIB,6
Montcalm,Belvidere Township Precinct 1,Straight Party,,U.S. Taxpayers Party,UST,0
Montcalm,Belvidere Township Precinct 1,Straight Party,,Working Class Party,WCP,5
Montcalm,Belvidere Township Precinct 1,Straight Party,,Green Party,GRN,1
Montcalm,Belvidere Township Precinct 1,Straight Party,,Natural Law Party,NLP,0
Montcalm,Belvidere Township Precinct 1,Straight Party,,Under Votes,,443
Montcalm,Belvidere Township Precinct 1,Straight Party,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Governor,,Gretchen Whitmer,DEM,376
Montcalm,Belvidere Township Precinct 1,Governor,,Tudor M. Dixon,REP,642
Montcalm,Belvidere Township Precinct 1,Governor,,Mary Buzuma,LIB,11
Montcalm,Belvidere Township Precinct 1,Governor,,Donna Brandenburg,UST,2
Montcalm,Belvidere Township Precinct 1,Governor,,Kevin Hogan,GRN,3
Montcalm,Belvidere Township Precinct 1,Governor,,Daryl M. Simpson,NLP,1
Montcalm,Belvidere Township Precinct 1,Governor,,Bob Scott (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Elizabeth Add Adkisson (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Ervin Joseph Lamie (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Eugene Rosell Hunt Jr. (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Evan S. Space (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Joseph Irving (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Joseph Michael Hunt (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Joyce Priscilla Gipson (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Justin Paul Blackburn (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Michael David Kelley (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Michael Ray Deck (W),,0
Montcalm,Belvidere Township Precinct 1,Governor,,Under Votes,,3
Montcalm,Belvidere Township Precinct 1,Governor,,Over Votes,,2
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Jocelyn Benson,DEM,394
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Kristina Elaine Karamo,REP,605
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Gregory Scott Stempfle,LIB,10
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Christine C. Schwartz,UST,9
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Larry James Hutchinson Jr.,GRN,6
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Under Votes,,15
Montcalm,Belvidere Township Precinct 1,Secretary of State,,Over Votes,,1
Montcalm,Belvidere Township Precinct 1,Attorney General,,Dana Nessel,DEM,352
Montcalm,Belvidere Township Precinct 1,Attorney General,,Matthew DePerno,REP,633
Montcalm,Belvidere Township Precinct 1,Attorney General,,Joseph W. McHugh Jr.,LIB,16
Montcalm,Belvidere Township Precinct 1,Attorney General,,Gerald T. Van Sickle,UST,16
Montcalm,Belvidere Township Precinct 1,Attorney General,,Under Votes,,22
Montcalm,Belvidere Township Precinct 1,Attorney General,,Over Votes,,1
Montcalm,Belvidere Township Precinct 1,U.S. House,2,Jerry Hilliard,DEM,296
Montcalm,Belvidere Township Precinct 1,U.S. House,2,John Moolenaar,REP,697
Montcalm,Belvidere Township Precinct 1,U.S. House,2,Nathan Hewer,LIB,16
Montcalm,Belvidere Township Precinct 1,U.S. House,2,Under Votes,,30
Montcalm,Belvidere Township Precinct 1,U.S. House,2,Over Votes,,1
Montcalm,Belvidere Township Precinct 1,State Senate,33,Mark Bignell,DEM,270
Montcalm,Belvidere Township Precinct 1,State Senate,33,Rick Outman,REP,740
Montcalm,Belvidere Township Precinct 1,State Senate,33,Jay Gillotte,LIB,15
Montcalm,Belvidere Township Precinct 1,State Senate,33,Under Votes,,14
Montcalm,Belvidere Township Precinct 1,State Senate,33,Over Votes,,1
Montcalm,Belvidere Township Precinct 1,State House,91,Tammy L. DeVries,DEM,283
Montcalm,Belvidere Township Precinct 1,State House,91,Pat Outman,REP,729
Montcalm,Belvidere Township Precinct 1,State House,91,Under Votes,,27
Montcalm,Belvidere Township Precinct 1,State House,91,Over Votes,,1
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Pamela Pugh,DEM,281
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Mitchell Robinson,DEM,278
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Tamara D. Carlone,REP,618
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Linda Lee Tarver,REP,603
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Donna Gundle-Krieg,LIB,20
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Bill Hall,LIB,27
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Ethan Hobson,UST,14
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Mary Anne Hering,WCP,49
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Under Votes,,190
Montcalm,Belvidere Township Precinct 1,Member of the State Board of Education,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Mike Behm,DEM,260
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Kathy White,DEM,302
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Lena Epstein,REP,623
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Sevag Vartanian,REP,559
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Eric Larson,LIB,29
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Joe Sanger,UST,19
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Sherry A. Wells,GRN,14
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Kathleen Oakford,NLP,23
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Under Votes,,249
Montcalm,Belvidere Township Precinct 1,Regent of the University of Michigan,,Over Votes,,1
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Dennis Denno,DEM,266
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Renee Knake Jefferson,DEM,291
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Mike Balow,REP,616
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Travis Menge,REP,600
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Claranna Gelineau,LIB,21
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Max Riekse,LIB,20
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Robin Lea Laurain,GRN,19
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Under Votes,,247
Montcalm,Belvidere Township Precinct 1,Trustee of Michigan State University,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Danielle Atkinson,DEM,279
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Marilyn Kelly,DEM,275
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Christa Murphy,REP,615
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Craig Wilsher,REP,583
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Bruce Jaquays,LIB,26
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Marc Joseph Sosnowski,UST,18
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Susan Odgers,GRN,19
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Paul Joseph Foust (W),,0
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Under Votes,,261
Montcalm,Belvidere Township Precinct 1,Governor of Wayne State University,,Over Votes,,2
Montcalm,Belvidere Township Precinct 1,County Road Commissioner,,Bob Brundage,REP,772
Montcalm,Belvidere Township Precinct 1,County Road Commissioner,,Under Votes,,268
Montcalm,Belvidere Township Precinct 1,County Road Commissioner,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,County Commissioner 7th District,,Phil Kohn,REP,762
Montcalm,Belvidere Township Precinct 1,County Commissioner 7th District,,Under Votes,,278
Montcalm,Belvidere Township Precinct 1,County Commissioner 7th District,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Trustee Partial Term Ending 11/20/2024,,Tarin Minkel,REP,776
Montcalm,Belvidere Township Precinct 1,Trustee Partial Term Ending 11/20/2024,,Under Votes,,264
Montcalm,Belvidere Township Precinct 1,Trustee Partial Term Ending 11/20/2024,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Richard Bernstein,,493
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Kyra Harris Bolden,,222
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Paul Hudson,,239
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Kerry Lee Morgan,,108
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Brian Zahra,,320
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Under Votes,,698
Montcalm,Belvidere Township Precinct 1,Justice of the Supreme Court,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term - Vote for,,James Robert Redford,,622
Montcalm,Belvidere Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term - Vote for,,Under Votes,,418
Montcalm,Belvidere Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position 6 Year Term - Vote for,,Over Votes,,0
Montcalm,Belvidere Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending,,Christopher Yates,,612
Montcalm,Belvidere Township Precinct 1,Judge of Court of Appeals 3rd District Incumbent Position Partial Term Ending,,Under Votes,,428
