county,precinct,office,district,party,candidate,election_day,absentee,votes
Clare,"Arthur Township, Precinct 1",Straight Party,,DEM,,,,20
Clare,"City of Clare, Precinct 1",Straight Party,,DEM,,118,138,256
Clare,"City of Harrison, Precinct 1",Straight Party,,DEM,,,,138
Clare,"Franklin Township, Precinct 1",Straight Party,,DEM,,,,69
Clare,"Freeman Township, Precinct 1",Straight Party,,DEM,,,,120
Clare,"Frost Township, Precinct 1",Straight Party,,DEM,,,,88
Clare,"Garfield Township, Precinct 1",Straight Party,,DEM,,,,181
Clare,"Grant Township, Precinct 1",Straight Party,,DEM,,,,248
Clare,"Greenwood Township, Precinct 1",Straight Party,,DEM,,,,62
Clare,"Hamilton Township, Precinct 1",Straight Party,,DEM,,,,151
Clare,"Hatton Township, Precinct 1",Straight Party,,DEM,,,,48
Clare,"Hayes Township, Precinct 1",Straight Party,,DEM,,,,150
Clare,"Hayes Township, Precinct 2",Straight Party,,DEM,,,,184
Clare,"Lincoln Township, Precinct 1",Straight Party,,DEM,,61,123,184
Clare,"Redding Township, Precinct 1",Straight Party,,DEM,,,,28
Clare,"Sheridan Township, Precinct 1",Straight Party,,DEM,,,,62
Clare,"Summerfield Township, Precinct 1",Straight Party,,DEM,,,,35
Clare,"Surrey Township, Precinct 1",Straight Party,,DEM,,,,279
Clare,"Winterfield Township, Precinct 1",Straight Party,,DEM,,,,39
Clare,"Arthur Township, Precinct 1",Straight Party,,REP,,,,132
Clare,"City of Clare, Precinct 1",Straight Party,,REP,,245,96,341
Clare,"City of Harrison, Precinct 1",Straight Party,,REP,,,,268
Clare,"Franklin Township, Precinct 1",Straight Party,,REP,,,,150
Clare,"Freeman Township, Precinct 1",Straight Party,,REP,,,,252
Clare,"Frost Township, Precinct 1",Straight Party,,REP,,,,217
Clare,"Garfield Township, Precinct 1",Straight Party,,REP,,,,339
Clare,"Grant Township, Precinct 1",Straight Party,,REP,,,,522
Clare,"Greenwood Township, Precinct 1",Straight Party,,REP,,,,249
Clare,"Hamilton Township, Precinct 1",Straight Party,,REP,,,,343
Clare,"Hatton Township, Precinct 1",Straight Party,,REP,,,,170
Clare,"Hayes Township, Precinct 1",Straight Party,,REP,,,,353
Clare,"Hayes Township, Precinct 2",Straight Party,,REP,,,,342
Clare,"Lincoln Township, Precinct 1",Straight Party,,REP,,248,83,331
Clare,"Redding Township, Precinct 1",Straight Party,,REP,,,,82
Clare,"Sheridan Township, Precinct 1",Straight Party,,REP,,,,211
Clare,"Summerfield Township, Precinct 1",Straight Party,,REP,,,,95
Clare,"Surrey Township, Precinct 1",Straight Party,,REP,,,,535
Clare,"Winterfield Township, Precinct 1",Straight Party,,REP,,,,113
Clare,"Arthur Township, Precinct 1",Straight Party,,LIB,,,,2
Clare,"City of Clare, Precinct 1",Straight Party,,LIB,,9,2,11
Clare,"City of Harrison, Precinct 1",Straight Party,,LIB,,,,0
