county,precinct,office,candidate,district,party,votes
Montcalm,"Belvidere Township, Precinct 1",Registered Voters,,,,1764
Montcalm,"Belvidere Township, Precinct 1",Ballots Cast,,,,1224
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,DEM,183
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,REP,510
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,LIB,7
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,UST,1
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,WCP,10
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,GRN,2
Montcalm,"Belvidere Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Belvidere Township, Precinct 1",Straight Party,Undervotes,,,508
Montcalm,"Belvidere Township, Precinct 1",Straight Party,Overvotes,,,3
Montcalm,"Belvidere Township, Precinct 1",President,Joseph R Biden,,DEM,368
Montcalm,"Belvidere Township, Precinct 1",President,Donald J Trump,,REP,826
Montcalm,"Belvidere Township, Precinct 1",President,Jo Jorgensen,,LIB,19
Montcalm,"Belvidere Township, Precinct 1",President,Don Blankenship,,UST,3
Montcalm,"Belvidere Township, Precinct 1",President,Howie Hawkins,,GRN,4
Montcalm,"Belvidere Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Belvidere Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Belvidere Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Belvidere Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Belvidere Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Belvidere Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Belvidere Township, Precinct 1",President,Undervotes,,,4
Montcalm,"Belvidere Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,366
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,John James,,REP,792
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,25
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,8
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,6
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Undervotes,,,26
Montcalm,"Belvidere Township, Precinct 1",U.S. Senate,Overvotes,,,1
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,325
Montcalm,"Belvidere Township, Precinct 1",U.S. House,John Moolenaar,4,REP,813
Montcalm,"Belvidere Township, Precinct 1",U.S. House,David Canny,4,LIB,21
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,24
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Undervotes,4,,40
Montcalm,"Belvidere Township, Precinct 1",U.S. House,Overvotes,4,,1
Montcalm,"Belvidere Township, Precinct 1",State House,Karen Garvey,70,DEM,359
Montcalm,"Belvidere Township, Precinct 1",State House,Pat Outman,70,REP,827
Montcalm,"Belvidere Township, Precinct 1",State House,Undervotes,70,,38
Montcalm,"Belvidere Township, Precinct 1",State House,Overvotes,70,,0
Montcalm,"Bloomer Township, Precinct 1",Registered Voters,,,,941
Montcalm,"Bloomer Township, Precinct 1",Ballots Cast,,,,647
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,DEM,80
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,REP,326
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,LIB,5
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,UST,0
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,WCP,0
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,GRN,1
Montcalm,"Bloomer Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Bloomer Township, Precinct 1",Straight Party,Undervotes,,,235
Montcalm,"Bloomer Township, Precinct 1",Straight Party,Overvotes,,,0
Montcalm,"Bloomer Township, Precinct 1",President,Joseph R Biden,,DEM,145
Montcalm,"Bloomer Township, Precinct 1",President,Donald J Trump,,REP,486
Montcalm,"Bloomer Township, Precinct 1",President,Jo Jorgensen,,LIB,8
Montcalm,"Bloomer Township, Precinct 1",President,Don Blankenship,,UST,0
