county,precinct,office,district,party,candidates,votes
Gladwin,"City of Beaverton, Precinct 1",Ballots Cast,,,,153
Gladwin,"City of Gladwin, Precinct 1",Ballots Cast,,,,276
Gladwin,"City of Gladwin, Precinct 2",Ballots Cast,,,,289
Gladwin,"Beaverton Township, Precinct 1",Ballots Cast,,,,287
Gladwin,"Bentley Township, Precinct 1",Ballots Cast,,,,145
Gladwin,"Billings Township, Precinct 1",Ballots Cast,,,,480
Gladwin,"Bourret Township, Precinct 1",Ballots Cast,,,,102
Gladwin,"Buckeye Township, Precinct 1",Ballots Cast,,,,209
Gladwin,"Butman Township, Precinct 1",Ballots Cast,,,,702
Gladwin,"Clement Township, Precinct 1",Ballots Cast,,,,194
Gladwin,"Gladwin Township, Precinct 1",Ballots Cast,,,,207
Gladwin,"Grim Township, Precinct 1",Ballots Cast,,,,30
Gladwin,"Grout Township, Precinct 1",Ballots Cast,,,,369
Gladwin,"Hay Township, Precinct 1",Ballots Cast,,,,211
Gladwin,"Sage Township, Precinct 1",Ballots Cast,,,,559
Gladwin,"Secord Township, Precinct 1",Ballots Cast,,,,262
Gladwin,"Sherman Township, Precinct 1",Ballots Cast,,,,228
Gladwin,"Tobacco Township, Precinct 1",Ballots Cast,,,,497
Gladwin,"City of Beaverton, Precinct 1",President,,DEM,Michael Bennet,1
Gladwin,"City of Gladwin, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"City of Gladwin, Precinct 2",President,,DEM,Michael Bennet,0
Gladwin,"Beaverton Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Bentley Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Billings Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Bourret Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Buckeye Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Butman Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Clement Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Gladwin Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Grim Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Grout Township, Precinct 1",President,,DEM,Michael Bennet,1
Gladwin,"Hay Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Sage Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Secord Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Sherman Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"Tobacco Township, Precinct 1",President,,DEM,Michael Bennet,0
Gladwin,"City of Beaverton, Precinct 1",President,,DEM,Joe Biden,47
Gladwin,"City of Gladwin, Precinct 1",President,,DEM,Joe Biden,74
Gladwin,"City of Gladwin, Precinct 2",President,,DEM,Joe Biden,86
Gladwin,"Beaverton Township, Precinct 1",President,,DEM,Joe Biden,63
Gladwin,"Bentley Township, Precinct 1",President,,DEM,Joe Biden,53
Gladwin,"Billings Township, Precinct 1",President,,DEM,Joe Biden,162
Gladwin,"Bourret Township, Precinct 1",President,,DEM,Joe Biden,29
Gladwin,"Buckeye Township, Precinct 1",President,,DEM,Joe Biden,46
Gladwin,"Butman Township, Precinct 1",President,,DEM,Joe Biden,228
Gladwin,"Clement Township, Precinct 1",President,,DEM,Joe Biden,55
Gladwin,"Gladwin Township, Precinct 1",President,,DEM,Joe Biden,39
Gladwin,"Grim Township, Precinct 1",President,,DEM,Joe Biden,12
Gladwin,"Grout Township, Precinct 1",President,,DEM,Joe Biden,83
Gladwin,"Hay Township, Precinct 1",President,,DEM,Joe Biden,79
Gladwin,"Sage Township, Precinct 1",President,,DEM,Joe Biden,130
Gladwin,"Secord Township, Precinct 1",President,,DEM,Joe Biden,98
Gladwin,"Sherman Township, Precinct 1",President,,DEM,Joe Biden,62
Gladwin,"Tobacco Township, Precinct 1",President,,DEM,Joe Biden,145
