county,precinct,office,candidate,district,party,votes
Presque Isle,"Allis Township, Precinct 1",Registered Voters,,,,851
Presque Isle,"Allis Township, Precinct 1",Ballots Cast,,,,588
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,DEM,60
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,REP,199
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,LIB,2
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,UST,1
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,WCP,2
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"Allis Township, Precinct 1",Straight Party,,,NLP,0
Presque Isle,"Allis Township, Precinct 1",President,Joseph R Biden,,DEM,179
Presque Isle,"Allis Township, Precinct 1",President,Donald J Trump,,REP,396
Presque Isle,"Allis Township, Precinct 1",President,Jo Jorgensen,,LIB,7
Presque Isle,"Allis Township, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"Allis Township, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"Allis Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"Allis Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,193
Presque Isle,"Allis Township, Precinct 1",U.S. Senate,John James,,REP,375
Presque Isle,"Allis Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,4
Presque Isle,"Allis Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,1
Presque Isle,"Allis Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,2
Presque Isle,"Allis Township, Precinct 1",U.S. House,Dana Ferguson,1,DEM,156
Presque Isle,"Allis Township, Precinct 1",U.S. House,Jack Bergman,1,REP,411
Presque Isle,"Allis Township, Precinct 1",U.S. House,Ben Boren,1,LIB,4
Presque Isle,"Allis Township, Precinct 1",State House,LeeAnn Johnson,106,DEM,176
Presque Isle,"Allis Township, Precinct 1",State House,Sue Allor,106,REP,386
Presque Isle,"Bearinger Township, Precinct 1",Registered Voters,,,,400
Presque Isle,"Bearinger Township, Precinct 1",Ballots Cast,,,,305
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,DEM,51
Presque Isle,"Bearinger Township, Precinct 1",Straight Party,,,REP,116
