county,precinct,office,district,candidate,party,absentee,election_day,votes
Muskegon,Blue Lake Township,Ballots Cast,,,,,,1414
Muskegon,Blue Lake Township,Registered Voters,,,,,,2059
Muskegon,Blue Lake Township,Straight Party,,Democratic Party,DEM,,,307
Muskegon,Blue Lake Township,Straight Party,,Republican Party,REP,,,448
Muskegon,Blue Lake Township,Straight Party,,Libertarian Party,LIB,,,3
Muskegon,Blue Lake Township,Straight Party,,US Taxpayers Party,UST,,,1
Muskegon,Blue Lake Township,Straight Party,,Working Class Party,WCP,,,1
Muskegon,Blue Lake Township,Straight Party,,Green Party,GRN,,,1
Muskegon,Blue Lake Township,Straight Party,,Natural Law Party,NLP,,,0
Muskegon,Blue Lake Township,Straight Party,,Over Votes,,,,0
Muskegon,Blue Lake Township,President,,Joseph R. Biden,DEM,,,527
Muskegon,Blue Lake Township,President,,Donald J. Trump,REP,,,863
Muskegon,Blue Lake Township,President,,Jo Jorgensen,LIB,,,15
Muskegon,Blue Lake Township,President,,Don Blankenship,UST,,,1
Muskegon,Blue Lake Township,President,,Howie Hawkins,GRN,,,2
Muskegon,Blue Lake Township,President,,Rocky De La Fuente,NLP,,,0
Muskegon,Blue Lake Township,President,,Brian T. Carrol (W),,,,0
Muskegon,Blue Lake Township,President,,Jade Simmons (W),,,,0
Muskegon,Blue Lake Township,President,,Kasey Wells (W),,,,0
Muskegon,Blue Lake Township,President,,Tara Renee Hunter (W),,,,0
Muskegon,Blue Lake Township,President,,Tom Hoefling (W),,,,0
Muskegon,Blue Lake Township,President,,Over Votes,,,,0
Muskegon,Blue Lake Township,U.S. Senate,,Gary Peters,DEM,,,522
Muskegon,Blue Lake Township,U.S. Senate,,John James,REP,,,842
Muskegon,Blue Lake Township,U.S. Senate,,Valerie L. Willis,UST,,,15
Muskegon,Blue Lake Township,U.S. Senate,,Marcia Squier,GRN,,,10
Muskegon,Blue Lake Township,U.S. Senate,,Doug Dern,NLP,,,2
Muskegon,Blue Lake Township,U.S. Senate,,Leonard Paul Gadzinski (W),,,,0
Muskegon,Blue Lake Township,U.S. Senate,,Rober william Carr (W),,,,0
Muskegon,Blue Lake Township,U.S. Senate,,Over Votes,,,,0
Muskegon,Blue Lake Township,U.S. House,2,Bryan Berghoef,DEM,,,474
Muskegon,Blue Lake Township,U.S. House,2,Bill Huizenga,REP,,,866
Muskegon,Blue Lake Township,U.S. House,2,Max Riekse,LIB,,,15
Muskegon,Blue Lake Township,U.S. House,2,Gerald T. VanSickle,UST,,,16
Muskegon,Blue Lake Township,U.S. House,2,Jean-Michel Creviere,GRN,,,8
Muskegon,Blue Lake Township,U.S. House,2,Over Votes,,,,3
Muskegon,Blue Lake Township,State House,91,Brian Hosticka,DEM,,,554
Muskegon,Blue Lake Township,State House,91,Greg VanWoerkom,REP,,,810
Muskegon,Blue Lake Township,State House,91,Over Votes,,,,0
Muskegon,Casnovia Township,Ballots Cast,,,,,,1534
Muskegon,Casnovia Township,Registered Voters,,,,,,2071
Muskegon,Casnovia Township,Straight Party,,Democratic Party,DEM,,,204
Muskegon,Casnovia Township,Straight Party,,Republican Party,REP,,,747
Muskegon,Casnovia Township,Straight Party,,Libertarian Party,LIB,,,8
Muskegon,Casnovia Township,Straight Party,,US Taxpayers Party,UST,,,2
Muskegon,Casnovia Township,Straight Party,,Working Class Party,WCP,,,1
Muskegon,Casnovia Township,Straight Party,,Green Party,GRN,,,0
Muskegon,Casnovia Township,Straight Party,,Natural Law Party,NLP,,,1
Muskegon,Casnovia Township,Straight Party,,Over Votes,,,,1
Muskegon,Casnovia Township,President,,Joseph R. Biden,DEM,,,387
Muskegon,Casnovia Township,President,,Donald J. Trump,REP,,,1119
