county,precinct,office,district,candidate,party,election_day,absentee,votes
Benzie,Almira,Ballots Cast,,,,991,1556,2547
Benzie,Almira,President,,Joseph R. Biden/Kamala D. Harris,D,208,856,1064
Benzie,Almira,President,,Donald J. Trump/Michael R. Pense,R,761,666,1427
Benzie,Almira,President,,Jo Jorgensen/Jeremy Cohen,L,14,18,32
Benzie,Almira,President,,Don Blankenship/William Mohr,UST,0,0,0
Benzie,Almira,President,,Howie Hawkins/Angela Walker,GRN,4,2,6
Benzie,Almira,President,,Rocky DeLaFuente/Darcy Richardson,NLP,1,2,3
Benzie,Almira,U.S. Senate,,Gary Peters,D,204,826,1030
Benzie,Almira,U.S. Senate,,John James,R,768,685,1453
Benzie,Almira,U.S. Senate,,Valerie L. Willis,UST,3,10,13
Benzie,Almira,U.S. Senate,,Marcia Squier,GRN,4,11,15
Benzie,Almira,U.S. Senate,,Doug Dern,NLP,2,1,3
Benzie,Almira,U.S. House,1,Dana Ferguson,D,186,772,958
Benzie,Almira,U.S. House,1,Jack Bergman,R,773,738,1511
Benzie,Almira,U.S. House,1,Ben Boren,L,15,18,33
Benzie,Almira,State House,101,Beth McGill-Rizer,D,168,736,904
Benzie,Almira,State House,101,Jack O'Malley,R,809,785,1594
Benzie,Benzonia,Ballots Cast,,,,632,1289,1921
Benzie,Benzonia,President,,Joseph R. Biden/Kamala D. Harris,D,159,775,934
Benzie,Benzonia,President,,Donald J. Trump/Michael R. Pense,R,460,492,952
Benzie,Benzonia,President,,Jo Jorgensen/Jeremy Cohen,L,6,8,14
Benzie,Benzonia,President,,Don Blankenship/William Mohr,UST,1,1,2
Benzie,Benzonia,President,,Howie Hawkins/Angela Walker,GRN,0,1,1
Benzie,Benzonia,President,,Rocky DeLaFuente/Darcy Richardson,NLP,0,1,1
Benzie,Benzonia,U.S. Senate,,Gary Peters,D,163,747,910
Benzie,Benzonia,U.S. Senate,,John James,R,450,515,965
Benzie,Benzonia,U.S. Senate,,Valerie L. Willis,UST,1,9,10
Benzie,Benzonia,U.S. Senate,,Marcia Squier,GRN,3,2,5
Benzie,Benzonia,U.S. Senate,,Doug Dern,NLP,2,0,2
Benzie,Benzonia,U.S. House,1,Dana Ferguson,D,144,695,839
Benzie,Benzonia,U.S. House,1,Jack Bergman,R,463,554,1017
Benzie,Benzonia,U.S. House,1,Ben Boren,L,10,12,22
Benzie,Benzonia,State House,101,Beth McGill-Rizer,D,138,671,809
Benzie,Benzonia,State House,101,Jack O'Malley,R,484,587,1071
Benzie,Blaine,Ballots Cast,,,,,,408
Benzie,Blaine,President,,Joseph R. Biden/Kamala D. Harris,D,,,197
Benzie,Blaine,President,,Donald J. Trump/Michael R. Pense,R,,,201
Benzie,Blaine,President,,Jo Jorgensen/Jeremy Cohen,L,,,4
Benzie,Blaine,President,,Don Blankenship/William Mohr,UST,,,0
Benzie,Blaine,President,,Howie Hawkins/Angela Walker,GRN,,,0
Benzie,Blaine,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,1
Benzie,Blaine,U.S. Senate,,Gary Peters,D,,,201
Benzie,Blaine,U.S. Senate,,John James,R,,,200
Benzie,Blaine,U.S. Senate,,Valerie L. Willis,UST,,,0
Benzie,Blaine,U.S. Senate,,Marcia Squier,GRN,,,1
Benzie,Blaine,U.S. Senate,,Doug Dern,NLP,,,1
Benzie,Blaine,U.S. House,1,Dana Ferguson,D,,,185
Benzie,Blaine,U.S. House,1,Jack Bergman,R,,,218
Benzie,Blaine,U.S. House,1,Ben Boren,L,,,2
Benzie,Blaine,State House,101,Beth McGill-Rizer,D,,,172
Benzie,Blaine,State House,101,Jack O'Malley,R,,,234
Benzie,Colfax,Ballots Cast,,,,,,418
Benzie,Colfax,President,,Joseph R. Biden/Kamala D. Harris,D,,,128
Benzie,Colfax,President,,Donald J. Trump/Michael R. Pense,R,,,280
Benzie,Colfax,President,,Jo Jorgensen/Jeremy Cohen,L,,,6
Benzie,Colfax,President,,Don Blankenship/William Mohr,UST,,,0
Benzie,Colfax,President,,Howie Hawkins/Angela Walker,GRN,,,1
Benzie,Colfax,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,0
Benzie,Colfax,U.S. Senate,,Gary Peters,D,,,133
Benzie,Colfax,U.S. Senate,,John James,R,,,268
Benzie,Colfax,U.S. Senate,,Valerie L. Willis,UST,,,2
Benzie,Colfax,U.S. Senate,,Marcia Squier,GRN,,,4
Benzie,Colfax,U.S. Senate,,Doug Dern,NLP,,,5
Benzie,Colfax,U.S. House,1,Dana Ferguson,D,,,121
Benzie,Colfax,U.S. House,1,Jack Bergman,R,,,275
Benzie,Colfax,U.S. House,1,Ben Boren,L,,,7
Benzie,Colfax,State House,101,Beth McGill-Rizer,D,,,114
Benzie,Colfax,State House,101,Jack O'Malley,R,,,293
Benzie,Crystal Lake,Ballots Cast,,,,227,622,849
Benzie,Crystal Lake,President,,Joseph R. Biden/Kamala D. Harris,D,69,396,465
Benzie,Crystal Lake,President,,Donald J. Trump/Michael R. Pense,R,156,213,369
Benzie,Crystal Lake,President,,Jo Jorgensen/Jeremy Cohen,L,1,3,4
Benzie,Crystal Lake,President,,Don Blankenship/William Mohr,UST,0,0,0
Benzie,Crystal Lake,President,,Howie Hawkins/Angela Walker,GRN,1,0,1
Benzie,Crystal Lake,President,,Rocky DeLaFuente/Darcy Richardson,NLP,0,2,2
Benzie,Crystal Lake,U.S. Senate,,Gary Peters,D,70,370,440
Benzie,Crystal Lake,U.S. Senate,,John James,R,154,238,392
Benzie,Crystal Lake,U.S. Senate,,Valerie L. Willis,UST,1,1,2
Benzie,Crystal Lake,U.S. Senate,,Marcia Squier,GRN,0,1,1
Benzie,Crystal Lake,U.S. Senate,,Doug Dern,NLP,1,2,3
Benzie,Crystal Lake,U.S. House,1,Dana Ferguson,D,63,353,416
Benzie,Crystal Lake,U.S. House,1,Jack Bergman,R,158,251,409
Benzie,Crystal Lake,U.S. House,1,Ben Boren,L,5,3,8
Benzie,Crystal Lake,State House,101,Beth McGill-Rizer,D,65,345,410
Benzie,Crystal Lake,State House,101,Jack O'Malley,R,159,259,418
Benzie,Gilmore,Ballots Cast,,,,,,547
Benzie,Gilmore,President,,Joseph R. Biden/Kamala D. Harris,D,,,296
Benzie,Gilmore,President,,Donald J. Trump/Michael R. Pense,R,,,240
Benzie,Gilmore,President,,Jo Jorgensen/Jeremy Cohen,L,,,4
Benzie,Gilmore,President,,Don Blankenship/William Mohr,UST,,,0
Benzie,Gilmore,President,,Howie Hawkins/Angela Walker,GRN,,,4
Benzie,Gilmore,President,,Rocky DeLaFuente/Darcy Richardson,NLP,,,0
Benzie,Gilmore,U.S. Senate,,Gary Peters,D,,,293
Benzie,Gilmore,U.S. Senate,,John James,R,,,235
