county,precinct,office,district,party,candidate,absentee,election_day,votes
Clinton,Bath Charter Township Precinct 1,Registered Voters,,,,,,1479
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,DEM,Democratic Party,0,256,256
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,REP,Republican Party,0,305,305
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,LIB,Libertarian Party,0,2,2
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,UST,U.S. Taxpayers Party,0,2,2
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,WCP,Working Class Party,0,5,5
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,GRN,Green Party,0,3,3
Clinton,Bath Charter Township Precinct 1,Straight Party Ticket,,NLP,Natural Law Party,0,0,0
Clinton,Bath Charter Township Precinct 1,Ballots Cast,,,,0,573,573
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,DEM,Joseph R. Biden Kamala D. Harris,0,543,543
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,REP,Donald J. Trump Michael R. Pence,0,603,603
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,LIB,Jo Jorgensen Jeremy Cohen,0,12,12
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,UST,Don Blankenship William Mohr,0,0,0
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,GRN,Howie Hawkins Angela Walker,0,3,3
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,NLP,Rocky De La Fuente Darcy Richardson,0,2,2
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,,Brian T. Carroll (W),0,0,0
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,,Jade Simmons (W),0,0,0
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,,Kasey Wells (W),0,0,0
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,,Tara Renee Hunter (W),0,0,0
Clinton,Bath Charter Township Precinct 1,Electors of President and Vice-President of the United States,,,Tom Hoefling (W),0,0,0
Clinton,Bath Charter Township Precinct 1,United States Senator,,DEM,Gary Peters,0,530,530
