county,precinct,office,district,party,candidate,absentee,election_day,votes
Ionia,Berlin Township Precinct 1,President,,REP,Mark Sanford,3,0,3
Ionia,Berlin Township Precinct 1,President,,REP,Donald J. Trump,146,0,146
Ionia,Berlin Township Precinct 1,President,,REP,Joe Walsh,3,0,3
Ionia,Berlin Township Precinct 1,President,,REP,Bill Weld,2,0,2
Ionia,Berlin Township Precinct 1,President,,REP,Uncommitted,6,0,6
Ionia,Berlin Township Precinct 1,Ballots Cast,,Republican Party,,160,0,160
Ionia,Berlin Township Precinct 1,President,,REP,Undervotes,0,0,0
Ionia,Berlin Township Precinct 1,President,,REP,Overvotes,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Michael Bennet,1,0,1
Ionia,Berlin Township Precinct 1,President,,DEM,Joe Biden,111,0,111
Ionia,Berlin Township Precinct 1,President,,DEM,Michael R. Bloomberg,10,0,10
Ionia,Berlin Township Precinct 1,President,,DEM,Cory Booker,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Pete Buttigieg,6,0,6
Ionia,Berlin Township Precinct 1,President,,DEM,Julian Castro,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,John Delaney,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Tulsi Gabbard,1,0,1
Ionia,Berlin Township Precinct 1,President,,DEM,Amy Klobuchar,2,0,2
Ionia,Berlin Township Precinct 1,President,,DEM,Bernie Sanders,66,0,66
Ionia,Berlin Township Precinct 1,President,,DEM,Joe Sestak,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Tom Steyer,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Elizabeth Warren,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Marianne Williamson,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Andrew Yang,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Uncommitted,2,0,2
Ionia,Berlin Township Precinct 1,President,,DEM,Undervotes,0,0,0
Ionia,Berlin Township Precinct 1,President,,DEM,Overvotes,0,0,0
Ionia,Boston Township Precinct 1,President,,REP,Mark Sanford,1,0,1
Ionia,Boston Township Precinct 1,President,,REP,Donald J. Trump,151,0,151
Ionia,Boston Township Precinct 1,President,,REP,Joe Walsh,1,0,1
Ionia,Boston Township Precinct 1,President,,REP,Bill Weld,0,0,0
Ionia,Boston Township Precinct 1,President,,REP,Uncommitted,8,0,8
Ionia,Boston Township Precinct 1,Ballots Cast,,Republican Party,,161,0,161
Ionia,Boston Township Precinct 1,President,,REP,Undervotes,1,0,1
Ionia,Boston Township Precinct 1,President,,REP,Overvotes,0,0,0
Ionia,Boston Township Precinct 1,President,,DEM,Michael Bennet,0,0,0
