county,precinct,office,district,candidate,party,votes,election_day,absentee
Bay,"Hampton Twp., Pct 1",Registered Voters,,,,966,,
Bay,"Hampton Twp., Pct 1",Ballots Cast,,,,757,333,424
Bay,"Hampton Twp., Pct 1",Ballots Cast Blank,,,,0,0,0
Bay,"Hampton Twp., Pct 1",Straight Party,,Democratic Party,DEM,163,43,120
Bay,"Hampton Twp., Pct 1",Straight Party,,Republican Party,REP,165,96,69
Bay,"Hampton Twp., Pct 1",Straight Party,,Libertarian Party,LIB,0,0,0
Bay,"Hampton Twp., Pct 1",Straight Party,,U.S. Taxpayers Party,UTP,0,0,0
Bay,"Hampton Twp., Pct 1",Straight Party,,Working Class Party,WCP,4,4,0
Bay,"Hampton Twp., Pct 1",Straight Party,,Green Party,GRN,0,0,0
Bay,"Hampton Twp., Pct 1",Straight Party,,Natural Law Party,NLP,1,0,1
Bay,"Hampton Twp., Pct 1",President,,Joseph R. Biden,DEM,333,97,236
Bay,"Hampton Twp., Pct 1",President,,Donald J. Trump,REP,414,231,183
Bay,"Hampton Twp., Pct 1",President,,Jo Jorgensen,LIB,7,4,3
Bay,"Hampton Twp., Pct 1",President,,Don Blankenship,UTP,3,1,2
Bay,"Hampton Twp., Pct 1",President,,Howie Hawkins,GRN,0,0,0
Bay,"Hampton Twp., Pct 1",President,,Rocky De La Fuente,NLP,0,0,0
Bay,"Hampton Twp., Pct 1",President,,Write-In,,0,0,0
Bay,"Hampton Twp., Pct 1",U.S. Senate,,Gary Peters,DEM,341,98,243
Bay,"Hampton Twp., Pct 1",U.S. Senate,,John James,REP,398,225,173
Bay,"Hampton Twp., Pct 1",U.S. Senate,,Valerie L. Willis,UTP,3,0,3
Bay,"Hampton Twp., Pct 1",U.S. Senate,,Marcia Squier,GRN,2,1,1
Bay,"Hampton Twp., Pct 1",U.S. Senate,,Doug Dern,NLP,0,0,0
Bay,"Hampton Twp., Pct 1",U.S. Senate,,Write-In,,0,0,0
Bay,"Hampton Twp., Pct 1",U.S. House,5,Daniel T. Kildee,DEM,343,98,245
Bay,"Hampton Twp., Pct 1",U.S. House,5,Tim Kelly,REP,367,205,162
Bay,"Hampton Twp., Pct 1",U.S. House,5,James Harris,LIB,7,6,1
Bay,"Hampton Twp., Pct 1",U.S. House,5,Kathy Goodwin,WCP,13,7,6
Bay,"Hampton Twp., Pct 1",U.S. House,5,Write-In,,0,0,0
Bay,"Hampton Twp., Pct 1",State Representative,96,Brian K. Elder,DEM,320,95,225
Bay,"Hampton Twp., Pct 1",State Representative,96,Timothy Beson,REP,419,229,190
Bay,"Hampton Twp., Pct 1",State Representative,96,Write-In,,0,0,0
Bay,"Hampton Twp., Pct 2",Registered Voters,,,,1559,,
Bay,"Hampton Twp., Pct 2",Ballots Cast,,,,1224,504,720
