county,precinct,office,district,party,candidates,votes
Wexford,"Antoich Township, Precinct 1",Registered Voters,,,,712
Wexford,"Boon Township, Precinct 1",Registered Voters,,,,539
Wexford,"Cedar Creek Township, Precinct 1",Registered Voters,,,,1316
Wexford,"Cherry Grove Township, Precinct 1",Registered Voters,,,,2030
Wexford,"Clam Lake Township, Precinct 1",Registered Voters,,,,2044
Wexford,"Coffax Township, Precinct 1",Registered Voters,,,,667
Wexford,"Greenwood Township, Precinct 1",Registered Voters,,,,463
Wexford,"Hanover Township, Precicnt 1",Registered Voters,,,,1334
Wexford,"Haring Township, Precicnt 1",Registered Voters,,,,2766
Wexford,"Henderson Township, Precinct 1",Registered Voters,,,,153
Wexford,"Liberty Township, Precinct 1",Registered Voters,,,,672
Wexford,"Selma Township, Precinct 1",Registered Voters,,,,1863
Wexford,"Stagle Township, Precinct 1",Registered Voters,,,,456
Wexford,"South Branch Township, Precinct 1",Registered Voters,,,,289
Wexford,"Springville Township, Precinct 1",Registered Voters,,,,1389
Wexford,"Wexford Township, Precinct 1",Registered Voters,,,,916
Wexford,"City of Cadillac, Precinct 1",Registered Voters,,,,2637
Wexford,"City of Cadillac, Precinct 2",Registered Voters,,,,2504
Wexford,"City of Cadillac, Precinct 3",Registered Voters,,,,2442
Wexford,"City of Manton, Precinct 1",Registered Voters,,,,929
Wexford,Newkirk Township - Out of County,Registered Voters,,,,0
Wexford,Sherman Township - Out of County,Registered Voters,,, ,0
Wexford,"Antoich Township, Precinct 1",Ballots Cast,,,,181
Wexford,"Boon Township, Precinct 1",Ballots Cast,,,,162
Wexford,"Cedar Creek Township, Precinct 1",Ballots Cast,,,,243
Wexford,"Cherry Grove Township, Precinct 1",Ballots Cast,,,,733
Wexford,"Clam Lake Township, Precinct 1",Ballots Cast,,,,651
Wexford,"Coffax Township, Precinct 1",Ballots Cast,,,,165
Wexford,"Greenwood Township, Precinct 1",Ballots Cast,,,,108
Wexford,"Hanover Township, Precicnt 1",Ballots Cast,,,,266
Wexford,"Haring Township, Precicnt 1",Ballots Cast,,,,757
Wexford,"Henderson Township, Precinct 1",Ballots Cast,,,,56
Wexford,"Liberty Township, Precinct 1",Ballots Cast,,,,130
Wexford,"Selma Township, Precinct 1",Ballots Cast,,,,497
Wexford,"Stagle Township, Precinct 1",Ballots Cast,,,,112
Wexford,"South Branch Township, Precinct 1",Ballots Cast,,,,112
Wexford,"Springville Township, Precinct 1",Ballots Cast,,,,265
Wexford,"Wexford Township, Precinct 1",Ballots Cast,,,,190
Wexford,"City of Cadillac, Precinct 1",Ballots Cast,,,,654
Wexford,"City of Cadillac, Precinct 2",Ballots Cast,,,,628
Wexford,"City of Cadillac, Precinct 3",Ballots Cast,,,,751
Wexford,"City of Manton, Precinct 1",Ballots Cast,,,,180
Wexford,Newkirk Township - Out of County,Ballots Cast,,,,0
Wexford,Sherman Township - Out of County,Ballots Cast,,, ,0
Wexford,"Antoich Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Boon Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Cedar Creek Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Cherry Grove Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Clam Lake Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Coffax Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Greenwood Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Hanover Township, Precicnt 1",President,,DEM,Michael Bennet,1
Wexford,"Haring Township, Precicnt 1",President,,DEM,Michael Bennet,0
Wexford,"Henderson Township, Precinct 1",President,,DEM,Michael Bennet,0
Wexford,"Liberty Township, Precinct 1",President,,DEM,Michael Bennet,0
