county,precinct,office,district,candidate,party,votes
Mackinac,"City of Mackinac Island, Precinct 1",Ballots Cast,NA,NA,NA,531
Mackinac,"City of St. Ignace, Precinct 1",Ballots Cast,NA,NA,NA,1283
Mackinac,"Bois Blanc Township, Precinct 1",Ballots Cast,NA,NA,NA,94
Mackinac,"Brevort Township, Precinct 1",Ballots Cast,NA,NA,NA,321
Mackinac,"Clark Township, Precinct 1",Ballots Cast,NA,NA,NA,1364
Mackinac,"Garfield Township, Precinct 1",Ballots Cast,NA,NA,NA,337
Mackinac,"Garfield Township, Precinct 2",Ballots Cast,NA,NA,NA,345
Mackinac,"Hendricks Township, Precinct 1",Ballots Cast,NA,NA,NA,97
Mackinac,"Hudson Township, Precinct 1",Ballots Cast,NA,NA,NA,133
Mackinac,"Marquette Township, Precinct 1",Ballots Cast,NA,NA,NA,404
Mackinac,"Moran Township, Precinct 1",Ballots Cast,NA,NA,NA,692
Mackinac,"Newton Township, Precinct 1",Ballots Cast,NA,NA,NA,283
Mackinac,"Portage Township, Precinct 1",Ballots Cast,NA,NA,NA,667
Mackinac,"St. Ignace Township, Precinct 1",Ballots Cast,NA,NA,NA,516
Mackinac,"Raber Township, Precinct 1 (Chippewa County)",Ballots Cast,NA,NA,NA,0
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Joseph R. Biden,DEM,279
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Donald J. Trump,REP,237
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Jo Jorgensen,LIB,7
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Don Blankenship,UST,0
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Howie Hawkins,GRN,2
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Rocky De La Fuente,NAT,0
Mackinac,"City of Mackinac Island, Precinct 1",President,NA,Write-Ins,NA,1
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Joseph R. Biden,DEM,585
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Donald J. Trump,REP,670
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Jo Jorgensen,LIB,16
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Don Blankenship,UST,1
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Howie Hawkins,GRN,4
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Rocky De La Fuente,NAT,0
Mackinac,"City of St. Ignace, Precinct 1",President,NA,Write-Ins,NA,1
Mackinac,"Bois Blanc Township, Precinct 1",President,NA,Joseph R. Biden,DEM,43
Mackinac,"Bois Blanc Township, Precinct 1",President,NA,Donald J. Trump,REP,46
Mackinac,"Bois Blanc Township, Precinct 1",President,NA,Jo Jorgensen,LIB,2
Mackinac,"Bois Blanc Township, Precinct 1",President,NA,Don Blankenship,UST,0
Mackinac,"Bois Blanc Township, Precinct 1",President,NA,Howie Hawkins,GRN,2
Mackinac,"Bois Blanc Township, Precinct 1",President,NA,Rocky De La Fuente,NAT,0
