county,precinct,office,district,party,candidate,election_day,absentee,votes
Otsego,"City of Gaylord, Ward 1, Precinct 1",Registered Voters,,,,,,1487
Otsego,"City of Gaylord, Ward 1, Precinct 1",Ballots Cast,,,,683,0,683
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,DEM,,153,0,153
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,REP,,264,0,264
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,LIB,,10,0,10
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,UST,,1,0,1
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,WCP,,3,0,3
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,GRN,,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",Straight Party,,NLP,,1,0,1
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,DEM,Joseph R Biden,269,0,269
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,REP,Donald J Trump,395,0,395
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,LIB,Jo Jorgensen,12,0,12
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,UST,Don Blankenship,3,0,3
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,GRN,Howie Hawkins,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,NLP,Rocky De La Fuente,0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,,Brian T Carroll (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,,Tom Hoefling (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,,Tara Renee Hunter (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,,Jade Simmons (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",President,,,Kasey Wells (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,DEM,Gary Peters,272,0,272
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,REP,John James,383,0,383
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,UST,Valerie L Willis,6,0,6
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,GRN,Marcia Squier,7,0,7
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,NLP,Doug Dern,1,0,1
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,,Robert William Carr (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. Senate,,,Leonard Paul Gadzinski (W),0,0,0
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. House,1,DEM,Dana Ferguson,236,0,236
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. House,1,REP,Jack Bergman,400,0,400
Otsego,"City of Gaylord, Ward 1, Precinct 1",U.S. House,1,LIB,Ben Boren,26,0,26
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,DEM,Jonathan Burke,270,0,270
Otsego,"City of Gaylord, Ward 1, Precinct 1",State House,105,REP,Ken Borton,391,0,391
Otsego,"City of Gaylord, Ward 2, Precinct 2",Registered Voters,,,,,,1210
Otsego,"City of Gaylord, Ward 2, Precinct 2",Ballots Cast,,,,708,0,708
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,DEM,,112,0,112
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,REP,,259,0,259
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,LIB,,4,0,4
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,UST,,2,0,2
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,WCP,,3,0,3
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,GRN,,1,0,1
Otsego,"City of Gaylord, Ward 2, Precinct 2",Straight Party,,NLP,,2,0,2
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,DEM,Joseph R Biden,268,0,268
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,REP,Donald J Trump,425,0,425
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,LIB,Jo Jorgensen,10,0,10
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,UST,Don Blankenship,2,0,2
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,GRN,Howie Hawkins,0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,NLP,Rocky De La Fuente,0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,,Brian T Carroll (W),0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,,Tom Hoefling (W),0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,,Tara Renee Hunter (W),0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,,Jade Simmons (W),0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",President,,,Kasey Wells (W),0,0,0
Otsego,"City of Gaylord, Ward 2, Precinct 2",U.S. Senate,,DEM,Gary Peters,258,0,258
Otsego,"City of Gaylord, Ward 2, Precinct 2",U.S. Senate,,REP,John James,422,0,422
Otsego,"City of Gaylord, Ward 2, Precinct 2",U.S. Senate,,UST,Valerie L Willis,8,0,8
Otsego,"City of Gaylord, Ward 2, Precinct 2",U.S. Senate,,GRN,Marcia Squier,5,0,5
Otsego,"City of Gaylord, Ward 2, Precinct 2",U.S. Senate,,NLP,Doug Dern,1,0,1
