county,precinct,office,distrcit,party,candidate,votes
Branch,Algansee Township Precinct 1,Straight Ticket,,DEM,,103
Branch,Allen Township (Out of County),Straight Ticket,,DEM,,0
Branch,Athens Township (Out of County),Straight Ticket,,DEM,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,DEM,,66
Branch,Bethel Township Precinct 1,Straight Ticket,,DEM,,70
Branch,Bronson Township Precinct 1,Straight Ticket,,DEM,,57
Branch,Burlington Township (Out of County),Straight Ticket,,DEM,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,DEM,,0
Branch,Butler Township Precinct 1,Straight Ticket,,DEM,,69
Branch,California Township Precinct 1,Straight Ticket,,DEM,,21
Branch,City of Bronson Precinct 1,Straight Ticket,,DEM,,111
Branch,City of Coldwater Precinct 1,Straight Ticket,,DEM,,156
Branch,City of Coldwater Precinct 2,Straight Ticket,,DEM,,207
Branch,City of Coldwater Precinct 3,Straight Ticket,,DEM,,272
Branch,City of Coldwater Precinct 4,Straight Ticket,,DEM,,164
Branch,Coldwater Township Precinct 1,Straight Ticket,,DEM,,242
Branch,Fredonia Township (Out of County),Straight Ticket,,DEM,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,DEM,,44
Branch,Girard Township Precinct 1,Straight Ticket,,DEM,,133
Branch,Kinderhook Township Precinct 1,Straight Ticket,,DEM,,111
Branch,Matteson Township Precinct 1,Straight Ticket,,DEM,,93
Branch,Newton Township (Out of County),Straight Ticket,,DEM,,0
Branch,Noble Township Precinct 1,Straight Ticket,,DEM,,31
Branch,Ovid Township Precinct 1,Straight Ticket,,DEM,,185
Branch,Quincy Township Precinct 1,Straight Ticket,,DEM,,78
Branch,Quincy Township Precinct 2,Straight Ticket,,DEM,,146
Branch,Sherwood Township Precinct 1,Straight Ticket,,DEM,,131
Branch,Tekonsha Township (Out of County),Straight Ticket,,DEM,,0
Branch,Union Township Precinct 1,Straight Ticket,,DEM,,184
Branch,Algansee Township Precinct 1,Straight Ticket,,REP,,401
Branch,Allen Township (Out of County),Straight Ticket,,REP,,0
Branch,Athens Township (Out of County),Straight Ticket,,REP,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,REP,,244
Branch,Bethel Township Precinct 1,Straight Ticket,,REP,,206
Branch,Bronson Township Precinct 1,Straight Ticket,,REP,,268
Branch,Burlington Township (Out of County),Straight Ticket,,REP,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,REP,,0
Branch,Butler Township Precinct 1,Straight Ticket,,REP,,219
Branch,California Township Precinct 1,Straight Ticket,,REP,,86
Branch,City of Bronson Precinct 1,Straight Ticket,,REP,,232
Branch,City of Coldwater Precinct 1,Straight Ticket,,REP,,235
Branch,City of Coldwater Precinct 2,Straight Ticket,,REP,,331
Branch,City of Coldwater Precinct 3,Straight Ticket,,REP,,386
Branch,City of Coldwater Precinct 4,Straight Ticket,,REP,,242
Branch,Coldwater Township Precinct 1,Straight Ticket,,REP,,715
Branch,Fredonia Township (Out of County),Straight Ticket,,REP,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,REP,,123
Branch,Girard Township Precinct 1,Straight Ticket,,REP,,411
Branch,Kinderhook Township Precinct 1,Straight Ticket,,REP,,354
Branch,Matteson Township Precinct 1,Straight Ticket,,REP,,212
Branch,Newton Township (Out of County),Straight Ticket,,REP,,0
Branch,Noble Township Precinct 1,Straight Ticket,,REP,,133
Branch,Ovid Township Precinct 1,Straight Ticket,,REP,,590
Branch,Quincy Township Precinct 1,Straight Ticket,,REP,,235
Branch,Quincy Township Precinct 2,Straight Ticket,,REP,,444
Branch,Sherwood Township Precinct 1,Straight Ticket,,REP,,331
Branch,Tekonsha Township (Out of County),Straight Ticket,,REP,,0
Branch,Union Township Precinct 1,Straight Ticket,,REP,,457
Branch,Algansee Township Precinct 1,Straight Ticket,,LIB,,1
Branch,Allen Township (Out of County),Straight Ticket,,LIB,,0
Branch,Athens Township (Out of County),Straight Ticket,,LIB,,0
Branch,Batavia Township Precinct 1,Straight Ticket,,LIB,,0
Branch,Bethel Township Precinct 1,Straight Ticket,,LIB,,0
Branch,Bronson Township Precinct 1,Straight Ticket,,LIB,,2
Branch,Burlington Township (Out of County),Straight Ticket,,LIB,,0
Branch,Burr Oak Township (Out of County),Straight Ticket,,LIB,,0
Branch,Butler Township Precinct 1,Straight Ticket,,LIB,,1
Branch,California Township Precinct 1,Straight Ticket,,LIB,,0
Branch,City of Bronson Precinct 1,Straight Ticket,,LIB,,1
Branch,City of Coldwater Precinct 1,Straight Ticket,,LIB,,0
Branch,City of Coldwater Precinct 2,Straight Ticket,,LIB,,5
Branch,City of Coldwater Precinct 3,Straight Ticket,,LIB,,5
Branch,City of Coldwater Precinct 4,Straight Ticket,,LIB,,2
Branch,Coldwater Township Precinct 1,Straight Ticket,,LIB,,4
Branch,Fredonia Township (Out of County),Straight Ticket,,LIB,,0
Branch,Gilead Township Precinct 1,Straight Ticket,,LIB,,0
Branch,Girard Township Precinct 1,Straight Ticket,,LIB,,4
Branch,Kinderhook Township Precinct 1,Straight Ticket,,LIB,,2
Branch,Matteson Township Precinct 1,Straight Ticket,,LIB,,1
Branch,Newton Township (Out of County),Straight Ticket,,LIB,,0
Branch,Noble Township Precinct 1,Straight Ticket,,LIB,,0
Branch,Ovid Township Precinct 1,Straight Ticket,,LIB,,4
Branch,Quincy Township Precinct 1,Straight Ticket,,LIB,,1
