county,precinct,office,district,party,candidate,votes,election_day,absentee
Emmet,"Bear Creek Township, Precinct 1",Registered Voters,,,,2681,,
Emmet,"Bear Creek Township, Precinct 1",Ballots Cast,,,,1777,732,1045
Emmet,"Bear Creek Township, Precinct 1",Ballots Cast - Blank,,,,0,0,0
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,DEM,Democrat,442,138,304
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,REP,Republican,496,234,262
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,LIB,Libertarian,9,5,4
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,UST,U.S. Taxpayers,1,0,1
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,WCP,Working Class,6,2,4
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,GRE,Green,1,1,0
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,NLP,Natural Law,0,0,0
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,,Over Votes,1,1,0
Emmet,"Bear Creek Township, Precinct 1",Straight Party,,,Under Votes,821,351,470
Emmet,"Bear Creek Township, Precinct 1",Governor,,DEM,Gretchen Whitmer,943,322,621
Emmet,"Bear Creek Township, Precinct 1",Governor,,REP,Tudor M. Dixon,790,393,397
Emmet,"Bear Creek Township, Precinct 1",Governor,,LIB,Mary Buzuma,21,8,13
Emmet,"Bear Creek Township, Precinct 1",Governor,,UST,Donna Brandenburg,5,1,4
Emmet,"Bear Creek Township, Precinct 1",Governor,,GRE,Kevin Hogan,3,1,2
Emmet,"Bear Creek Township, Precinct 1",Governor,,NLP,Daryl M. Simpson,4,3,1
Emmet,"Bear Creek Township, Precinct 1",Governor,,,Write-ins,1,1,0
Emmet,"Bear Creek Township, Precinct 1",Governor,,,Over Votes,0,0,0
Emmet,"Bear Creek Township, Precinct 1",Governor,,,Under Votes,10,3,7
Emmet,"Bear Creek Township, Precinct 1",Secretary of State,,DEM,Jocelyn Benson,915,312,603
Emmet,"Bear Creek Township, Precinct 1",Secretary of State,,REP,Kristina Elaine Karamo,802,390,412
Emmet,"Bear Creek Township, Precinct 1",Secretary of State,,LIB,Gregory Scott Stempfle,30,14,16
Emmet,"Bear Creek Township, Precinct 1",Secretary of State,,UST,Christine C. Schwartz,7,3,4
