county,precinct,office,vote_type,district,party,candidate,votes
Monroe,"Dundee Township, Precinct 1",Registered Voters,,,,,1844
Monroe,"Dundee Township, Precinct 2",Registered Voters,,,,,2409
Monroe,"Dundee Township, Precinct 3",Registered Voters,,,,,2727
Monroe,"Erie Township, Precinct 1",Registered Voters,,,,,2058
Monroe,"Erie Township, Precinct 2",Registered Voters,,,,,1794
Monroe,"Exeter Township, Precinct 1",Registered Voters,,,,,1448
Monroe,"Exeter Township, Precinct 2",Registered Voters,,,,,1920
Monroe,"Frenchtown Township,Precinct 1",Registered Voters,,,,,1427
Monroe,"Frenchtown Township,Precinct 2",Registered Voters,,,,,1401
Monroe,"Frenchtown Township,Precinct 3",Registered Voters,,,,,1432
Monroe,"Frenchtown Township,Precinct 4",Registered Voters,,,,,1938
Monroe,"Frenchtown Township,Precinct 5",Registered Voters,,,,,2841
Monroe,"Frenchtown Township,Precinct 6",Registered Voters,,,,,2255
Monroe,"Frenchtown Township,Precinct 7",Registered Voters,,,,,2810
Monroe,"Frenchtown Township,Precinct 8",Registered Voters,,,,,1723
Monroe,"Frenchtown Township,Precinct 9",Registered Voters,,,,,1915
Monroe,"Ida Township, Precinct 1",Registered Voters,,,,,2351
Monroe,"Ida Township, Precinct 2",Registered Voters,,,,,1987
Monroe,"La Salle Township, Precinct 1",Registered Voters,,,,,1903
Monroe,"La Salle Township, Precinct 2",Registered Voters,,,,,2253
Monroe,"London Township, Precinct 1",Registered Voters,,,,,2664
Monroe,"Milan Township, Precinct 1",Registered Voters,,,,,1474
Monroe,"Monroe Township, Precinct 1",Registered Voters,,,,,1557
Monroe,"Monroe Township, Precinct 2",Registered Voters,,,,,1714
Monroe,"Monroe Township, Precinct 3",Registered Voters,,,,,1178
Monroe,"Monroe Township, Precinct 4",Registered Voters,,,,,2614
Monroe,"Monroe Township, Precinct 5",Registered Voters,,,,,2770
Monroe,"Monroe Township, Precinct 6",Registered Voters,,,,,1830
Monroe,"Raisinville Township, Precinct1",Registered Voters,,,,,2446
Monroe,"Raisinville Township, Precinct2",Registered Voters,,,,,2898
Monroe,"Summerfield Township,Precinct 1",Registered Voters,,,,,2646
Monroe,"Whiteford Township, Precinct1",Registered Voters,,,,,2289
Monroe,"Whiteford Township, Precinct2",Registered Voters,,,,,1953
Monroe,"Ash Township, Precinct 1",Cards Cast,Election Day,,,,776
Monroe,"Ash Township, Precinct 2",Cards Cast,Election Day,,,,825
Monroe,"Ash Township, Precinct 3",Cards Cast,Election Day,,,,674
Monroe,"Bedford Township, Precinct 1",Cards Cast,Election Day,,,,430
Monroe,"Bedford Township, Precinct 2",Cards Cast,Election Day,,,,751
Monroe,"Bedford Township, Precinct 3",Cards Cast,Election Day,,,,759
Monroe,"Bedford Township, Precinct 4",Cards Cast,Election Day,,,,823
Monroe,"Bedford Township, Precinct 5",Cards Cast,Election Day,,,,715
Monroe,"Bedford Township, Precinct 6",Cards Cast,Election Day,,,,984
Monroe,"Bedford Township, Precinct 7",Cards Cast,Election Day,,,,780
Monroe,"Bedford Township, Precinct 8",Cards Cast,Election Day,,,,730
Monroe,"Bedford Township, Precinct 9",Cards Cast,Election Day,,,,482
Monroe,"Bedford Township, Precinct 10",Cards Cast,Election Day,,,,515
Monroe,"Bedford Township, Precinct 11",Cards Cast,Election Day,,,,925
Monroe,"Bedford Township, Precinct 12",Cards Cast,Election Day,,,,586
Monroe,"Bedford Township, Precinct 13",Cards Cast,Election Day,,,,687
Monroe,"Bedford Township, Precinct 14",Cards Cast,Election Day,,,,552
Monroe,"Berlin Township, Precinct 1",Cards Cast,Election Day,,,,755
Monroe,"Berlin Township, Precinct 2",Cards Cast,Election Day,,,,905
Monroe,"Berlin Township, Precinct 3",Cards Cast,Election Day,,,,527
Monroe,"Berlin Township, Precinct 4",Cards Cast,Election Day,,,,869
Monroe,"City of Luna Pier, Precinct 1",Cards Cast,Election Day,,,,636
Monroe,"City of Milan, Precinct 1",Cards Cast,Election Day,,,,984
Monroe,"City of Monroe, Precinct 1",Cards Cast,Election Day,,,,702
Monroe,"City of Monroe, Precinct 2",Cards Cast,Election Day,,,,635
Monroe,"City of Monroe, Precinct 3N",Cards Cast,Election Day,,,,419
Monroe,"City of Monroe, Precinct 3S",Cards Cast,Election Day,,,,268
Monroe,"City of Monroe, Precinct 4",Cards Cast,Election Day,,,,946
Monroe,"City of Monroe, Precinct 5",Cards Cast,Election Day,,,,883
Monroe,"City of Monroe, Precinct 6",Cards Cast,Election Day,,,,813
Monroe,"City of Petersburg, Precinct 1",Cards Cast,Election Day,,,,385
Monroe,"Dundee Township, Precinct 1",Cards Cast,Election Day,,,,641
Monroe,"Dundee Township, Precinct 2",Cards Cast,Election Day,,,,790
Monroe,"Dundee Township, Precinct 3",Cards Cast,Election Day,,,,"1,058"
Monroe,"Erie Township, Precinct 1",Cards Cast,Election Day,,,,676
Monroe,"Erie Township, Precinct 2",Cards Cast,Election Day,,,,509
Monroe,"Exeter Township, Precinct 1",Cards Cast,Election Day,,,,909
Monroe,"Exeter Township, Precinct 2",Cards Cast,Election Day,,,,"1,163"
Monroe,"Frenchtown Township,Precinct 1",Cards Cast,Election Day,,,,359
Monroe,"Frenchtown Township,Precinct 2",Cards Cast,Election Day,,,,482
Monroe,"Frenchtown Township,Precinct 3",Cards Cast,Election Day,,,,509
Monroe,"Frenchtown Township,Precinct 4",Cards Cast,Election Day,,,,468
Monroe,"Frenchtown Township,Precinct 5",Cards Cast,Election Day,,,,607
Monroe,"Frenchtown Township,Precinct 6",Cards Cast,Election Day,,,,674
Monroe,"Frenchtown Township,Precinct 7",Cards Cast,Election Day,,,,752
Monroe,"Frenchtown Township,Precinct 8",Cards Cast,Election Day,,,,528
Monroe,"Frenchtown Township,Precinct 9",Cards Cast,Election Day,,,,539
Monroe,"Ida Township, Precinct 1",Cards Cast,Election Day,,,,868
Monroe,"Ida Township, Precinct 2",Cards Cast,Election Day,,,,794
Monroe,"La Salle Township, Precinct 1",Cards Cast,Election Day,,,,675
Monroe,"La Salle Township, Precinct 2",Cards Cast,Election Day,,,,864
Monroe,"London Township, Precinct 1",Cards Cast,Election Day,,,,"1,397"
Monroe,"Milan Township, Precinct 1",Cards Cast,Election Day,,,,830
Monroe,"Monroe Township, Precinct 1",Cards Cast,Election Day,,,,449
Monroe,"Monroe Township, Precinct 2",Cards Cast,Election Day,,,,340
Monroe,"Monroe Township, Precinct 3",Cards Cast,Election Day,,,,412
Monroe,"Monroe Township, Precinct 4",Cards Cast,Election Day,,,,660
Monroe,"Monroe Township, Precinct 5",Cards Cast,Election Day,,,,855
Monroe,"Monroe Township, Precinct 6",Cards Cast,Election Day,,,,549
Monroe,"Raisinville Township, Precinct1",Cards Cast,Election Day,,,,826
Monroe,"Raisinville Township, Precinct2",Cards Cast,Election Day,,,,"1,014"
Monroe,"Summerfield Township,Precinct 1",Cards Cast,Election Day,,,,"1,079"
Monroe,"Whiteford Township, Precinct1",Cards Cast,Election Day,,,,827
Monroe,"Whiteford Township, Precinct2",Cards Cast,Election Day,,,,757
Monroe,"Ash Township, Precinct 1",Cards Cast,Absentee,,,,516
Monroe,"Ash Township, Precinct 2",Cards Cast,Absentee,,,,697
Monroe,"Ash Township, Precinct 3",Cards Cast,Absentee,,,,518
Monroe,"Bedford Township, Precinct 1",Cards Cast,Absentee,,,,185
Monroe,"Bedford Township, Precinct 2",Cards Cast,Absentee,,,,416
Monroe,"Bedford Township, Precinct 3",Cards Cast,Absentee,,,,293
Monroe,"Bedford Township, Precinct 4",Cards Cast,Absentee,,,,493
Monroe,"Bedford Township, Precinct 5",Cards Cast,Absentee,,,,415
Monroe,"Bedford Township, Precinct 6",Cards Cast,Absentee,,,,510
Monroe,"Bedford Township, Precinct 7",Cards Cast,Absentee,,,,420
Monroe,"Bedford Township, Precinct 8",Cards Cast,Absentee,,,,523
Monroe,"Bedford Township, Precinct 9",Cards Cast,Absentee,,,,332
Monroe,"Bedford Township, Precinct 10",Cards Cast,Absentee,,,,510
Monroe,"Bedford Township, Precinct 11",Cards Cast,Absentee,,,,432
Monroe,"Bedford Township, Precinct 12",Cards Cast,Absentee,,,,413
Monroe,"Bedford Township, Precinct 13",Cards Cast,Absentee,,,,380
Monroe,"Bedford Township, Precinct 14",Cards Cast,Absentee,,,,306
Monroe,"Berlin Township, Precinct 1",Cards Cast,Absentee,,,,344
Monroe,"Berlin Township, Precinct 2",Cards Cast,Absentee,,,,542
Monroe,"Berlin Township, Precinct 3",Cards Cast,Absentee,,,,321
Monroe,"Berlin Township, Precinct 4",Cards Cast,Absentee,,,,436
Monroe,"City of Luna Pier, Precinct 1",Cards Cast,Absentee,,,,0
Monroe,"City of Milan, Precinct 1",Cards Cast,Absentee,,,,0
Monroe,"City of Monroe, Precinct 1",Cards Cast,Absentee,,,,472
Monroe,"City of Monroe, Precinct 2",Cards Cast,Absentee,,,,313
Monroe,"City of Monroe, Precinct 3N",Cards Cast,Absentee,,,,151
Monroe,"City of Monroe, Precinct 3S",Cards Cast,Absentee,,,,140
Monroe,"City of Monroe, Precinct 4",Cards Cast,Absentee,,,,605
Monroe,"City of Monroe, Precinct 5",Cards Cast,Absentee,,,,756
Monroe,"City of Monroe, Precinct 6",Cards Cast,Absentee,,,,496
Monroe,"City of Petersburg, Precinct 1",Cards Cast,Absentee,,,,125
Monroe,"Dundee Township, Precinct 1",Cards Cast,Absentee,,,,306
Monroe,"Dundee Township, Precinct 2",Cards Cast,Absentee,,,,462
Monroe,"Dundee Township, Precinct 3",Cards Cast,Absentee,,,,477
Monroe,"Erie Township, Precinct 1",Cards Cast,Absentee,,,,460
Monroe,"Erie Township, Precinct 2",Cards Cast,Absentee,,,,272
Monroe,"Exeter Township, Precinct 1",Cards Cast,Absentee,,,,0
Monroe,"Exeter Township, Precinct 2",Cards Cast,Absentee,,,,0
Monroe,"Frenchtown Township,Precinct 1",Cards Cast,Absentee,,,,246
Monroe,"Frenchtown Township,Precinct 2",Cards Cast,Absentee,,,,252
Monroe,"Frenchtown Township,Precinct 3",Cards Cast,Absentee,,,,354
Monroe,"Frenchtown Township,Precinct 4",Cards Cast,Absentee,,,,612
Monroe,"Frenchtown Township,Precinct 5",Cards Cast,Absentee,,,,273
Monroe,"Frenchtown Township,Precinct 6",Cards Cast,Absentee,,,,446
Monroe,"Frenchtown Township,Precinct 7",Cards Cast,Absentee,,,,728
Monroe,"Frenchtown Township,Precinct 8",Cards Cast,Absentee,,,,341
Monroe,"Frenchtown Township,Precinct 9",Cards Cast,Absentee,,,,371
Monroe,"Ida Township, Precinct 1",Cards Cast,Absentee,,,,442
Monroe,"Ida Township, Precinct 2",Cards Cast,Absentee,,,,407
Monroe,"La Salle Township, Precinct 1",Cards Cast,Absentee,,,,420
Monroe,"La Salle Township, Precinct 2",Cards Cast,Absentee,,,,514
Monroe,"London Township, Precinct 1",Cards Cast,Absentee,,,,0
Monroe,"Milan Township, Precinct 1",Cards Cast,Absentee,,,,0
Monroe,"Monroe Township, Precinct 1",Cards Cast,Absentee,,,,385
Monroe,"Monroe Township, Precinct 2",Cards Cast,Absentee,,,,202
Monroe,"Monroe Township, Precinct 3",Cards Cast,Absentee,,,,309
Monroe,"Monroe Township, Precinct 4",Cards Cast,Absentee,,,,398
Monroe,"Monroe Township, Precinct 5",Cards Cast,Absentee,,,,675
Monroe,"Monroe Township, Precinct 6",Cards Cast,Absentee,,,,465
Monroe,"Raisinville Township, Precinct1",Cards Cast,Absentee,,,,665
Monroe,"Raisinville Township, Precinct2",Cards Cast,Absentee,,,,670
Monroe,"Summerfield Township,Precinct 1",Cards Cast,Absentee,,,,509
Monroe,"Whiteford Township, Precinct1",Cards Cast,Absentee,,,,341
Monroe,"Whiteford Township, Precinct2",Cards Cast,Absentee,,,,284
Monroe,"Ash Township, Precinct 1",Straight Party,Election Day,,DEM,,107
Monroe,"Ash Township, Precinct 2",Straight Party,Election Day,,DEM,,118
Monroe,"Ash Township, Precinct 3",Straight Party,Election Day,,DEM,,65
Monroe,"Bedford Township, Precinct 1",Straight Party,Election Day,,DEM,,57
Monroe,"Bedford Township, Precinct 2",Straight Party,Election Day,,DEM,,96
Monroe,"Bedford Township, Precinct 3",Straight Party,Election Day,,DEM,,104
Monroe,"Bedford Township, Precinct 4",Straight Party,Election Day,,DEM,,117
Monroe,"Bedford Township, Precinct 5",Straight Party,Election Day,,DEM,,108
Monroe,"Bedford Township, Precinct 6",Straight Party,Election Day,,DEM,,139
Monroe,"Bedford Township, Precinct 7",Straight Party,Election Day,,DEM,,129
Monroe,"Bedford Township, Precinct 8",Straight Party,Election Day,,DEM,,114
Monroe,"Bedford Township, Precinct 9",Straight Party,Election Day,,DEM,,78
Monroe,"Bedford Township, Precinct 10",Straight Party,Election Day,,DEM,,50
Monroe,"Bedford Township, Precinct 11",Straight Party,Election Day,,DEM,,116
Monroe,"Bedford Township, Precinct 12",Straight Party,Election Day,,DEM,,101
Monroe,"Bedford Township, Precinct 13",Straight Party,Election Day,,DEM,,91
Monroe,"Bedford Township, Precinct 14",Straight Party,Election Day,,DEM,,106
Monroe,"Berlin Township, Precinct 1",Straight Party,Election Day,,DEM,,110
Monroe,"Berlin Township, Precinct 2",Straight Party,Election Day,,DEM,,143
Monroe,"Berlin Township, Precinct 3",Straight Party,Election Day,,DEM,,78
Monroe,"Berlin Township, Precinct 4",Straight Party,Election Day,,DEM,,112
Monroe,"City of Luna Pier, Precinct 1",Straight Party,Election Day,,DEM,,134
Monroe,"City of Milan, Precinct 1",Straight Party,Election Day,,DEM,,320
Monroe,"City of Monroe, Precinct 1",Straight Party,Election Day,,DEM,,150
Monroe,"City of Monroe, Precinct 2",Straight Party,Election Day,,DEM,,132
Monroe,"City of Monroe, Precinct 3N",Straight Party,Election Day,,DEM,,88
Monroe,"City of Monroe, Precinct 3S",Straight Party,Election Day,,DEM,,117
Monroe,"City of Monroe, Precinct 4",Straight Party,Election Day,,DEM,,162
Monroe,"City of Monroe, Precinct 5",Straight Party,Election Day,,DEM,,168
Monroe,"City of Monroe, Precinct 6",Straight Party,Election Day,,DEM,,162
Monroe,"City of Petersburg, Precinct 1",Straight Party,Election Day,,DEM,,75
Monroe,"Dundee Township, Precinct 1",Straight Party,Election Day,,DEM,,103
Monroe,"Dundee Township, Precinct 2",Straight Party,Election Day,,DEM,,99
Monroe,"Dundee Township, Precinct 3",Straight Party,Election Day,,DEM,,132
Monroe,"Erie Township, Precinct 1",Straight Party,Election Day,,DEM,,80
Monroe,"Erie Township, Precinct 2",Straight Party,Election Day,,DEM,,69
Monroe,"Exeter Township, Precinct 1",Straight Party,Election Day,,DEM,,98
Monroe,"Exeter Township, Precinct 2",Straight Party,Election Day,,DEM,,204
Monroe,"Frenchtown Township,Precinct 1",Straight Party,Election Day,,DEM,,76
Monroe,"Frenchtown Township,Precinct 2",Straight Party,Election Day,,DEM,,86
Monroe,"Frenchtown Township,Precinct 3",Straight Party,Election Day,,DEM,,60
Monroe,"Frenchtown Township,Precinct 4",Straight Party,Election Day,,DEM,,69
Monroe,"Frenchtown Township,Precinct 5",Straight Party,Election Day,,DEM,,155
Monroe,"Frenchtown Township,Precinct 6",Straight Party,Election Day,,DEM,,96
Monroe,"Frenchtown Township,Precinct 7",Straight Party,Election Day,,DEM,,128
Monroe,"Frenchtown Township,Precinct 8",Straight Party,Election Day,,DEM,,73
Monroe,"Frenchtown Township,Precinct 9",Straight Party,Election Day,,DEM,,84
Monroe,"Ida Township, Precinct 1",Straight Party,Election Day,,DEM,,76
Monroe,"Ida Township, Precinct 2",Straight Party,Election Day,,DEM,,83
Monroe,"La Salle Township, Precinct 1",Straight Party,Election Day,,DEM,,63
Monroe,"La Salle Township, Precinct 2",Straight Party,Election Day,,DEM,,94
Monroe,"London Township, Precinct 1",Straight Party,Election Day,,DEM,,290
Monroe,"Milan Township, Precinct 1",Straight Party,Election Day,,DEM,,166
Monroe,"Monroe Township, Precinct 1",Straight Party,Election Day,,DEM,,68
Monroe,"Monroe Township, Precinct 2",Straight Party,Election Day,,DEM,,70
Monroe,"Monroe Township, Precinct 3",Straight Party,Election Day,,DEM,,47
Monroe,"Monroe Township, Precinct 4",Straight Party,Election Day,,DEM,,126
Monroe,"Monroe Township, Precinct 5",Straight Party,Election Day,,DEM,,92
Monroe,"Monroe Township, Precinct 6",Straight Party,Election Day,,DEM,,89
Monroe,"Raisinville Township, Precinct1",Straight Party,Election Day,,DEM,,93
Monroe,"Raisinville Township, Precinct2",Straight Party,Election Day,,DEM,,145
Monroe,"Summerfield Township,Precinct 1",Straight Party,Election Day,,DEM,,102
Monroe,"Whiteford Township, Precinct1",Straight Party,Election Day,,DEM,,88
Monroe,"Whiteford Township, Precinct2",Straight Party,Election Day,,DEM,,56
Monroe,"Ash Township, Precinct 1",Straight Party,Absentee,,DEM,,141
Monroe,"Ash Township, Precinct 2",Straight Party,Absentee,,DEM,,202
Monroe,"Ash Township, Precinct 3",Straight Party,Absentee,,DEM,,119
Monroe,"Bedford Township, Precinct 1",Straight Party,Absentee,,DEM,,48
Monroe,"Bedford Township, Precinct 2",Straight Party,Absentee,,DEM,,120
Monroe,"Bedford Township, Precinct 3",Straight Party,Absentee,,DEM,,81
Monroe,"Bedford Township, Precinct 4",Straight Party,Absentee,,DEM,,156
Monroe,"Bedford Township, Precinct 5",Straight Party,Absentee,,DEM,,107
Monroe,"Bedford Township, Precinct 6",Straight Party,Absentee,,DEM,,177
Monroe,"Bedford Township, Precinct 7",Straight Party,Absentee,,DEM,,133
Monroe,"Bedford Township, Precinct 8",Straight Party,Absentee,,DEM,,165
Monroe,"Bedford Township, Precinct 9",Straight Party,Absentee,,DEM,,99
Monroe,"Bedford Township, Precinct 10",Straight Party,Absentee,,DEM,,76
Monroe,"Bedford Township, Precinct 11",Straight Party,Absentee,,DEM,,104
Monroe,"Bedford Township, Precinct 12",Straight Party,Absentee,,DEM,,118
Monroe,"Bedford Township, Precinct 13",Straight Party,Absentee,,DEM,,131
Monroe,"Bedford Township, Precinct 14",Straight Party,Absentee,,DEM,,133
Monroe,"Berlin Township, Precinct 1",Straight Party,Absentee,,DEM,,103
Monroe,"Berlin Township, Precinct 2",Straight Party,Absentee,,DEM,,172
Monroe,"Berlin Township, Precinct 3",Straight Party,Absentee,,DEM,,86
Monroe,"Berlin Township, Precinct 4",Straight Party,Absentee,,DEM,,98
Monroe,"City of Luna Pier, Precinct 1",Straight Party,Absentee,,DEM,,0
Monroe,"City of Milan, Precinct 1",Straight Party,Absentee,,DEM,,0
Monroe,"City of Monroe, Precinct 1",Straight Party,Absentee,,DEM,,173
Monroe,"City of Monroe, Precinct 2",Straight Party,Absentee,,DEM,,109
Monroe,"City of Monroe, Precinct 3N",Straight Party,Absentee,,DEM,,57
Monroe,"City of Monroe, Precinct 3S",Straight Party,Absentee,,DEM,,68
Monroe,"City of Monroe, Precinct 4",Straight Party,Absentee,,DEM,,198
Monroe,"City of Monroe, Precinct 5",Straight Party,Absentee,,DEM,,275
Monroe,"City of Monroe, Precinct 6",Straight Party,Absentee,,DEM,,144
Monroe,"City of Petersburg, Precinct 1",Straight Party,Absentee,,DEM,,43
Monroe,"Dundee Township, Precinct 1",Straight Party,Absentee,,DEM,,74
Monroe,"Dundee Township, Precinct 2",Straight Party,Absentee,,DEM,,117
Monroe,"Dundee Township, Precinct 3",Straight Party,Absentee,,DEM,,126
Monroe,"Erie Township, Precinct 1",Straight Party,Absentee,,DEM,,104
Monroe,"Erie Township, Precinct 2",Straight Party,Absentee,,DEM,,86
Monroe,"Exeter Township, Precinct 1",Straight Party,Absentee,,DEM,,0
Monroe,"Exeter Township, Precinct 2",Straight Party,Absentee,,DEM,,0
Monroe,"Frenchtown Township,Precinct 1",Straight Party,Absentee,,DEM,,57
Monroe,"Frenchtown Township,Precinct 2",Straight Party,Absentee,,DEM,,76
Monroe,"Frenchtown Township,Precinct 3",Straight Party,Absentee,,DEM,,99
Monroe,"Frenchtown Township,Precinct 4",Straight Party,Absentee,,DEM,,173
Monroe,"Frenchtown Township,Precinct 5",Straight Party,Absentee,,DEM,,99
Monroe,"Frenchtown Township,Precinct 6",Straight Party,Absentee,,DEM,,149
Monroe,"Frenchtown Township,Precinct 7",Straight Party,Absentee,,DEM,,216
Monroe,"Frenchtown Township,Precinct 8",Straight Party,Absentee,,DEM,,101
Monroe,"Frenchtown Township,Precinct 9",Straight Party,Absentee,,DEM,,130
Monroe,"Ida Township, Precinct 1",Straight Party,Absentee,,DEM,,94
Monroe,"Ida Township, Precinct 2",Straight Party,Absentee,,DEM,,100
Monroe,"La Salle Township, Precinct 1",Straight Party,Absentee,,DEM,,110
Monroe,"La Salle Township, Precinct 2",Straight Party,Absentee,,DEM,,117
Monroe,"London Township, Precinct 1",Straight Party,Absentee,,DEM,,0
Monroe,"Milan Township, Precinct 1",Straight Party,Absentee,,DEM,,0
Monroe,"Monroe Township, Precinct 1",Straight Party,Absentee,,DEM,,128
Monroe,"Monroe Township, Precinct 2",Straight Party,Absentee,,DEM,,92
Monroe,"Monroe Township, Precinct 3",Straight Party,Absentee,,DEM,,66
Monroe,"Monroe Township, Precinct 4",Straight Party,Absentee,,DEM,,125
Monroe,"Monroe Township, Precinct 5",Straight Party,Absentee,,DEM,,155
Monroe,"Monroe Township, Precinct 6",Straight Party,Absentee,,DEM,,107
Monroe,"Raisinville Township, Precinct1",Straight Party,Absentee,,DEM,,138
Monroe,"Raisinville Township, Precinct2",Straight Party,Absentee,,DEM,,189
Monroe,"Summerfield Township,Precinct 1",Straight Party,Absentee,,DEM,,115
Monroe,"Whiteford Township, Precinct1",Straight Party,Absentee,,DEM,,96
Monroe,"Whiteford Township, Precinct2",Straight Party,Absentee,,DEM,,56
Monroe,"Ash Township, Precinct 1",Straight Party,Election Day,,REP,,300
Monroe,"Ash Township, Precinct 2",Straight Party,Election Day,,REP,,398
Monroe,"Ash Township, Precinct 3",Straight Party,Election Day,,REP,,303
Monroe,"Bedford Township, Precinct 1",Straight Party,Election Day,,REP,,168
Monroe,"Bedford Township, Precinct 2",Straight Party,Election Day,,REP,,257
Monroe,"Bedford Township, Precinct 3",Straight Party,Election Day,,REP,,277
Monroe,"Bedford Township, Precinct 4",Straight Party,Election Day,,REP,,270
Monroe,"Bedford Township, Precinct 5",Straight Party,Election Day,,REP,,242
Monroe,"Bedford Township, Precinct 6",Straight Party,Election Day,,REP,,319
Monroe,"Bedford Township, Precinct 7",Straight Party,Election Day,,REP,,224
Monroe,"Bedford Township, Precinct 8",Straight Party,Election Day,,REP,,260
Monroe,"Bedford Township, Precinct 9",Straight Party,Election Day,,REP,,202
Monroe,"Bedford Township, Precinct 10",Straight Party,Election Day,,REP,,188
Monroe,"Bedford Township, Precinct 11",Straight Party,Election Day,,REP,,356
Monroe,"Bedford Township, Precinct 12",Straight Party,Election Day,,REP,,196
Monroe,"Bedford Township, Precinct 13",Straight Party,Election Day,,REP,,247
Monroe,"Bedford Township, Precinct 14",Straight Party,Election Day,,REP,,197
Monroe,"Berlin Township, Precinct 1",Straight Party,Election Day,,REP,,280
Monroe,"Berlin Township, Precinct 2",Straight Party,Election Day,,REP,,347
Monroe,"Berlin Township, Precinct 3",Straight Party,Election Day,,REP,,192
Monroe,"Berlin Township, Precinct 4",Straight Party,Election Day,,REP,,326
Monroe,"City of Luna Pier, Precinct 1",Straight Party,Election Day,,REP,,174
Monroe,"City of Milan, Precinct 1",Straight Party,Election Day,,REP,,244
Monroe,"City of Monroe, Precinct 1",Straight Party,Election Day,,REP,,217
Monroe,"City of Monroe, Precinct 2",Straight Party,Election Day,,REP,,187
Monroe,"City of Monroe, Precinct 3N",Straight Party,Election Day,,REP,,110
Monroe,"City of Monroe, Precinct 3S",Straight Party,Election Day,,REP,,54
Monroe,"City of Monroe, Precinct 4",Straight Party,Election Day,,REP,,273
Monroe,"City of Monroe, Precinct 5",Straight Party,Election Day,,REP,,250
Monroe,"City of Monroe, Precinct 6",Straight Party,Election Day,,REP,,217
Monroe,"City of Petersburg, Precinct 1",Straight Party,Election Day,,REP,,116
Monroe,"Dundee Township, Precinct 1",Straight Party,Election Day,,REP,,184
Monroe,"Dundee Township, Precinct 2",Straight Party,Election Day,,REP,,231
Monroe,"Dundee Township, Precinct 3",Straight Party,Election Day,,REP,,333
Monroe,"Erie Township, Precinct 1",Straight Party,Election Day,,REP,,256
Monroe,"Erie Township, Precinct 2",Straight Party,Election Day,,REP,,205
Monroe,"Exeter Township, Precinct 1",Straight Party,Election Day,,REP,,229
Monroe,"Exeter Township, Precinct 2",Straight Party,Election Day,,REP,,302
Monroe,"Frenchtown Township,Precinct 1",Straight Party,Election Day,,REP,,153
Monroe,"Frenchtown Township,Precinct 2",Straight Party,Election Day,,REP,,164
Monroe,"Frenchtown Township,Precinct 3",Straight Party,Election Day,,REP,,204
Monroe,"Frenchtown Township,Precinct 4",Straight Party,Election Day,,REP,,146
Monroe,"Frenchtown Township,Precinct 5",Straight Party,Election Day,,REP,,222
Monroe,"Frenchtown Township,Precinct 6",Straight Party,Election Day,,REP,,222
Monroe,"Frenchtown Township,Precinct 7",Straight Party,Election Day,,REP,,225
Monroe,"Frenchtown Township,Precinct 8",Straight Party,Election Day,,REP,,193
Monroe,"Frenchtown Township,Precinct 9",Straight Party,Election Day,,REP,,187
Monroe,"Ida Township, Precinct 1",Straight Party,Election Day,,REP,,345
Monroe,"Ida Township, Precinct 2",Straight Party,Election Day,,REP,,267
Monroe,"La Salle Township, Precinct 1",Straight Party,Election Day,,REP,,254
Monroe,"La Salle Township, Precinct 2",Straight Party,Election Day,,REP,,299
