county,precinct,office,vote_type,district,party,candidate,votes
Monroe,"Ash Township, Precinct 1",Registered Voters,,,,,2544
Monroe,"Ash Township, Precinct 2",Registered Voters,,,,,2545
Monroe,"Ash Township, Precinct 3",Registered Voters,,,,,2009
Monroe,"Bedford Township, Precinct 1",Registered Voters,,,,,1224
Monroe,"Bedford Township, Precinct 2",Registered Voters,,,,,2016
Monroe,"Bedford Township, Precinct 3",Registered Voters,,,,,1967
Monroe,"Bedford Township, Precinct 4",Registered Voters,,,,,2407
Monroe,"Bedford Township, Precinct 5",Registered Voters,,,,,2422
Monroe,"Bedford Township, Precinct 6",Registered Voters,,,,,2603
Monroe,"Bedford Township, Precinct 7",Registered Voters,,,,,1968
Monroe,"Bedford Township, Precinct 8",Registered Voters,,,,,2065
Monroe,"Bedford Township, Precinct 9",Registered Voters,,,,,1291
Monroe,"Bedford Township, Precinct 10",Registered Voters,,,,,1409
Monroe,"Bedford Township, Precinct 11",Registered Voters,,,,,2523
Monroe,"Bedford Township, Precinct 12",Registered Voters,,,,,1826
Monroe,"Bedford Township, Precinct 13",Registered Voters,,,,,2052
Monroe,"Bedford Township, Precinct 14",Registered Voters,,,,,2353
Monroe,"Berlin Township, Precinct 1",Registered Voters,,,,,2242
Monroe,"Berlin Township, Precinct 2",Registered Voters,,,,,2712
Monroe,"Berlin Township, Precinct 3",Registered Voters,,,,,1318
Monroe,"Berlin Township, Precinct 4",Registered Voters,,,,,2202
Monroe,"City of Luna Pier, Precinct 1",Registered Voters,,,,,1228
Monroe,"City of Milan, Precinct 1",Registered Voters,,,,,1773
Monroe,"City of Monroe, Precinct 1",Registered Voters,,,,,3029
Monroe,"City of Monroe, Precinct 2",Registered Voters,,,,,2744
Monroe,"City of Monroe, Precinct 3N",Registered Voters,,,,,1411
Monroe,"City of Monroe, Precinct 3S",Registered Voters,,,,,1576
Monroe,"City of Monroe, Precinct 4",Registered Voters,,,,,2982
Monroe,"City of Monroe, Precinct 5",Registered Voters,,,,,3063
Monroe,"City of Monroe, Precinct 6",Registered Voters,,,,,2659
Monroe,"City of Petersburg, Precinct 1",Registered Voters,,,,,967
