county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Democratic,DEM,116,185,301
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Republican,REP,629,314,943
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Libertarian,LIB,5,3,8
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Working Class,WC,1,1,2
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Green,GRE,0,1,1
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Natural Law,NAL,1,0,1
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Cast Votes,,752,504,1256
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Undervotes,,599,322,921
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Rejected,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Straight Party,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Gretchen Whitmer,DEM,325,373,698
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Tudor M. Dixon,REP,1012,438,1450
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Mary Buzuma,LIB,8,8,16
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Donna Brandenburg,UST,1,1,2
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Kevin Hogan,GRE,0,1,1
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Daryl M. Simpson,NAL,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Cast Votes,,1346,821,2167
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Undervotes,,4,5,9
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Rejected,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 1",Governor,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Jocelyn Benson,DEM,340,392,732
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Kristina Elaine Karamo,REP,966,414,1380
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Gregory Scott Stempfle,LIB,17,7,24
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Christine C. Schwartz,UST,5,2,7
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Larry James Hutchinson Jr.,GRE,1,2,3
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Cast Votes,,1329,817,2146
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Undervotes,,20,9,29
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Rejected,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 1",Secretary of State,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Dana Nessel,DEM,296,376,672
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Matthew DePerno,REP,994,431,1425
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Joseph W. McHugh Jr.,LIB,20,9,29
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Gerald T. Van Sickle,UST,5,2,7
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Cast Votes,,1315,818,2133
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Undervotes,,32,8,40
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Rejected,,3,0,3
Ottawa,"Allendale Charter Township, Precinct 1",Attorney General,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Hillary Scholten,DEM,318,369,687
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,John Gibbs,REP,983,427,1410
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Jamie Lewis,LIB,19,6,25
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Louis Palus,WC,6,8,14
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Cast Votes,,1326,810,2136
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Undervotes,,22,11,33
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Rejected,,2,5,7
Ottawa,"Allendale Charter Township, Precinct 1",U.S. House,3,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,David LaGrand,DEM,269,332,601
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Mark Huizenga,REP,1034,475,1509
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Theodore Petzold,LIB,18,5,23
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Cast Votes,,1321,812,2133
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Undervotes,,28,14,42
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Rejected,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 1",State Senate,30,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Sharon McConnon,DEM,260,319,579
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Luke Meerman,REP,1047,481,1528
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Cast Votes,,1307,800,2107
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Undervotes,,43,25,68
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Rejected,,1,1,2
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,,,,,
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Pamela Pugh,DEM,257,327,584
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Mitchell Robinson,DEM,242,326,568
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Tamara D. Carlone,REP,971,431,1402
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Linda Lee Tarver,REP,952,434,1386
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Donna Gundle-Krieg,LIB,20,14,34
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Bill Hall,LIB,24,11,35
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Ethan Hobson,UST,5,6,11
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Mary Anne Hering,WC,23,10,33
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Cast Votes,,2494,1559,4053
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Undervotes,,204,93,297
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Rejected,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 1",State House,89,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Democratic,DEM,141,123,264
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Republican,REP,458,233,691
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Libertarian,LIB,5,2,7
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,U.S. Taxpayers,UST,0,1,1
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Working Class,WC,2,2,4
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Green,GRE,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Cast Votes,,607,361,968
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Undervotes,,510,229,739
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Overvotes,,2,1,3
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Rejected,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Straight Party,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Gretchen Whitmer,DEM,312,261,573
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Tudor M. Dixon,REP,784,317,1101
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Mary Buzuma,LIB,10,9,19
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Donna Brandenburg,UST,2,0,2
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Kevin Hogan,GRE,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Daryl M. Simpson,NAL,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Evan S. Space (W),,0,1,1
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Cast Votes,,1110,588,1698
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Undervotes,,6,2,8
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Overvotes,,2,1,3
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Rejected,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",Governor,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Jocelyn Benson,DEM,313,267,580
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Kristina Elaine Karamo,REP,750,305,1055
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Gregory Scott Stempfle,LIB,22,7,29
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Christine C. Schwartz,UST,6,1,7
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Larry James Hutchinson Jr.,GRE,4,2,6
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Cast Votes,,1095,582,1677
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Undervotes,,21,8,29
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Overvotes,,2,1,3
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Rejected,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",Secretary of State,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Dana Nessel,DEM,289,251,540
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Matthew DePerno,REP,767,318,1085
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Joseph W. McHugh Jr.,LIB,20,10,30
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Gerald T. Van Sickle,UST,5,1,6
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Cast Votes,,1081,580,1661
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Undervotes,,35,10,45
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Overvotes,,2,1,3
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Rejected,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",Attorney General,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Hillary Scholten,DEM,291,247,538
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,John Gibbs,REP,758,315,1073
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Jamie Lewis,LIB,33,11,44
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Louis Palus,WC,9,7,16
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Cast Votes,,1091,580,1671
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Undervotes,,25,10,35
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Overvotes,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Rejected,,1,1,2
Ottawa,"Allendale Charter Township, Precinct 2",U.S. House,3,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,David LaGrand,DEM,253,220,473
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Mark Huizenga,REP,810,351,1161
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Theodore Petzold,LIB,28,10,38
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Cast Votes,,1091,581,1672
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Undervotes,,24,10,34
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Overvotes,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Rejected,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 2",State Senate,30,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Sharon McConnon,DEM,258,206,464
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Luke Meerman,REP,817,359,1176
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Cast Votes,,1075,565,1640
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Undervotes,,42,24,66
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Overvotes,,0,1,1
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Rejected,,2,1,3
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,,,,,
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Pamela Pugh,DEM,251,214,465
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Mitchell Robinson,DEM,233,204,437
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Tamara D. Carlone,REP,730,323,1053
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Linda Lee Tarver,REP,705,321,1026
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Donna Gundle-Krieg,LIB,34,15,49
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Bill Hall,LIB,38,15,53
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Ethan Hobson,UST,11,3,14
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Mary Anne Hering,WC,24,13,37
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Cast Votes,,2026,1108,3134
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Undervotes,,207,74,281
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Overvotes,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Rejected,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 2",State House,89,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Democratic,DEM,100,180,280
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Republican,REP,572,356,928
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Libertarian,LIB,3,3,6
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,U.S. Taxpayers,UST,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Working Class,WC,1,1,2
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Green,GRE,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Natural Law,NAL,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Cast Votes,,679,540,1219
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Undervotes,,572,364,936
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Overvotes,,1,2,3
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Rejected,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Straight Party,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Gretchen Whitmer,DEM,272,360,632
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Tudor M. Dixon,REP,955,521,1476
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Mary Buzuma,LIB,10,13,23
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Donna Brandenburg,UST,7,2,9
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Kevin Hogan,GRE,2,0,2
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Daryl M. Simpson,NAL,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
