county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Cast Votes,,1246,896,2142
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Undervotes,,5,9,14
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Rejected,,1,1,2
Ottawa,"Allendale Charter Township, Precinct 3",Governor,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Jocelyn Benson,DEM,298,383,681
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Kristina Elaine Karamo,REP,909,491,1400
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Gregory Scott Stempfle,LIB,13,15,28
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Christine C. Schwartz,UST,3,3,6
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Larry James Hutchinson Jr.,GRE,5,0,5
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Cast Votes,,1228,892,2120
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Undervotes,,23,14,37
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Rejected,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",Secretary of State,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Dana Nessel,DEM,261,358,619
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Matthew DePerno,REP,925,513,1438
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Joseph W. McHugh Jr.,LIB,21,16,37
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Gerald T. Van Sickle,UST,8,2,10
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Cast Votes,,1215,889,2104
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Undervotes,,35,17,52
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Rejected,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 3",Attorney General,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Hillary Scholten,DEM,279,363,642
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,John Gibbs,REP,919,496,1415
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Jamie Lewis,LIB,18,17,35
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Louis Palus,WC,10,7,17
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Cast Votes,,1226,883,2109
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Undervotes,,24,21,45
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Rejected,,1,2,3
Ottawa,"Allendale Charter Township, Precinct 3",U.S. House,3,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,David LaGrand,DEM,214,321,535
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Mark Huizenga,REP,985,559,1544
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Theodore Petzold,LIB,23,12,35
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Cast Votes,,1222,892,2114
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Undervotes,,27,14,41
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Rejected,,2,0,2
Ottawa,"Allendale Charter Township, Precinct 3",State Senate,30,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Sharon McConnon,DEM,222,297,519
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Luke Meerman,REP,977,571,1548
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Cast Votes,,1199,868,2067
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Undervotes,,50,38,88
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Overvotes,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Rejected,,3,0,3
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,,,,,
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Pamela Pugh,DEM,207,291,498
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Mitchell Robinson,DEM,202,286,488
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Tamara D. Carlone,REP,907,519,1426
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Linda Lee Tarver,REP,910,522,1432
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Donna Gundle-Krieg,LIB,22,17,39
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Bill Hall,LIB,26,18,44
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Ethan Hobson,UST,9,5,14
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Mary Anne Hering,WC,22,16,38
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Cast Votes,,2305,1674,3979
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Undervotes,,193,138,331
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Rejected,,4,0,4
Ottawa,"Allendale Charter Township, Precinct 3",State House,89,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Democratic,DEM,160,184,344
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Republican,REP,378,168,546
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Libertarian,LIB,6,1,7
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,U.S. Taxpayers,UST,1,1,2
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Working Class,WC,2,0,2
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Green,GRE,2,1,3
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Cast Votes,,549,355,904
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Undervotes,,390,220,610
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Overvotes,,1,0,1
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Rejected,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Straight Party,,Unresolved,,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Gretchen Whitmer,DEM,304,326,630
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Tudor M. Dixon,REP,608,239,847
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Mary Buzuma,LIB,15,4,19
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Donna Brandenburg,UST,6,1,7
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Kevin Hogan,GRE,4,3,7
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Daryl M. Simpson,NAL,1,0,1
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"Allendale Charter Township, Precinct 4",Governor,,Joseph Irving (W),,0,0,0
